condition,ablation,valid_grid_n,valid_grid_total,L2_rel,MARD,sign_concordance,max_abs_dev_min,mard_valid_n,sign_grid_n,baseline_max_abs,baseline_norm,status,well_resolved,sign_consistent,well_resolved_AND_sign_consistent
0.1+0.2C 1τ,asymBV_alpha_up_v2,80,80,0.3429306298131107,0.4560071895457763,1.0,0.7056290252119766,80,80,0.7607445861465294,4.0880595561827775,ok,False,True,False
0.1+0.2C 1τ,asymBV_alpha_down_v2,80,80,0.5459032796775584,0.9911843960935564,1.0,0.7611084697792876,80,80,0.7607445861465294,4.0880595561827775,ok,False,True,False
0.1+0.9C 1τ,asymBV_alpha_up_v2,80,80,0.4567123298249697,0.2091395187250006,1.0,1.046695565964967,80,80,1.6971504558068204,9.752462911068394,ok,False,True,False
0.1+0.9C 1τ,asymBV_alpha_down_v2,80,80,0.3917342946001494,0.2725672956834886,1.0,1.0488462775677476,80,80,1.6971504558068204,9.752462911068394,ok,False,True,False
0.2+0.3C 10τ,asymBV_alpha_up_v2,80,80,0.0026375789278665,0.0055997711991311,1.0,0.0275276492641864,77,80,5.444718227308044,30.45675912332108,ok,True,True,True
0.2+0.3C 10τ,asymBV_alpha_down_v2,80,80,0.0041584412316634,0.0103444775480117,1.0,0.0412772842477693,77,80,5.444718227308044,30.45675912332108,ok,True,True,True
0.2+0.3C 1τ,asymBV_alpha_up_v2,80,80,0.1388407473905926,0.081587759680005,1.0,0.5251215285806268,80,80,0.6552523705056785,3.80647043514047,ok,False,True,False
0.2+0.3C 1τ,asymBV_alpha_down_v2,80,80,0.2469017122669341,0.2029084320399217,1.0,0.5474596478932768,80,80,0.6552523705056785,3.80647043514047,ok,False,True,False
0.2+0.3C 34.8τ,asymBV_alpha_up_v2,80,80,0.0014042877852121,0.0014137541102757,1.0,0.0543916710901016,67,80,19.06448871035255,93.20822560134712,ok,True,True,True
0.2+0.3C 34.8τ,asymBV_alpha_down_v2,80,80,0.0027232638264743,0.0034766023690257,1.0,0.127588489696592,67,80,19.06448871035255,93.20822560134712,ok,True,True,True
0.2+0.8C 0.1τ,asymBV_alpha_up_v2,80,80,0.2690664369511557,0.2476526335848397,1.0,0.1223078951531135,80,80,0.5459878216513516,3.2452620849232963,ok,False,True,False
0.2+0.8C 0.1τ,asymBV_alpha_down_v2,80,80,0.3422026070060669,0.300161948466404,1.0,0.2214460975508529,80,80,0.5459878216513516,3.2452620849232963,ok,False,True,False
0.2+0.8C 10τ,asymBV_alpha_up_v2,80,80,0.1948741772291657,0.0244218068772855,1.0,8.147076235120451,74,80,8.330128053397857,41.82980762944403,ok,True,True,True
0.2+0.8C 10τ,asymBV_alpha_down_v2,80,80,0.1931759866158264,0.0211825803861541,1.0,8.078195577578768,74,80,8.330128053397857,41.82980762944403,ok,True,True,True
0.2+0.8C 1τ,asymBV_alpha_up_v2,80,80,0.2165834451244692,0.0678976946827236,1.0,0.8621686197171388,80,80,1.045566508940453,5.672119618663789,ok,False,True,False
0.2+0.8C 1τ,asymBV_alpha_down_v2,80,80,0.2025322805504369,0.0909907499583245,1.0,0.8157071290415556,80,80,1.045566508940453,5.672119618663789,ok,False,True,False
0.3+0.4C 0.1τ,asymBV_alpha_up_v2,80,80,0.2077299569992903,0.1171098263467141,1.0,0.0863446937870549,80,80,0.2786277278915179,1.635521386060517,ok,False,True,False
0.3+0.4C 0.1τ,asymBV_alpha_down_v2,80,80,0.2061301532927418,0.1448945195332447,1.0,0.0874118971621271,80,80,0.2786277278915179,1.635521386060517,ok,False,True,False
0.3+0.4C 10τ,asymBV_alpha_up_v2,80,80,0.0078602382336616,0.0118526131320897,1.0,0.1515741700064553,69,80,4.950305866535189,25.53754741961377,ok,False,True,False
0.3+0.4C 10τ,asymBV_alpha_down_v2,80,80,0.0047631613916221,0.0070787748969665,1.0,0.0406393878408266,69,80,4.950305866535189,25.53754741961377,ok,False,True,False
0.3+0.4C 1τ,asymBV_alpha_up_v2,80,80,0.1509865669922016,0.0930152268880255,1.0,0.4654224447924804,80,80,0.5657860215379173,3.1236804357909853,ok,False,True,False
0.3+0.4C 1τ,asymBV_alpha_down_v2,80,80,0.2240389403663512,0.1660270111970501,1.0,0.501926369553189,80,80,0.5657860215379173,3.1236804357909853,ok,False,True,False
0.3+0.7C 0.1τ,asymBV_alpha_up_v2,80,80,0.2314681036306804,0.1568580167420333,1.0,0.0990412410290276,80,80,0.3552344082768286,2.044656957275195,ok,False,True,False
0.3+0.7C 0.1τ,asymBV_alpha_down_v2,80,80,0.1460720192166618,0.107835462120496,1.0,0.0841946212089083,80,80,0.3552344082768286,2.044656957275195,ok,False,True,False
0.3+0.7C 10τ,asymBV_alpha_up_v2,79,80,0.0021451090286909,0.0021255391827643,1.0,0.0431414878537594,68,79,7.038756444424877,34.09285644742897,ok,True,True,True
0.3+0.7C 10τ,asymBV_alpha_down_v2,80,80,0.0020360925304981,0.0018804767144235,1.0,0.0449952843966485,69,80,7.038756444424877,34.5434293295162,ok,True,True,True
0.3+0.7C 1τ,asymBV_alpha_up_v2,80,80,0.0117287930430171,0.016392626581,1.0,0.017758696068256,80,80,0.8378488713301095,4.327123721272487,ok,False,True,False
0.3+0.7C 1τ,asymBV_alpha_down_v2,80,80,0.008006689533948,0.0122810921320604,1.0,0.0133985564662211,80,80,0.8378488713301095,4.327123721272487,ok,False,True,False
0.4+0.5C 1.67τ,asymBV_alpha_up_v2,80,80,0.1639439000113839,0.1359686808948191,1.0,0.6743823812563718,72,80,0.8003373373241658,4.166773950633403,ok,False,True,False
0.4+0.5C 1.67τ,asymBV_alpha_down_v2,80,80,0.165425824899991,0.1467469787414508,1.0,0.6768051244509081,72,80,0.8003373373241658,4.166773950633403,ok,False,True,False
0.4+0.6C 0.5τ,asymBV_alpha_up_v2,80,80,0.0112871195983665,0.0115182673185548,1.0,0.0081844351282426,80,80,0.415556070147943,2.1673225541667693,ok,False,True,False
0.4+0.6C 0.5τ,asymBV_alpha_down_v2,80,80,0.1976697627356678,0.0734715668403635,1.0,0.3051068454300463,80,80,0.415556070147943,2.1673225541667693,ok,False,True,False
0.4+0.6C 1.67τ,asymBV_alpha_up_v2,80,80,0.1847696862880753,0.1808970971369685,1.0,0.8766267940066116,67,80,0.9481008552513116,4.75531311124267,ok,False,True,False
0.4+0.6C 1.67τ,asymBV_alpha_down_v2,80,80,0.1848816096441542,0.1851879445820266,1.0,0.876258453437771,67,80,0.9481008552513116,4.75531311124267,ok,False,True,False
0.4+0.6C 10τ,asymBV_alpha_up_v2,80,80,0.0028795785897178,0.0049099552836856,1.0,0.0571244590312502,68,80,5.468582839733656,27.308124142599215,ok,True,True,True
0.4+0.6C 10τ,asymBV_alpha_down_v2,80,80,0.0041838749630713,0.0064996473820871,1.0,0.0642246847365299,68,80,5.468582839733656,27.308124142599215,ok,True,True,True
0.4+0.6C 5τ,asymBV_alpha_up_v2,80,80,0.0069918645939365,0.0109577105319246,1.0,0.0402118516092571,69,80,2.7512519923251375,13.998576004191024,ok,False,True,False
0.4+0.6C 5τ,asymBV_alpha_down_v2,80,80,0.0033172887741491,0.0041424614018589,1.0,0.0251094638984099,69,80,2.7512519923251375,13.998576004191024,ok,False,True,False
0.5+0.5C 1τ,asymBV_alpha_up_v2,80,80,0.0691311707477702,0.0544084562278232,1.0,0.1059154032757589,80,80,0.4030020660578515,2.2351763598590706,ok,False,True,False
0.5+0.5C 1τ,asymBV_alpha_down_v2,80,80,0.0769471844014786,0.0694991569253358,1.0,0.1261926854842308,80,80,0.4030020660578515,2.2351763598590706,ok,False,True,False
0.9+0.1C 1.67τ,asymBV_alpha_up_v2,80,80,0.0112405045245249,0.0096704127739902,1.0,0.0019922792804223,64,80,0.0676118261601086,0.3716350069408284,ok,False,True,False
0.9+0.1C 1.67τ,asymBV_alpha_down_v2,80,80,0.0105446455795787,0.0100921825467137,1.0,0.0015840620972688,64,80,0.0676118261601086,0.3716350069408284,ok,False,True,False
0.9+0.1C 10τ,asymBV_alpha_up_v2,76,80,0.0110298408376784,0.0131350049612148,1.0,0.007396479293689,68,76,0.4106072075832152,2.3427144333284176,ok,False,True,False
0.9+0.1C 10τ,asymBV_alpha_down_v2,80,80,0.0093673611595829,0.0111844856273651,1.0,0.0057515006690601,72,80,0.4106072075832152,2.350142835993749,ok,False,True,False
0.9+0.1C 16.7τ,asymBV_alpha_up_v2,80,80,0.0025030384057007,0.0042149482103096,1.0,0.0026116602582532,65,80,0.68384042563153,3.1814179483125193,ok,False,True,False
0.9+0.1C 16.7τ,asymBV_alpha_down_v2,80,80,0.0020360896127358,0.0032055477111867,1.0,0.0022086285556319,65,80,0.68384042563153,3.1814179483125193,ok,False,True,False
