qfrac_target,status,termination,t_total_s,t_total_min,Q_end_Ah,V_start_V,V_end_V,I_charge_min_A,I_charge_max_A,error
0.2,ok,final time,3386.5819213456803,56.44303202242801,0.9110417192837492,3.177214235383156,3.5076109925161605,-0.0,1.5,
0.4,ok,final time,5543.1638426913605,92.38606404485601,1.8097916542770889,3.1772142353834267,3.668215840800843,-0.0,1.5,
0.6,ok,final time,7699.74576403704,128.329096067284,2.7081253291074576,3.177214235383545,3.8220977129366314,-0.0,1.5,
0.72,ok,final time,8993.694916844448,149.8949152807408,3.2472916365232574,3.1772142353836523,3.92709380477324,-0.0,1.5,
0.85,ok,final time,10395.473165719139,173.25788609531898,3.8314589937762205,3.1772142353282202,4.036485966801464,-0.0,1.5,
