branch_id,branch_type,transport_branch_id,transport_modification,surface_form,protocol_id,condition,Q_Ah,delta_t_raw_s,delta_t_geom_s,delta_t_resid_s
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.0869765723125555,100.98002667529272,100.98757323959398,-0.00754656430126488
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.1198275564722797,135.40939732232937,135.42973154420815,-0.020334221878783865
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.152678540632004,5.769892549175893,5.778427392502181,-0.008534843326287955
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.1855295247917284,42.751821855593334,42.75559594903007,-0.0037740934367320733
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.2183805089514526,86.42323918979491,86.42989511586757,-0.0066559260726535285
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.2512314931111768,126.08307654044893,126.0937410088386,-0.010664468389677495
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.284082477270901,0.01182387999506318,0.02163604885163295,-0.00981216885656977
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.3169334614306254,28.62922925603789,28.63462529604385,-0.005396040005962277
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.3497844455903496,71.47166853738781,71.4787676244755,-0.007099087087681255
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.3826354297500738,113.78195161234044,113.79141262259054,-0.009461010250106483
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.4154864139097982,137.1618795862455,137.1866693555653,-0.024789769319795596
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.4483373980695224,15.729676755510354,15.733901675514517,-0.0042249200041624135
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.4811883822292466,56.46681216232264,56.47461870767529,-0.0078065453526505735
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.5140393663889709,99.98514660133333,99.99402696610923,-0.008880364775905036
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.5468903505486953,134.91979284076479,134.93482239579907,-0.015029555034288933
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.5797413347084195,5.154057702170121,5.158131645784124,-0.004073943614002928
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.6125923188681437,41.73780447056197,41.745617359324115,-0.00781288876214603
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.6454433030278681,85.38582510812785,85.39644972702126,-0.010624618893416482
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.6782942871875923,125.29283745122666,125.30713923940903,-0.014301788182365271
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.7111452713473165,-0.012173282616458891,0.005870078061889217,-0.018043360678348108
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.743996255507041,27.677934150599867,27.68768018245737,-0.009746031857503112
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.7768472396667652,70.42147196014048,70.43114815384888,-0.009676193708401115
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.8096982238264894,112.8563576448978,112.86793643395231,-0.011578789054510708
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.8425492079862138,137.532062897184,137.56172172144397,-0.02965882425996824
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.875400192145938,14.892408034420441,14.902325989109158,-0.009917954688717145
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.9082511763056622,55.42530129871193,55.435251008432715,-0.009949709720785904
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.9411021604653866,98.98439191438501,98.99671044889146,-0.012318534506448486
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,1.9739531446251108,134.38461761243525,134.41194375168106,-0.027326139245815284
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.006804128784835,4.54763063932478,4.561600476402418,-0.013969837077638658
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.0396551129445597,40.7278085835469,40.738819481339306,-0.01101089779240283
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.072506097104284,84.34964791941093,84.36125517409528,-0.011607254684349755
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.105357081264008,124.4894859140777,124.50844251587932,-0.0189566018016194
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.1382080654237323,0.0536368692664837,0.07567111383195879,-0.022034244565475092
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.1710590495834565,26.739260752725386,26.746716715888397,-0.0074559631630108925
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.203910033743181,69.37217377288289,69.38338269135238,-0.011208918469492346
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.2367610179029054,111.92127777673795,111.93784284519188,-0.01656506845392869
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.2696120020626296,137.78020352285694,137.81166356285303,-0.03146003999609093
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.302462986222354,14.069344903685305,14.08318180297465,-0.013836899289344728
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.335313970382078,54.385406631278784,54.397308632341264,-0.01190200106248085
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.368164954541802,97.98184833868345,97.99578724429284,-0.01393890560939326
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.4010159387015264,133.83546589701746,133.85829109176848,-0.022825194751021627
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.433866922861251,3.9748092023592108,3.9901486360877243,-0.01533943372851354
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.4667179070209753,39.725004403045205,39.73535479684324,-0.01035039379803493
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.4995688911806995,83.31184487787414,83.32443145272828,-0.012586574854140054
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.5324198753404237,123.68126022554225,123.69812318867935,-0.01686296313710045
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.565270859500148,0.21739944241016929,0.24308349252078187,-0.02568405011061259
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.598121843659872,25.799570176351153,25.811936001507092,-0.012365825155939092
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.6309728278195967,68.32313472766964,68.3355780068141,-0.012443279144463304
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.663823811979321,110.98488050282594,111.00138587690708,-0.016505374081134505
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.696674796139045,137.91648349649859,137.95290803743683,-0.03642454093824199
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.7295257802987694,13.266309516645379,13.2759238626968,-0.009614346051421307
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.7623767644584936,53.34849908464457,53.36090861802313,-0.01240953337855899
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.7952277486182178,96.97747527572392,96.99141667294134,-0.013941397217422491
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.828078732777942,133.2588982448142,133.2809089919774,-0.022010747163221822
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.8609297169376666,3.4266825522900035,3.4448606520363683,-0.01817809974636475
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.893780701097391,38.72168475372473,38.73537965916785,-0.013694905443117023
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.926631685257115,82.2714746389529,82.28609680296813,-0.014622164015236194
baseline_default,baseline,baseline_default_transport,default,false,fixed_AC0p38,Chen2020_DFN_Day37_baseline_default_fixed_AC0p38,2.9594826694168392,122.85481256741696,122.87543835998713,-0.020625792570172052
