model_type,q_lo_Ah,q_hi_Ah,q_hi_raw_Ah,n_grid,q_end_by_condition_json
DFN,0.2,3.3581819074095294,3.5349283235889786,80,"{""Chen2020_DFN_hier_DC03"": 4.4928790028035, ""Chen2020_DFN_hier_DC03_AC07_0p5tauSet"": 3.6935382425595478, ""Chen2020_DFN_hier_DC03_AC07_1p5tauSet"": 3.6339416312270765, ""Chen2020_DFN_hier_DC03_AC07_3p0tauSet"": 3.5595987037893875, ""Chen2020_DFN_hier_DC03_AC07_5p0tauSet"": 3.5349283235889786}"
SPMe,0.2,3.3457105899992223,3.5218006210518134,80,"{""Chen2020_SPMe_hier_DC03"": 4.495077856415553, ""Chen2020_SPMe_hier_DC03_AC07_0p5tauSet"": 3.690834504231717, ""Chen2020_SPMe_hier_DC03_AC07_1p5tauSet"": 3.5218006210518134, ""Chen2020_SPMe_hier_DC03_AC07_3p0tauSet"": 3.5505619174180287, ""Chen2020_SPMe_hier_DC03_AC07_5p0tauSet"": 3.52324921420506}"
SPM,0.2,3.8472063315228358,4.049690875287196,80,"{""Chen2020_SPM_hier_DC03"": 4.564888887621224, ""Chen2020_SPM_hier_DC03_AC07_0p5tauSet"": 4.16415795793974, ""Chen2020_SPM_hier_DC03_AC07_1p5tauSet"": 4.195128126328744, ""Chen2020_SPM_hier_DC03_AC07_3p0tauSet"": 4.124874752904229, ""Chen2020_SPM_hier_DC03_AC07_5p0tauSet"": 4.049690875287196}"
