protocol_pair,n,Q_lo_Ah,Q_hi_Ah,resid_mean_s,resid_median_s,resid_p95_abs_s,resid_max_abs_s,Q_at_max_abs_Ah,dt_raw_at_max_s,dt_geom_at_max_s,dt_resid_at_max_s,fraction_abs_gt_2p70,fraction_abs_gt_6p75,early_10pct_max_abs_s,near_upper_10pct_max_abs_s
0.3C DC vs 0.3C+0.7C 0.1tau,263,0.05,2.67,-0.7579789065574384,-1.1357972337245883,3.6963587396003503,28.685838067973236,2.67,14.681683679262278,-14.004154388710958,28.685838067973236,0.18631178707224336,0.0038022813688212928,3.814211714265411,28.685838067973236
0.3C DC vs 0.3C+0.7C 10tau,245,0.05,2.49,5.631816540022325,-2.848807460617536,10.835424920618243,426.4304409888846,2.23,521.308930289616,94.87848930073142,426.4304409888846,0.6979591836734694,0.2816326530612245,4.297857266099243,419.4584427159352
0.3C DC vs 0.3C+0.7C 1tau,250,0.05,2.54,4.542978881738904,-4.2456293749651195,39.53445265825271,42.92987733247378,0.54,54.790938436618035,11.861061104144255,42.92987733247378,0.832,0.616,1.5676923112426948,32.931250176663525
