protocol_pair,protocol_label_DCAC,file_name_DCAC,Q_label,Q_Ah,is_anchor,segment_label,t_DC_s,t_DCAC_s,dt_raw_s,t_geom_DC_s,t_geom_DCAC_s,dt_geom_s,dt_resid_s,dt_geom_fit_s,dt_resid_fit_s,geometry_phase_offset_rad,geometry_phase_offset_s,geometry_phase_reference_status,geometry_phase_fit_rmse_A,geometry_phase_fit_window_s,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,fit_rmse_A
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.15000000000000002,False,A_shared_prescribed_current,529.4818557035612,529.3446126103696,0.1372430931916142,529.4117647058875,529.484947467994,-0.07318276210639851,0.21042585529801272,0.0770956318650633,0.06014746132655091,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.16,False,A_shared_prescribed_current,564.7796309124433,564.4355892496172,0.34404166282604365,564.7058823529467,564.7133776083923,-0.00749525544563312,0.35153691827167677,0.14176126498955455,0.2022803978364891,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.16999999999999998,False,A_shared_prescribed_current,600.0775076747793,599.505004890576,0.5725027842033796,600.0000000000059,599.8842550570515,0.11574494295439308,0.45675784124898655,0.207590846147923,0.36491193805545663,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.18,False,A_shared_prescribed_current,635.3752552342322,634.5599215239615,0.8153337102706928,635.2941176470651,635.0104156381278,0.28370200893732545,0.5316317013333673,0.2722407742406858,0.543092936030007,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.19,False,A_shared_prescribed_current,670.6730223644806,669.6068339501859,1.0661884142947429,670.5882352941245,670.0866699253335,0.5015653687910344,0.5646230455037085,0.320640383976297,0.7455480303184459,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.2,False,A_shared_prescribed_current,705.9707954944342,704.6509040450404,1.3198914493938219,705.8823529411837,705.1575497905241,0.7248031506596817,0.5950882987341402,0.3614339973544247,0.9584574520393971,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.21000000000000002,False,A_shared_prescribed_current,741.2686285160732,739.6964749886071,1.5721535274661846,741.176470588243,740.2255256251714,0.9509449630716063,0.6212085643945784,0.39368040458793985,1.1784731228782448,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.22000000000000003,False,A_shared_prescribed_current,776.566489050083,774.7479151602871,1.8185738897958572,776.4705882353023,775.2929666633028,1.1776215719995662,0.640952317796291,0.4087288350228846,1.4098450547729726,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.22999999999999998,False,A_shared_prescribed_current,811.8643406957327,809.8092859509865,2.0550547447462577,811.7647058823613,810.3622703647495,1.4024355176118206,0.6526192271344371,0.3817163487698281,1.6733383959764296,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
0.3C DC vs 0.3C+0.4C 0.1tau,0.3C+0.4C 0.1tau,MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,SegmentA_grid,0.24,False,A_shared_prescribed_current,847.1622482076468,844.8863052474519,2.275942960194925,847.0588235294207,845.4359967805482,1.6228267488725123,0.6531162113224127,0.34504339190164046,1.9308995682932846,0.5623450849925731,0.6242030443417562,estimated_from_current_waveform,0.012622226024300714,34.87167845484671,ok,1.0204122791314518,0.17438263436790427,0.1433828316143201,0.14332853774208673,-378.66369091818916,0.9534172040551391
