parameter_set,model_type,condition,protocol_type,case_role,dc_c,ac_c,peak_c,frequency_mode,tau_factor_set,tau_ref_set_s,f_Hz,period_s,omega_tau_set
Chen2020,DFN,Chen2020_DFN_Day33C_DC03,DC,dc_reference,0.3,0.0,0.3,set_rebased,,36.316532231592305,,,
Chen2020,DFN,Chen2020_DFN_Day33C_DC03_AC0p38_0p5tauSet,DCAC,AC0p38_0p5tauSet,0.3,0.38,0.6799999999999999,set_rebased,0.5,36.316532231592305,0.008764875571101144,114.09175086262731,2.0
Chen2020,DFN,Chen2020_DFN_Day33C_DC03_AC0p38_1p5tauSet,DCAC,AC0p38_1p5tauSet,0.3,0.38,0.6799999999999999,set_rebased,1.5,36.316532231592305,0.002921625190367048,342.27525258788194,0.6666666666666666
Chen2020,DFN,Chen2020_DFN_Day33C_DC03_AC0p38_3p0tauSet,DCAC,AC0p38_3p0tauSet,0.3,0.38,0.6799999999999999,set_rebased,3.0,36.316532231592305,0.001460812595183524,684.5505051757639,0.3333333333333333
Chen2020,DFN,Chen2020_DFN_Day33C_DC03_AC0p38_5p0tauSet,DCAC,AC0p38_5p0tauSet,0.3,0.38,0.6799999999999999,set_rebased,5.0,36.316532231592305,0.0008764875571101142,1140.9175086262733,0.2
