file,record_idx,case_id,I_DC_Crate,A_Crate,f_Hz,tau_label,kappa,n_total,n_dup_dt_zero,n_negative_dt,n_nan_in_t,min_dt_s,max_dt_s,median_pos_dt_s,first_anomaly_idx,first_anomaly_frac_of_traj,first_anomaly_t_s,last_anomaly_idx,last_anomaly_frac_of_traj,last_anomaly_t_s,CC_time_s,total_time_s,after_CC_time,tail_only_above_0p85,cv_phase_candidate,Q_at_first_anomaly_mAh,Q_coverage_clean_pct,anomaly_class,recoverable_via_dedup
data/results_day8_x2_dfn_mj1freq_v2.json,4,DC0.20C+AC0.30C_f0.00041Hz,0.2,0.3,0.00041,34.8τ,1.4999999999999998,444,1,0,0,0.0,168.28786713395675,43.57285973006219,391,0.8806306306306306,16439.149737422762,391,0.8806306306306306,16439.149737422762,16439.149737422762,20381.305183350134,True,True,True,4395.4148136167,85.72080672819176,duplicate_timestamps_only,True
data/results_day8_x2_dfn_mj1freq_v2.json,25,DC0.20C_baseline,0.2,0.0,0.0,baseline,0.0,236,1,0,0,0.0,213.13364103457934,95.53541516212681,193,0.8177966101694916,17512.350031736467,193,0.8177966101694916,17512.350031736467,17512.350031736467,20384.96553215454,True,False,False,4864.541675482352,94.89325036166007,duplicate_timestamps_only,True
data/results_day8_x4_dfn_chenfreq.json,25,DC0.20C_baseline,0.2,0.0,0.0,baseline,0.0,236,1,0,0,0.0,213.13364103457934,95.53541516212681,193,0.8177966101694916,17512.350031736467,193,0.8177966101694916,17512.350031736467,17512.350031736467,20384.96553215454,True,False,False,4864.541675482352,94.89325036166007,duplicate_timestamps_only,True
data/results_day8_x4_dfn_chenfreq.json,34,DC0.20C+AC0.30C_f0.00080Hz,0.2,0.3,0.0008049188640973632,10τ,1.4999999999999998,814,1,0,0,0.0,167.49794222538912,22.806581742675917,756,0.9287469287469288,16958.846911000248,756,0.9287469287469288,16958.846911000248,16958.846911000248,20565.594760276577,True,True,True,4580.581355558492,89.34434384023469,duplicate_timestamps_only,True
data/results_day8_x4_dfn_chenfreq.json,56,DC0.20C_baseline,0.2,0.0,0.0,baseline,0.0,236,1,0,0,0.0,213.13364103457934,95.53541516212681,193,0.8177966101694916,17512.350031736467,193,0.8177966101694916,17512.350031736467,17512.350031736467,20384.96553215454,True,False,False,4864.541675482352,94.89325036166007,duplicate_timestamps_only,True
