condition,label,t_rel_s,Q_net_mAh,V_V,I_A
0.2+0.3C 34.8τ,baseline-init_DCAC,0.0,-0.0,2.820632634460018,0.0
0.2+0.3C 34.8τ,baseline-init_DCAC,2.220446049250313e-16,3.0839528461809905e-17,2.887334853445421,-1.0
0.2+0.3C 34.8τ,baseline-init_DCAC,0.0022101630028588115,0.0006139315330441368,2.8873522571686263,-0.9999914179182298
0.2+0.3C 34.8τ,baseline-init_DCAC,0.004420326005717401,0.0012278577972550163,2.887369639601134,-0.9999828358364597
0.2+0.3C 34.8τ,baseline-init_DCAC,0.00884065201143458,0.0024556945191770963,2.8874043255879958,-0.9999656716729217
0.2+0.3C 34.8τ,baseline-init_DCAC,0.01768130402286916,0.004911304737022626,2.8874733860962616,-0.9999313433458613
0.2+0.3C 34.8τ,baseline-init_DCAC,0.0353626080457381,0.009822272268719205,2.887610287687192,-0.9998626866918665
0.2+0.3C 34.8τ,baseline-init_DCAC,0.0707252160914762,0.019643195716140305,2.8878793868683386,-0.9997253733848838
0.2+0.3C 34.8τ,baseline-init_DCAC,0.10608782413721429,0.02946277034227985,2.8881438925214216,-0.9995880600802023
0.2+0.3C 34.8τ,baseline-init_DCAC,0.17681304022869027,0.04909787313086114,2.8886557984325023,-0.9993134334823462
0.2+0.3C 34.8τ,baseline-init_DCAC,0.24753825632016624,0.06872758063481355,2.88915140544571,-0.9990388069075039
0.2+0.3C 34.8τ,baseline-init_DCAC,0.3182634724116422,0.0883518928546796,2.8896316602898438,-0.9987641803648806
0.2+0.3C 34.8τ,baseline-init_DCAC,0.4597139045945944,0.1275843314457245,2.8905584463230625,-0.9982149274131131
0.2+0.3C 34.8τ,baseline-init_DCAC,0.6011643367775465,0.16679518891163672,2.891435402270654,-0.9976656747006875
0.2+0.3C 34.8τ,baseline-init_DCAC,0.7426147689604987,0.2059844652632672,2.8922640958294523,-0.9971164223012472
0.2+0.3C 34.8τ,baseline-init_DCAC,1.0255156333264028,0.28429827469059704,2.893799367249902,-0.9960179187358971
0.2+0.3C 34.8τ,baseline-init_DCAC,1.2801264112557167,0.3547068959322372,2.8950574357042713,-0.9950292673362835
0.2+0.3C 34.8τ,baseline-init_DCAC,1.5347371891850305,0.4250455946663617,2.8962186434013653,-0.9940406180960453
0.2+0.3C 34.8τ,baseline-init_DCAC,1.7893479671143444,0.4953143710608806,2.8972974615746265,-0.9930519714446693
0.2+0.3C 34.8τ,baseline-init_DCAC,2.0439587450436583,0.5655132253140794,2.8983062109307043,-0.9920633278116412
0.2+0.3C 34.8τ,baseline-init_DCAC,2.5531803009022855,0.7057011684786484,2.900146457040245,-0.9900860513185659
0.2+0.3C 34.8τ,baseline-init_DCAC,3.0624018567609133,0.8456094262471231,2.9018037893578144,-0.988108792052676
0.2+0.3C 34.8τ,baseline-init_DCAC,3.6250309901819646,0.9998661568884741,2.9034736000996144,-0.985924180368179
0.2+0.3C 34.8τ,baseline-init_DCAC,4.187660123603016,1.1537814659244927,2.9050101278928526,-0.9837395985424728
0.2+0.3C 34.8τ,baseline-init_DCAC,4.750289257024067,1.3073553583838091,2.906438470318843,-0.981555051209673
0.2+0.3C 34.8τ,baseline-init_DCAC,5.312918390445119,1.460587840019295,2.907776074790207,-0.9793705430038218
0.2+0.3C 34.8τ,baseline-init_DCAC,5.87554752386617,1.613478917308051,2.909036161184826,-0.9771860785588782
0.2+0.3C 34.8τ,baseline-init_DCAC,6.438176657287221,1.766028597451392,2.9102295442898956,-0.9750016625087087
0.2+0.3C 34.8τ,baseline-init_DCAC,7.563434924129325,2.0701038032339674,2.912447969618305,-0.9706329941276343
0.2+0.3C 34.8τ,baseline-init_DCAC,8.688693190971428,2.37281352567948,2.914480812983004,-0.9662645749292994
0.2+0.3C 34.8τ,baseline-init_DCAC,9.81395145781353,2.6741578484683948,2.9163610854823947,-0.9618964419802907
0.2+0.3C 34.8τ,baseline-init_DCAC,10.939209724655633,2.974136866866768,2.918113069408083,-0.9575286323447656
0.2+0.3C 34.8τ,baseline-init_DCAC,12.064467991497736,3.2727506877254324,2.919755494530495,-0.9531611830841384
0.2+0.3C 34.8τ,baseline-init_DCAC,13.189726258339839,3.5699994294790955,2.921302848902143,-0.9487941312567657
0.2+0.3C 34.8τ,baseline-init_DCAC,15.440242792024044,4.160402281018445,2.9241559531997154,-0.9400613681180334
0.2+0.3C 34.8τ,baseline-init_DCAC,17.69075932570825,4.745346538483582,2.9267369115738253,-0.9313306393223157
0.2+0.3C 34.8τ,baseline-init_DCAC,19.941275859392455,5.324833566253506,2.929089963472488,-0.9226022411943132
0.2+0.3C 34.8τ,baseline-init_DCAC,22.19179239307666,5.898864913927951,2.93124858850254,-0.9138764699796222
0.2+0.3C 34.8τ,baseline-init_DCAC,24.442308926760866,6.4674423162747825,2.9332394219479054,-0.905153621834681
0.2+0.3C 34.8τ,baseline-init_DCAC,26.69282546044507,7.0305676931711245,2.9350830144154605,-0.8964339928167171
