arm,n_samples,Q_start_Ah,Q_end_Ah,Q_min_Ah,Q_max_Ah,n_negative_dQ_steps,min_dQ_Ah,I_min_A,I_max_A,has_positive_discharge_current,Q_monotonic_required
DC,1938,-0.0,4.872814517225636,-0.0,4.872814517225636,0,8.881784197001252e-16,-1.0002702417964449,-0.0735394117647056,False,True
DCAC,1713,-0.0,4.872588450585356,-0.0,4.872588450585356,453,-0.00416608245225758,-3.4999986498981204,1.4999998499886682,True,False
