parameter_set,model_type,condition,status,termination,t_end_s,t_end_min,Q_end_Ah,V_end_V,I_charge_min_A,I_charge_max_A,error
Chen2020,DFN,DC03,ok,event: Maximum voltage [V],10782.9096067284,179.71516011214,4.4928790028035,4.2,1.5,1.5,
Chen2020,DFN,DC03_AC07_0p1tau,ok,event: Maximum voltage [V],9152.08820076604,152.53480334610066,3.8081427528709177,4.20000000000021,-1.9999999839993912,4.999999999517594,
Chen2020,DFN,DC03_AC07_10tau,ok,event: Maximum voltage [V],8498.625305701082,141.64375509501804,3.6065034049516345,4.200000000000001,-1.999999977028044,4.999999411715117,
Chen2020,DFN,DC03_AC07_f000412,ok,event: Maximum voltage [V],7738.438578160785,128.97397630267974,3.457800781339593,4.200000000000001,-1.9999999999168683,4.9999999652724565,
