condition,feature_id,tau_factor_set,omega_tau_set,delta_x_mean,delta_x_abs_mean,delta_x_max_abs,delta_x_std,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,cell_temperature_K,0.5,2.0,0.0,0.0,0.0,0.0,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,elyte_c_mean,0.5,2.0,-12.244343306140701,12.366123164647064,19.25069961814586,6.115249258696593,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,elyte_c_range,0.5,2.0,248.08664837853524,253.61983509773262,412.1744799287833,140.87738620670788,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,eta_n_mean,0.5,2.0,-0.042208044017383164,0.04255530294830726,0.055484626748076554,0.01344213118679119,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,eta_p_mean,0.5,2.0,0.006333037398580832,0.00638816623026512,0.009235269743511784,0.0024656805457975565,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,j_n_mean_signed,0.5,2.0,-0.7990515750386418,0.8047360231186488,1.0417567841529014,0.2965716286320547,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,j_p_mean_signed,0.5,2.0,0.9047008724315143,0.9111369105527389,1.1794964612162633,0.3357870033706508,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_avg_sto,0.5,2.0,-5.4565617933505055e-05,5.5048390933878746e-05,0.00013836778239417757,3.799234800940197e-05,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_avg_surface_sto,0.5,2.0,0.004833174505349202,0.004833174505349202,0.006235386796858672,0.0013305555065996988,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_max_surface_sto,0.5,2.0,0.019172775999635093,0.019172775999635093,0.04284233573325946,0.009967214219121594,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_min_surface_sto,0.5,2.0,-0.0012115903694656272,0.00328450491843211,0.009181673714457717,0.0038888133503252936,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_surface_minus_avg_sto,0.5,2.0,0.004887740123282704,0.004887740123282704,0.006258472399232769,0.001331184047760377,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,neg_surface_sto_range,0.5,2.0,0.020384366369100716,0.020384366369100716,0.047619017468322006,0.012831143759586772,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,pos_avg_sto,0.5,2.0,3.641500439449941e-05,3.673718861227915e-05,9.234136063679399e-05,2.535463854554227e-05,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,pos_avg_surface_sto,0.5,2.0,-0.007451617081035147,0.007473087201770689,0.011051377898545267,0.003448000783967748,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,pos_surface_minus_avg_sto,0.5,2.0,-0.00748803208542965,0.0075064273458919336,0.011071056565737123,0.003448664676137271,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_0p5tauSet,total_heating_mean,0.5,2.0,0.0,0.0,0.0,0.0,53.400986897906634,15.308826699200836,84.36468040971363
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,cell_temperature_K,1.0,1.0,0.0,0.0,0.0,0.0,107.08749013155546,32.40556394185751,169.3928529021773
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,elyte_c_mean,1.0,1.0,-20.314779547432693,20.314779547432693,26.712421303264932,5.596528139453016,107.08749013155546,32.40556394185751,169.3928529021773
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,elyte_c_range,1.0,1.0,444.13192206561115,444.1319220656111,602.7411880049262,135.5627232094929,107.08749013155546,32.40556394185751,169.3928529021773
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,eta_n_mean,1.0,1.0,-0.04413719411883232,0.044853047362295076,0.0573733625633436,0.014955217052179899,107.08749013155546,32.40556394185751,169.3928529021773
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,eta_p_mean,1.0,1.0,0.006075949186509622,0.006168426482902992,0.008928383838945304,0.002426896955255909,107.08749013155546,32.40556394185751,169.3928529021773
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,j_n_mean_signed,1.0,1.0,-0.7971403163534203,0.8075596953752264,1.0417211650919171,0.30460469064983403,107.08749013155546,32.40556394185751,169.3928529021773
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,j_p_mean_signed,1.0,1.0,0.9025370821864094,0.9143340770912068,1.1794561312079188,0.344879102657366,107.08749013155546,32.40556394185751,169.3928529021773
Chen2020_DFN_fine_DC03_AC07_1p0tauSet,neg_avg_sto,1.0,1.0,0.0001435731997354684,0.0001435731997354684,0.00020402534521762883,5.593176559684843e-05,107.08749013155546,32.40556394185751,169.3928529021773
