param_set,Q_nom_Ah,tau95_eq_s,V_max_cutoff,V_min_cutoff,protocol_label,protocol_type,phase_label,current_formula,DC_C,AC_C,kappa,n_tau,T_period_s,f_anchor_Hz,I_DC_A,I_AC_A,I_peak_charge_A,I_peak_discharge_A,I_peak_charge_C,I_peak_discharge_C,peak_current_constraint_margin_C,dt_eval_max_s,est_t_total_s,est_output_points,est_wall_s,Q_sin_ripple_amp_Ah,Q_lobe_per_period_Ah,Q_lobe_Q_frac,smoke_member,feasibility_risk,compute_risk
Mohtat2020,5.0,30.03606189856617,4.2,2.8,DCAC_DC0p4C_AC0p6C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,1.0,188.72214280660756,0.005298795282463208,2.0,3.0,-5.0,1.0,-1.0,0.19999999999999996,0.0,1.8872214280660757,8500.0,4503,5.4036,0.02503005158213848,0.009243274934077294,0.001848654986815459,False,low,low
Mohtat2020,5.0,30.03606189856617,4.2,2.8,DCAC_DC0p4C_AC0p6C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,10.0,1887.2214280660755,0.0005298795282463208,2.0,3.0,-5.0,1.0,-1.0,0.19999999999999996,0.0,10.0,8500.0,850,1.02,0.25030051582138474,0.09243274934077295,0.018486549868154588,False,low,low
NCA_Kim2011,0.43,36.044609511082186,4.2,2.7,DC_0p2C,DC,charge_first,I_py = -I_DC,0.2,0.0,0.0,,,,0.08600000000000001,0.0,-0.08600000000000001,0.0,-0.2,0.0,0.8,10.0,17000.0,1700,2.04,0.0,0.0,0.0,False,low,low
NCA_Kim2011,0.43,36.044609511082186,4.2,2.7,DC_0p4C,DC,charge_first,I_py = -I_DC,0.4,0.0,0.0,,,,0.17200000000000001,0.0,-0.17200000000000001,0.0,-0.4,0.0,0.6,10.0,8500.0,850,1.02,0.0,0.0,0.0,False,low,low
NCA_Kim2011,0.43,36.044609511082186,4.2,2.7,DCAC_DC0p2C_AC0p4C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,0.1,22.647496088305715,0.044154991620303716,0.08600000000000001,0.17200000000000001,-0.258,0.08600000000000001,-0.6000000000000001,0.2,0.3999999999999999,0.22647496088305716,17000.0,75063,90.0756,0.000172213134330726,0.00011794072583647454,0.0002742807577592431,False,low,high
NCA_Kim2011,0.43,36.044609511082186,4.2,2.7,DCAC_DC0p2C_AC0p4C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,1.0,226.47496088305715,0.004415499162030372,0.08600000000000001,0.17200000000000001,-0.258,0.08600000000000001,-0.6000000000000001,0.2,0.3999999999999999,2.2647496088305714,17000.0,7506,9.0072,0.00172213134330726,0.0011794072583647451,0.002742807577592431,False,low,low
NCA_Kim2011,0.43,36.044609511082186,4.2,2.7,DCAC_DC0p2C_AC0p4C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,10.0,2264.7496088305716,0.0004415499162030371,0.08600000000000001,0.17200000000000001,-0.258,0.08600000000000001,-0.6000000000000001,0.2,0.3999999999999999,10.0,17000.0,1700,2.04,0.0172213134330726,0.011794072583647452,0.027428075775924307,False,medium,low
NCA_Kim2011,0.43,36.044609511082186,4.2,2.7,DCAC_DC0p4C_AC0p6C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,0.1,22.647496088305715,0.044154991620303716,0.17200000000000001,0.258,-0.43000000000000005,0.086,-1.0,0.19999999999999996,0.0,0.22647496088305716,8500.0,37531,45.0372,0.000258319701496089,9.539413109004588e-05,0.00022184681648847881,False,low,medium
NCA_Kim2011,0.43,36.044609511082186,4.2,2.7,DCAC_DC0p4C_AC0p6C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,1.0,226.47496088305715,0.004415499162030372,0.17200000000000001,0.258,-0.43000000000000005,0.086,-1.0,0.19999999999999996,0.0,2.2647496088305714,8500.0,3753,4.5036,0.00258319701496089,0.0009539413109004588,0.002218468164884788,False,low,low
NCA_Kim2011,0.43,36.044609511082186,4.2,2.7,DCAC_DC0p4C_AC0p6C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,10.0,2264.7496088305716,0.0004415499162030371,0.17200000000000001,0.258,-0.43000000000000005,0.086,-1.0,0.19999999999999996,0.0,10.0,8500.0,850,1.02,0.0258319701496089,0.00953941310900459,0.022184681648847883,False,medium,low
Ai2020,2.28,37.04603411316819,4.2,3.0,DC_0p2C,DC,charge_first,I_py = -I_DC,0.2,0.0,0.0,,,,0.45599999999999996,0.0,-0.45599999999999996,0.0,-0.2,0.0,0.8,10.0,17000.0,1700,2.04,0.0,0.0,0.0,False,low,low
Ai2020,2.28,37.04603411316819,4.2,3.0,DC_0p4C,DC,charge_first,I_py = -I_DC,0.4,0.0,0.0,,,,0.9119999999999999,0.0,-0.9119999999999999,0.0,-0.4,0.0,0.6,10.0,8500.0,850,1.02,0.0,0.0,0.0,False,low,low
Ai2020,2.28,37.04603411316819,4.2,3.0,DCAC_DC0p2C_AC0p4C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,0.1,23.27670972291321,0.042961398406563295,0.45599999999999996,0.9119999999999999,-1.3679999999999999,0.45599999999999996,-0.6000000000000001,0.2,0.3999999999999999,0.2327670972291321,17000.0,73034,87.6408,0.0009384995308669274,0.0006427344598180719,0.00028190107886757543,False,low,high
Ai2020,2.28,37.04603411316819,4.2,3.0,DCAC_DC0p2C_AC0p4C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,1.0,232.7670972291321,0.004296139840656329,0.45599999999999996,0.9119999999999999,-1.3679999999999999,0.45599999999999996,-0.6000000000000001,0.2,0.3999999999999999,2.327670972291321,17000.0,7303,8.763599999999999,0.009384995308669274,0.00642734459818072,0.0028190107886757547,False,low,low
Ai2020,2.28,37.04603411316819,4.2,3.0,DCAC_DC0p2C_AC0p4C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,10.0,2327.670972291321,0.000429613984065633,0.45599999999999996,0.9119999999999999,-1.3679999999999999,0.45599999999999996,-0.6000000000000001,0.2,0.3999999999999999,10.0,17000.0,1700,2.04,0.09384995308669274,0.0642734459818072,0.028190107886757545,False,medium,low
Ai2020,2.28,37.04603411316819,4.2,3.0,DCAC_DC0p4C_AC0p6C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,0.1,23.27670972291321,0.042961398406563295,0.9119999999999999,1.3679999999999999,-2.28,0.45599999999999996,-1.0,0.19999999999999996,0.0,0.2327670972291321,8500.0,36517,43.8204,0.0014077492963003911,0.0005198636423603661,0.00022801036945630098,False,low,medium
Ai2020,2.28,37.04603411316819,4.2,3.0,DCAC_DC0p4C_AC0p6C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,1.0,232.7670972291321,0.004296139840656329,0.9119999999999999,1.3679999999999999,-2.28,0.45599999999999996,-1.0,0.19999999999999996,0.0,2.327670972291321,8500.0,3651,4.3812,0.014077492963003911,0.005198636423603662,0.00228010369456301,False,low,low
Ai2020,2.28,37.04603411316819,4.2,3.0,DCAC_DC0p4C_AC0p6C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,10.0,2327.670972291321,0.000429613984065633,0.9119999999999999,1.3679999999999999,-2.28,0.45599999999999996,-1.0,0.19999999999999996,0.0,10.0,8500.0,850,1.02,0.1407749296300391,0.05198636423603662,0.0228010369456301,False,medium,low
Chen2020,5.0,39.04888331734019,4.2,2.5,DC_0p2C,DC,charge_first,I_py = -I_DC,0.2,0.0,0.0,,,,1.0,0.0,-1.0,0.0,-0.2,0.0,0.8,10.0,17000.0,1700,2.04,0.0,0.0,0.0,True,low,low
Chen2020,5.0,39.04888331734019,4.2,2.5,DC_0p4C,DC,charge_first,I_py = -I_DC,0.4,0.0,0.0,,,,2.0,0.0,-2.0,0.0,-0.4,0.0,0.6,10.0,8500.0,850,1.02,0.0,0.0,0.0,True,low,low
Chen2020,5.0,39.04888331734019,4.2,2.5,DCAC_DC0p2C_AC0p4C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,0.1,24.535136992128194,0.0407578730993366,1.0,2.0,-3.0,1.0,-0.6000000000000001,0.2,0.3999999999999999,0.24535136992128195,17000.0,69288,83.14559999999999,0.0021693824065188994,0.0014857086054212009,0.0002971417210842402,True,low,high
Chen2020,5.0,39.04888331734019,4.2,2.5,DCAC_DC0p2C_AC0p4C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,1.0,245.35136992128196,0.0040757873099336595,1.0,2.0,-3.0,1.0,-0.6000000000000001,0.2,0.3999999999999999,2.4535136992128197,17000.0,6928,8.3136,0.021693824065188997,0.014857086054212008,0.0029714172108424018,True,low,low
Chen2020,5.0,39.04888331734019,4.2,2.5,DCAC_DC0p2C_AC0p4C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,10.0,2453.5136992128196,0.00040757873099336596,1.0,2.0,-3.0,1.0,-0.6000000000000001,0.2,0.3999999999999999,10.0,17000.0,1700,2.04,0.21693824065188996,0.1485708605421201,0.029714172108424017,True,medium,low
Chen2020,5.0,39.04888331734019,4.2,2.5,DCAC_DC0p4C_AC0p6C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,0.1,24.535136992128194,0.0407578730993366,2.0,3.0,-5.0,1.0,-1.0,0.19999999999999996,0.0,0.24535136992128195,8500.0,34644,41.572799999999994,0.0032540736097783495,0.0012016873769597263,0.00024033747539194526,True,low,medium
Chen2020,5.0,39.04888331734019,4.2,2.5,DCAC_DC0p4C_AC0p6C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,1.0,245.35136992128196,0.0040757873099336595,2.0,3.0,-5.0,1.0,-1.0,0.19999999999999996,0.0,2.4535136992128197,8500.0,3464,4.1568,0.0325407360977835,0.012016873769597263,0.0024033747539194527,True,low,low
Chen2020,5.0,39.04888331734019,4.2,2.5,DCAC_DC0p4C_AC0p6C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,10.0,2453.5136992128196,0.00040757873099336596,2.0,3.0,-5.0,1.0,-1.0,0.19999999999999996,0.0,10.0,8500.0,850,1.02,0.32540736097783496,0.12016873769597264,0.024033747539194527,True,medium,low
OKane2022,5.0,40.05030791942619,4.2,2.5,DC_0p2C,DC,charge_first,I_py = -I_DC,0.2,0.0,0.0,,,,1.0,0.0,-1.0,0.0,-0.2,0.0,0.8,10.0,17000.0,1700,2.04,0.0,0.0,0.0,False,low,low
OKane2022,5.0,40.05030791942619,4.2,2.5,DC_0p4C,DC,charge_first,I_py = -I_DC,0.4,0.0,0.0,,,,2.0,0.0,-2.0,0.0,-0.4,0.0,0.6,10.0,8500.0,850,1.02,0.0,0.0,0.0,False,low,low
OKane2022,5.0,40.05030791942619,4.2,2.5,DCAC_DC0p2C_AC0p4C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,0.1,25.164350626735686,0.039738756419073144,1.0,2.0,-3.0,1.0,-0.6000000000000001,0.2,0.3999999999999999,0.2516435062673569,17000.0,67555,81.06599999999999,0.002225017106634788,0.0015238102109628626,0.00030476204219257255,False,low,high
OKane2022,5.0,40.05030791942619,4.2,2.5,DCAC_DC0p2C_AC0p4C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,1.0,251.64350626735686,0.003973875641907315,1.0,2.0,-3.0,1.0,-0.6000000000000001,0.2,0.3999999999999999,2.5164350626735685,17000.0,6755,8.106,0.022250171066347878,0.015238102109628624,0.003047620421925725,False,low,low
OKane2022,5.0,40.05030791942619,4.2,2.5,DCAC_DC0p2C_AC0p4C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,10.0,2516.4350626735686,0.00039738756419073143,1.0,2.0,-3.0,1.0,-0.6000000000000001,0.2,0.3999999999999999,10.0,17000.0,1700,2.04,0.22250171066347885,0.15238102109628626,0.03047620421925725,False,medium,low
OKane2022,5.0,40.05030791942619,4.2,2.5,DCAC_DC0p4C_AC0p6C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,0.1,25.164350626735686,0.039738756419073144,2.0,3.0,-5.0,1.0,-1.0,0.19999999999999996,0.0,0.2516435062673569,8500.0,33777,40.532399999999996,0.003337525659952182,0.001232505141798837,0.00024650102835976743,False,low,medium
OKane2022,5.0,40.05030791942619,4.2,2.5,DCAC_DC0p4C_AC0p6C_1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,1.0,251.64350626735686,0.003973875641907315,2.0,3.0,-5.0,1.0,-1.0,0.19999999999999996,0.0,2.5164350626735685,8500.0,3377,4.0524,0.03337525659952182,0.012325051417988368,0.0024650102835976737,False,low,low
OKane2022,5.0,40.05030791942619,4.2,2.5,DCAC_DC0p4C_AC0p6C_10tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.4,0.6,1.5,10.0,2516.4350626735686,0.00039738756419073143,2.0,3.0,-5.0,1.0,-1.0,0.19999999999999996,0.0,10.0,8500.0,850,1.02,0.33375256599521824,0.12325051417988371,0.024650102835976743,False,medium,low
Marquis2019,0.680616,41.71934892290287,4.1,3.105,DC_0p2C,DC,charge_first,I_py = -I_DC,0.2,0.0,0.0,,,,0.1361232,0.0,-0.1361232,0.0,-0.2,0.0,0.8,10.0,17000.0,1700,2.04,0.0,0.0,0.0,False,low,low
Marquis2019,0.680616,41.71934892290287,4.1,3.105,DC_0p4C,DC,charge_first,I_py = -I_DC,0.4,0.0,0.0,,,,0.2722464,0.0,-0.2722464,0.0,-0.4,0.0,0.6,10.0,8500.0,850,1.02,0.0,0.0,0.0,False,low,low
Marquis2019,0.680616,41.71934892290287,4.1,3.105,DCAC_DC0p2C_AC0p4C_0p1tau,DCAC,charge_first,I_py = -I_DC - I_AC * pybamm.sin(omega * t),0.2,0.4,2.0,0.1,26.213040017748177,0.038148951793570134,0.1361232,0.2722464,-0.4083696,0.1361232,-0.6000000000000001,0.2,0.3999999999999999,0.2621304001774818,17000.0,64853,77.8236,0.0003154984042945606,0.00021607010956138786,0.0003174625773731265,False,low,high
