parameter_set,model_type,condition,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s,neg_avg_sto_delta_mean,neg_avg_surface_sto_delta_mean,neg_surface_sto_range_delta_mean,elyte_c_range_delta_mean,eta_n_delta_mean_V,eta_p_delta_mean_V,smoke_microstate_class
Chen2020,DFN,DC03_AC07_0p1tau,-3.373375303874404,-11.40972751667141,3.732575600786504,0.0002462139890702543,0.0010352085760124531,0.010538727325721736,7.240531172651158,-0.03884919236989305,0.006574524444726515,near_zero_or_phase_oscillatory
Chen2020,DFN,DC03_AC07_10tau,331.5325647811462,100.07212435343081,517.9802193416099,6.890725222767277e-06,0.008713890087220741,0.04905333610228412,587.9031333962278,-0.045575184825227696,0.005824418939688136,persistent_gradient_polarization_shift_candidate
Chen2020,DFN,DC03_AC07_f000412,1098.3657983765215,210.5391809028368,1802.6834833615744,2.085821503174344e-05,0.009105011823267315,0.07133898764379225,604.3261850309559,-0.0468613575636955,0.005895182210530234,persistent_gradient_polarization_shift_candidate
