policy_id,min_U_NE_mV,margin_class,fraction_time_below_0mV,fraction_time_below_50mV,Q_at_min_U_NE_Ah,t_at_min_U_NE_s,I_charge_at_min_U_NE_A,I_charge_peak_observed_A,V_terminal_at_min_U_NE_V,max_c_e_range_molm3,c_e_range_at_min_U_NE_molm3,max_neg_surface_sto_range,surface_range_at_min_U_NE,eta_n_at_min_U_NE_V,max_c_e_range_vs_DC,surface_range_at_min_vs_DC,abs_eta_n_at_min_vs_DC
DC03_reference,37.28056183906979,near_boundary,0.0,0.21983715766099185,4.4928790028035,10782.9096067284,1.5,1.5,4.2,377.86842281485883,354.11854862261725,0.11671652965597157,0.11671652965597157,-0.04531043975666531,1.0,1.0,1.0
seed_sched_v2_conservative,24.160262360136276,near_boundary,0.0,0.2251685393258427,3.069916043894553,7284.636651267668,3.3592854112648913,3.3999912821600367,4.043494770243527,747.6848433551694,733.2190244804582,0.13327870236770345,0.09408751428154627,-0.06891482036589446,1.9786909892746094,0.8061198748701185,1.5209479478900194
seed_sched_v3_early_derate,20.499176522101415,near_boundary,0.0,0.22050570653887383,3.764382334111092,8991.725735369386,2.4917211494662923,3.3999912821600367,4.154231845718357,747.6848433551694,519.613456703727,0.13327870236770345,0.10398273739532571,-0.05734168467657226,1.9786909892746094,0.8908998382818661,1.265529202199745
seed_sched_v5_low_stress,16.256867294337823,near_boundary,0.0,0.20064076892270724,3.34573842229979,7966.6240600417905,2.980745201818558,2.999979942104556,4.090871367229088,670.1783594757309,623.7059032884405,0.12445887232841446,0.07849371117666193,-0.06326246366532906,1.773575983098468,0.6725158073841511,1.3962006108321416
seed_conservative_low_mid,35.07805199239103,near_boundary,0.0,0.20341489647754774,2.924414902374612,6942.188437687537,3.2136568315566882,3.2499833148153976,4.009669770396929,712.634678725352,697.4609549207973,0.12967362687114964,0.10626471498737156,-0.06616443594605356,1.8859333982361262,0.9104512899808852,1.4602470490549713
seed_balanced_late_off,25.04152390827897,near_boundary,0.0,0.19563397514328032,3.9022371239979075,9333.066613322664,2.245347116442714,3.2499833148153976,4.16481641031312,718.6095574516609,474.29157385855297,0.12967362687114964,0.10840612585051046,-0.053953941566456505,1.9017454596986851,0.9287983987361818,1.190761816839787
seed_aggressive_margin_test,3.647084866559196,near_boundary,0.0,0.2308213274227312,3.3558461928498695,7966.2134275557655,3.5755320657992096,3.5999833590827643,4.113792330747502,786.2546479581857,728.4559800464207,0.13816283712569039,0.08851794407900448,-0.07249197512838743,2.080763039422907,0.758401096570606,1.5998956425428121
seed_low_amplitude_long_window,18.189741823468072,near_boundary,0.0,0.18283481541363514,3.482260190318934,8306.652876459182,2.741124664143699,2.7499895402137655,4.1098168565651,621.4757038520739,565.6026069952441,0.12410153394298407,0.0826927722108094,-0.059712296305213616,1.6446881145095669,0.7084923828231607,1.3178485273127316
