model_type,condition,feature_id,tau_factor_set,omega_tau_set,n_Q,window_valid_fraction,delta_x_inst_mean,delta_x_inst_abs_mean,delta_x_cycle_mean,delta_x_cycle_abs_mean,cycle_amp_mean,cycle_amp_max,cycle_count_min,cycle_count_max
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,cell_temperature_K,0.5,2.0,80,1.0,0.0,0.0,-4.121147867408581e-14,4.831690603168681e-14,0.0,0.0,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,elyte_c_mean,0.5,2.0,80,1.0,-12.244343306140701,12.366123164647064,1.1366922287900294,1.1366922287900294,38.54606299586611,39.29256973061365,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,elyte_c_range,0.5,2.0,80,1.0,248.08664837853524,253.61983509773262,0.4236223906179418,3.9450888348630486,738.5072969248266,777.619747354836,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,eta_n_mean,0.5,2.0,80,1.0,-0.042208044017383164,0.04255530294830726,0.011790717135315201,0.011790717135315201,0.1337371111881978,0.1673657110246668,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,eta_p_mean,0.5,2.0,80,1.0,0.006333037398580832,0.00638816623026512,-0.0005138448076988094,0.0005138448076988094,0.017393708825745046,0.02008956728375688,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,j_n_mean_signed,0.5,2.0,80,1.0,-0.7990515750386418,0.8047360231186488,0.043008402380536506,0.043008402380536506,2.083068962906795,2.083546140655211,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,j_p_mean_signed,0.5,2.0,80,1.0,0.9047008724315143,0.9111369105527389,-0.0486944591298699,0.0486944591298699,2.3584895892119655,2.3590287834527928,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_avg_sto,0.5,2.0,80,1.0,-5.4565617933505055e-05,5.5048390933878746e-05,-0.0008927425098466748,0.0014926207162113026,0.010669414728268578,0.01071902356443144,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_avg_surface_sto,0.5,2.0,80,1.0,0.004833174505349202,0.004833174505349202,-0.001139757544418188,0.00160397021246889,0.020796266341365763,0.021120207970821425,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_max_surface_sto,0.5,2.0,80,1.0,0.019172775999635093,0.019172775999635093,0.011769074408029682,0.01195957594336666,0.026286524877357092,0.030222897895371748,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_min_surface_sto,0.5,2.0,80,1.0,-0.0012115903694656272,0.00328450491843211,-0.006589238383225363,0.006591253068104494,0.018362494672603084,0.021734736361422646,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_surface_minus_avg_sto,0.5,2.0,80,1.0,0.004887740123282704,0.004887740123282704,-0.00024701503457151097,0.00024701503457151097,0.012517330072314153,0.012529389285447001,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_surface_sto_range,0.5,2.0,80,1.0,0.020384366369100716,0.020384366369100716,0.018358312791255053,0.018358312791255056,0.008711831098755264,0.01293650245190231,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,pos_avg_sto,0.5,2.0,80,1.0,3.641500439449941e-05,3.673718861227915e-05,0.0005957821729222045,0.000996117921847131,0.007120358917049971,0.007153465955057947,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,pos_avg_surface_sto,0.5,2.0,80,1.0,-0.007451617081035147,0.007473087201770689,0.0009729661731728567,0.0011885967882412584,0.02808871531048875,0.02872774025629843,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,pos_surface_minus_avg_sto,0.5,2.0,80,1.0,-0.00748803208542965,0.0075064273458919336,0.0003771840002506659,0.0003771840002506659,0.02216279569473833,0.02256951519431838,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,total_heating_mean,0.5,2.0,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.471482243474841,70.25847424177101
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,cell_temperature_K,1.5,0.6666666666666666,80,1.0,0.0,0.0,-2.7711166694643907e-14,3.623767952376511e-14,0.0,0.0,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,elyte_c_mean,1.5,0.6666666666666666,80,1.0,-23.452765298492082,23.452765298492082,1.86452787512319,1.86452787512319,62.60902687921068,64.17366377234578,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,elyte_c_range,1.5,0.6666666666666666,80,1.0,526.7398122076825,526.7398122076826,121.85509804154154,121.85509804154154,995.6219142510265,1045.8711672095574,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,eta_n_mean,1.5,0.6666666666666666,80,1.0,-0.044933015630196575,0.04554360034790098,0.00816373466059124,0.00816373466059124,0.13549512873261071,0.16854518582953815,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,eta_p_mean,1.5,0.6666666666666666,80,1.0,0.0059587073371152235,0.006053109590269194,-0.0004892645963038559,0.0004892645963038559,0.017207433640384462,0.019728377206221115,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,j_n_mean_signed,1.5,0.6666666666666666,80,1.0,-0.7963953206349793,0.8063076746484938,0.016218796305943275,0.016218796305943275,2.0834797404921233,2.0835459755390837,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,j_p_mean_signed,1.5,0.6666666666666666,80,1.0,0.9016936185865905,0.912916596387039,-0.01836323107665437,0.01836323107665437,2.3589546476485346,2.359029611255515,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_avg_sto,1.5,0.6666666666666666,80,1.0,1.4386793478452127e-05,2.990965823674186e-05,-0.0024610344250957233,0.004515846573175659,0.03202449164865263,0.03213726508731592,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_avg_surface_sto,1.5,0.6666666666666666,80,1.0,0.0075595113871939346,0.0075595113871939346,-0.0026221713819652133,0.004557399854660623,0.04356326465799581,0.04423609019497174,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_max_surface_sto,1.5,0.6666666666666666,80,1.0,0.03518972271761458,0.03518972271761458,0.02095383047213398,0.021463447462869746,0.057794994743570506,0.07003462967583668,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_min_surface_sto,1.5,0.6666666666666666,80,1.0,-0.00533864061819341,0.006860156415475284,-0.013669028200316702,0.013729385580624354,0.03712475965453514,0.0455068863821011,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_surface_minus_avg_sto,1.5,0.6666666666666666,80,1.0,0.007545124593715484,0.007545124593715484,-0.000161136956869499,0.000161136956869499,0.018733883593771785,0.018741256428673664,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_surface_sto_range,1.5,0.6666666666666666,80,1.0,0.04052836333580799,0.04052836333580799,0.03462285867245067,0.03462285867245067,0.023402420285556363,0.03648583027166169,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,pos_avg_sto,1.5,0.6666666666666666,80,1.0,-9.601195177636607e-06,1.9960560832821968e-05,0.0016424001559771791,0.0030137031162679796,0.021371919686496273,0.021447180361994,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,pos_avg_surface_sto,1.5,0.6666666666666666,80,1.0,-0.014398007391892795,0.014398007391892795,0.001960875404885363,0.0031314485150729966,0.05566300385715874,0.05756065879709471,1.1829328066771567,23.2277487213083
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,pos_surface_minus_avg_sto,1.5,0.6666666666666666,80,1.0,-0.014388406196715168,0.014388406196715168,0.0003184752489081885,0.0003184752489081885,0.0388687835135982,0.03999803072585861,1.1829328066771567,23.2277487213083
