param_set,anchor_label,phase_label,Q_Ah,Q_frac_nom_added,t_DC_s,t_DCAC_s,dtQ_s,dtQ_geom_s,dtQ_resid_s,window_full,window_stable_added,protocol_DC,protocol_DCAC,status,segment_A_Q_lo_Ah,segment_A_Q_hi_Ah,segment_A_before_earliest_Vmax,Q_to_Vmax_DC_Ah,Q_to_Vmax_DCAC_Ah,Q_to_Vmax_shift_Ah,Q_to_Vmax_shift_pct_nom,t_to_Vmax_shift_s,has_cv_feedback_in_current_npz,Q_nom_Ah,f_anchor_Hz,T_period_s,full_geom_mean_s,full_resid_mean_s,full_resid_max_abs_s,stable_geom_mean_s,stable_resid_mean_s,stable_resid_max_abs_s,window_full_bool,window_stable_added_bool,inside_segment_A_by_boundary,segment_A_row,dtQ_identity_err_s,abs_resid_s,abs_geom_s,abs_model_s,resid_over_geom,resid_over_model
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,1.0289999233488225,0.2057999846697644,3704.399724055758,2969.39666652487,735.0030575308879,735.0050989583619,-0.0020414274740687,True,True,DC_0p2C,DCAC_DC0p2C_AC0p5C_10tau,OK,1.0,3.668944108030942,True,4.6250000000000036,3.7689441080309423,0.8560558919690613,17.121117839381224,3852.061492693583,False,5.0,0.0004075787309933,2453.513699213217,1262.2486683967898,-0.0016021667104638,0.0148704716291376,1277.6954014641344,-0.0017131260501114,0.0142593092532479,True,True,True,True,0.0,0.0020414274740687,735.0050989583619,735.0030575308879,2.7774330776232433e-06,2.7774407917791697e-06
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,1.0722776968682013,0.2144555393736402,3860.19970872552,3014.520294238122,845.6794144873979,845.6812027818273,-0.0017882944293887,True,True,DC_0p2C,DCAC_DC0p2C_AC0p5C_10tau,OK,1.0,3.668944108030942,True,4.6250000000000036,3.7689441080309423,0.8560558919690613,17.121117839381224,3852.061492693583,False,5.0,0.0004075787309933,2453.513699213217,1262.2486683967898,-0.0016021667104638,0.0148704716291376,1277.6954014641344,-0.0017131260501114,0.0142593092532479,True,True,True,True,0.0,0.0017882944293887,845.6812027818273,845.6794144873979,2.114620052457347e-06,2.114624524084769e-06
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,1.1155554703875803,0.223111094077516,4015.99969339528,3059.1466526050567,956.8530407902232,956.8550097299052,-0.0019689396822286,True,True,DC_0p2C,DCAC_DC0p2C_AC0p5C_10tau,OK,1.0,3.668944108030942,True,4.6250000000000036,3.7689441080309423,0.8560558919690613,17.121117839381224,3852.061492693583,False,5.0,0.0004075787309933,2453.513699213217,1262.2486683967898,-0.0016021667104638,0.0148704716291376,1277.6954014641344,-0.0017131260501114,0.0142593092532479,True,True,True,True,2.2737367544323206e-13,0.0019689396822286,956.8550097299052,956.8530407902232,2.0577199912287434e-06,2.0577242254490184e-06
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,1.1588332439069595,0.2317666487813919,4171.799678065042,3103.70039586993,1068.0992821951118,1068.1009588925162,-0.0016766974044912,True,True,DC_0p2C,DCAC_DC0p2C_AC0p5C_10tau,OK,1.0,3.668944108030942,True,4.6250000000000036,3.7689441080309423,0.8560558919690613,17.121117839381224,3852.061492693583,False,5.0,0.0004075787309933,2453.513699213217,1262.2486683967898,-0.0016021667104638,0.0148704716291376,1277.6954014641344,-0.0017131260501114,0.0142593092532479,True,True,True,True,0.0,0.0016766974044912,1068.1009588925162,1068.0992821951118,1.5697929961880386e-06,1.569795460441958e-06
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,1.2021110174263383,0.2404222034852677,4327.599662734806,3148.600998947656,1178.9986637871498,1179.0000807551585,-0.0014169680084705,True,True,DC_0p2C,DCAC_DC0p2C_AC0p5C_10tau,OK,1.0,3.668944108030942,True,4.6250000000000036,3.7689441080309423,0.8560558919690613,17.121117839381224,3852.061492693583,False,5.0,0.0004075787309933,2453.513699213217,1262.2486683967898,-0.0016021667104638,0.0148704716291376,1277.6954014641344,-0.0017131260501114,0.0142593092532479,True,True,True,True,-2.2737367544323206e-13,0.0014169680084705,1179.0000807551585,1178.9986637871498,1.2018387713450548e-06,1.2018402157632232e-06
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,1.2453887909457175,0.2490777581891435,4483.3996474045725,3194.2964156201397,1289.1032317844329,1289.1048717059816,-0.0016399215487581,True,True,DC_0p2C,DCAC_DC0p2C_AC0p5C_10tau,OK,1.0,3.668944108030942,True,4.6250000000000036,3.7689441080309423,0.8560558919690613,17.121117839381224,3852.061492693583,False,5.0,0.0004075787309933,2453.513699213217,1262.2486683967898,-0.0016021667104638,0.0148704716291376,1277.6954014641344,-0.0017131260501114,0.0142593092532479,True,True,True,True,0.0,0.0016399215487581,1289.1048717059816,1289.1032317844329,1.2721397496449245e-06,1.272141367986526e-06
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,1.2886665644650963,0.2577333128930193,4639.199632074339,3241.306036090114,1397.8935959842252,1397.8942961421958,-0.0007001579706411,True,True,DC_0p2C,DCAC_DC0p2C_AC0p5C_10tau,OK,1.0,3.668944108030942,True,4.6250000000000036,3.7689441080309423,0.8560558919690613,17.121117839381224,3852.061492693583,False,5.0,0.0004075787309933,2453.513699213217,1262.2486683967898,-0.0016021667104638,0.0148704716291376,1277.6954014641344,-0.0017131260501114,0.0142593092532479,True,True,True,True,0.0,0.0007001579706411,1397.8942961421958,1397.8935959842252,5.00866176057334e-07,5.008664269243859e-07
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,1.3319443379844755,0.2663888675968951,4794.999616744102,3290.2813008611,1504.718315883002,1504.7205878134382,-0.0022719304361089,True,True,DC_0p2C,DCAC_DC0p2C_AC0p5C_10tau,OK,1.0,3.668944108030942,True,4.6250000000000036,3.7689441080309423,0.8560558919690613,17.121117839381224,3852.061492693583,False,5.0,0.0004075787309933,2453.513699213217,1262.2486683967898,-0.0016021667104638,0.0148704716291376,1277.6954014641344,-0.0017131260501114,0.0142593092532479,True,True,True,True,0.0,0.0022719304361089,1504.7205878134382,1504.718315883002,1.5098686457200144e-06,1.5098709254267837e-06
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,1.3752221115038543,0.2750444223007709,4950.799601413866,3342.10978772272,1608.6898136911464,1608.6891227880385,0.0006909031080795,True,True,DC_0p2C,DCAC_DC0p2C_AC0p5C_10tau,OK,1.0,3.668944108030942,True,4.6250000000000036,3.7689441080309423,0.8560558919690613,17.121117839381224,3852.061492693583,False,5.0,0.0004075787309933,2453.513699213217,1262.2486683967898,-0.0016021667104638,0.0148704716291376,1277.6954014641344,-0.0017131260501114,0.0142593092532479,True,True,True,True,-2.2737367544323206e-13,0.0006909031080795,1608.6891227880385,1608.6898136911464,4.294820536127499e-07,4.2948186915799484e-07
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,1.4184998850232335,0.2836999770046467,5106.599586083629,3398.1201672355746,1708.4794188480546,1708.4830672393473,-0.0036483912926996,True,True,DC_0p2C,DCAC_DC0p2C_AC0p5C_10tau,OK,1.0,3.668944108030942,True,4.6250000000000036,3.7689441080309423,0.8560558919690613,17.121117839381224,3852.061492693583,False,5.0,0.0004075787309933,2453.513699213217,1262.2486683967898,-0.0016021667104638,0.0148704716291376,1277.6954014641344,-0.0017131260501114,0.0142593092532479,True,True,True,True,0.0,0.0036483912926996,1708.4830672393473,1708.4794188480546,2.13545651265649e-06,2.1354610728407454e-06
