condition,case_role,protocol_type,schedule_type,min_U_NE_mV,margin_class,Q_frac_of_DC_end_at_min_U_NE,I_charge_at_min_U_NE_A,V_terminal_at_min_U_NE_V,c_e_range_at_min_U_NE_molm3,max_c_e_range_molm3,mean_c_e_range_molm3,c_e_range_at_min_vs_DC,max_c_e_range_vs_DC,neg_surface_sto_range_at_min_U_NE,max_neg_surface_sto_range,mean_neg_surface_sto_range,surface_range_at_min_vs_DC,max_surface_range_vs_DC,eta_n_at_min_U_NE_V,eta_n_at_min_vs_DC,microstate_context_class
Chen2020_DFN_Day34_DC03,dc_reference,DC,constant,37.28056183906979,near_boundary,1.0,1.5,4.2,354.11854862261725,377.86842281485883,347.35359892768224,0.9371477668990665,1.0,0.11671652965597157,0.11671652965597157,0.05721664980828229,1.0,1.0,-0.04531043975666531,1.0,dc_reference_context
Chen2020_DFN_Day34_fixed_AC0p38,fixed_near_boundary_baseline,DCAC,constant,0.5656856544375326,near_boundary,0.8694889377022643,3.3741398314382796,4.20000000000005,623.7327186682746,747.6848433551694,345.2509147486209,1.650661132311339,1.9786909892746094,0.12683400687991409,0.13327870236770345,0.06590963562999097,1.0866841847831181,1.1419008323889495,-0.07321158460629495,1.6157774013995374,transport_surface_stress_with_margin_pressure
Chen2020_DFN_Day34_fixed_AC0p7,fixed_stress_baseline,DCAC,constant,-25.30820344967092,risk_flag,0.7842751409684222,4.9533672638038935,4.194776116962791,961.3940093992884,1054.0890622244815,470.6739151374216,2.5442560196948105,2.78956641672317,0.13326621568460062,0.1730201409414363,0.0834458717227204,1.1417938494008533,1.482396207730154,-0.09141658227888828,2.017561135354918,transport_surface_stress_with_margin_pressure
Chen2020_DFN_Day34_sched_Qfrac_v1,rule_based_state_aware_v1,DCAC_SCHEDULED,qfrac_time_proxy,7.750469429029426,near_boundary,0.7461741035071637,3.3772296451254302,4.106146107581967,693.577657768825,747.6848433551694,347.59530300588705,1.8355004437845068,1.9786909892746094,0.08496026771174348,0.13327870236770345,0.07025737264582246,0.7279197553437252,1.1419008323889495,-0.06952142017545634,1.5343355868716664,transport_surface_stress_with_margin_pressure
