condition,case_role,protocol_type,schedule_type,min_U_NE_mV,margin_class,fraction_time_below_50mV,fraction_time_below_0mV,Q_end_Ah,Q_at_min_U_NE_Ah,Q_frac_of_DC_end_at_min_U_NE,t_at_min_U_NE_s,phase_norm_at_min_U_NE,I_charge_at_min_U_NE_A,I_charge_peak_observed_A,V_terminal_at_min_U_NE_V,distance_to_4p2V_at_min_U_NE_mV,c_e_range_at_min_U_NE_molm3,max_c_e_range_molm3,neg_surface_sto_range_at_min_U_NE,eta_n_at_min_U_NE_V
Chen2020_DFN_Day34_DC03,dc_reference,DC,constant,37.28056183906979,near_boundary,0.21983715766099185,0.0,4.4928790028035,4.4928790028035,1.0,10782.9096067284,,1.5,1.5,4.2,0.0,354.11854862261725,377.86842281485883,0.11671652965597157,-0.04531043975666531
Chen2020_DFN_Day34_fixed_AC0p38,fixed_near_boundary_baseline,DCAC,constant,0.5656856544375326,near_boundary,0.143701991706886,0.0,3.9065085913724236,3.9065085913724236,0.8694889377022643,9318.002844598159,0.22371183468978745,3.3741398314382796,3.3999912821600367,4.20000000000005,-4.973799150320701e-11,623.7327186682746,747.6848433551694,0.12683400687991409,-0.07321158460629495
Chen2020_DFN_Day34_fixed_AC0p7,fixed_stress_baseline,DCAC,constant,-25.30820344967092,risk_flag,0.2201935483870968,0.03948387096774193,3.633944665066004,3.523653313277779,0.7842751409684222,8309.073455128717,0.2759983151142233,4.9533672638038935,4.999984249864502,4.194776116962791,5.2238830372095535,961.3940093992884,1054.0890622244815,0.13326621568460062,-0.09141658227888828
Chen2020_DFN_Day34_sched_Qfrac_v1,rule_based_state_aware_v1,DCAC_SCHEDULED,qfrac_time_proxy,7.750469429029426,near_boundary,0.2231794742799648,0.0,4.4924891412062395,3.3524699620830614,0.7461741035071637,7966.328807371278,0.2746269183626077,3.3772296451254302,3.3999912821600367,4.106146107581967,93.85389241803298,693.577657768825,747.6848433551694,0.08496026771174348,-0.06952142017545634
