param_set,Q_nom_Ah,q_lo_Ah,q_hi_Ah,n_grid,n_valid,dV_median_V,dV_mean_V,dV_max_V,dV_min_V,frac_dV_positive,frac_dV_above_10mV
Chen2020,5.0,0.25,3.6291798087944698,80,80,0.10759876994290662,0.09772656530181664,0.14185697868227853,0.006090040205813274,1.0,0.9875
OKane2022,5.0,0.25,3.599726364090007,80,80,0.10951446596059267,0.09777081328270358,0.1444669643776204,-0.01967534973592322,0.9625,0.9625
