param_set,segment,segment_interpretation,n_points,n_finite,Q_lo_Ah,Q_hi_Ah,dt_full_mean_s,dt_full_median_s,dt_full_min_s,dt_full_max_s,dt_full_mean_min,dt_full_median_min,dt_full_min_min,dt_full_max_min,stage_DC_modes,stage_DCAC_modes,V_DC_median_V,V_DCAC_median_V,I_DC_median_A,I_DCAC_median_A
Chen2020,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,91,91,0.2436294215340723,3.7445227897967923,1262.7282990651647,1266.1801123889065,466.60584528794607,1952.2737518098602,21.04547165108608,21.103001873148443,7.776764088132435,32.53789586349767,CC_until_Vmax,CC_until_Vmax,3.751355872697116,3.853669582936077,-1.0,-3.243297218866527
Chen2020,B_between_DCAC_Vmax_and_DC_Vmax,DCAC already voltage-limited while DC still approaches Vmax,22,22,3.7834216049997114,4.600296724261012,1687.1129220169423,1752.1286179797116,807.0303331858831,2299.8671635437877,28.11854870028237,29.202143632995195,13.450505553098052,38.33111939239646,CC_until_Vmax,CV_after_Vmax,4.136063171699359,4.2,-1.0,-2.377668938580924
Chen2020,D_late_CV_feedback_region,late post-DC-Vmax region; both branches have reached voltage boundary,7,7,4.639195539463931,4.8725884306814455,2260.9607261830993,2259.923601716362,2235.3601505233455,2287.8534346652905,37.68267876971832,37.665393361939365,37.256002508722425,38.13089057775484,CV_after_Vmax,CV_after_Vmax,4.200000000000001,4.2,-0.46226467747638983,-0.4530748943367981
OKane2022,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,92,92,0.24177844329675838,3.7546770017849536,1278.9537064992403,1312.9301428940853,436.4868219544978,2000.3064237429153,21.31589510832067,21.882169048234754,7.274780365908297,33.33844039571525,CC_until_Vmax,CC_until_Vmax,3.756930665920336,3.870244588501107,-1.0,-3.2364500157039786
OKane2022,B_between_DCAC_Vmax_and_DC_Vmax,DCAC already voltage-limited while DC still approaches Vmax,21,21,3.793280282647461,4.565345899897614,1422.7147053290817,1483.8106416574537,606.6870416374968,1993.2893707963722,23.711911755484696,24.730177360957562,10.11145069395828,33.22148951327287,CC_until_Vmax,CV_after_Vmax,4.137540292476951,4.2,-1.0,-2.312446826722627
OKane2022,D_late_CV_feedback_region,late post-DC-Vmax region; both branches have reached voltage boundary,7,7,4.603949180760122,4.835568865935167,1961.644309114614,1961.4455788091036,1946.5581223472127,1982.817873354621,32.6940718185769,32.69075964681839,32.442635372453545,33.04696455591035,CV_after_Vmax,CV_after_Vmax,4.199999999999999,4.2,-0.47297575373448,-0.46695936520365805
ORegan2022,A_pre_DCAC_Vmax,shared pre-Vmax region; Segment A geometry-dominated,78,78,0.239610371716103,3.185408471049369,1465.6452959441126,1438.136869868947,439.310746246534,2386.1182013053326,24.427421599068545,23.96894783114912,7.321845770775567,39.76863668842221,CC_until_Vmax,CC_until_Vmax,3.6510296273459835,3.736384421423465,-1.0,-3.2812734901547773
ORegan2022,B_between_DCAC_Vmax_and_DC_Vmax,DCAC already voltage-limited while DC still approaches Vmax,40,40,3.2236655892225285,4.7156931979757415,3425.0464155770364,3520.355054030796,1663.072302746532,4779.182107440462,57.084106926283944,58.6725842338466,27.7178717124422,79.65303512400769,CC_until_Vmax,CV_after_Vmax,4.0991613311118344,4.4,-1.0,-2.6581037414589304
ORegan2022,D_late_CV_feedback_region,late post-DC-Vmax region; both branches have reached voltage boundary,2,2,4.7539503161489005,4.7922074343220595,4944.376036023649,4944.376036023649,4827.295275277376,5061.456796769922,82.40626726706083,82.40626726706083,80.45492125462293,84.35761327949871,CV_after_Vmax,CV_after_Vmax,4.4,4.4,-0.2913478988986864,-0.38213920523701095
