condition,kappa,tau_label,DC,AC,f_Hz,X5A_Q80,X5A_Q40,X5A_Q90,X5A_range,X5A_stable,pl_Q80,pl_Q40,pl_Q90,pl_range,pl_stable
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,2.1775672496291616,-0.9483354677817867,50.47969891063579,52.14099871038221,False,0.19768294461476518,-0.9413926485633358,48.74873673523319,50.39424873148346,False
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,-0.5502150812602243,-0.6607517741802137,-0.7656258911636542,0.5693282790896774,True,-0.5495764602062384,-0.670232837119056,-0.12732820824906715,0.5429046288699888,True
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,-0.5765971242286468,-0.2889183455591289,1.8560412693270336,2.4326383935556803,True,-0.582617276507123,-0.2893795960393163,1.3510445560750062,1.9336618325821293,True
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,-5.296641195640829,-2.48870634363675,4.392524640467855,9.689165836108684,False,-5.297243402447808,-2.485503508190292,-1.7016264866721638,4.661598077611264,True
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,-2.1491048793333904,-0.17787070138177416,-4.116775308673156,14.663922277318852,False,-1.5656030867187534,-0.17683433462204146,-3.9596437106651745,14.651311352116014,False
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,1.394549325630578,-0.29372740242570217,18.662917282781716,19.208247177442264,False,0.9869579413906346,-0.29739544637289633,18.46801175530521,19.01766056225806,False
0.2+0.8C 1τ,4.0,1τ,0.2,0.8,0.0143,4.144834349829307,-0.39902674414026174,21.44346181639806,22.014765794490298,False,3.3527901433956684,-0.390026691926793,20.852243731751877,21.41944342029616,False
0.2+0.8C 10τ,4.0,10τ,0.2,0.8,0.00143,9.326338160326335,-3.3576359718076065,26.51723823011113,32.40993162494084,False,9.406450253295679,-3.3640603767215302,26.7480928998449,32.64319402159903,False
0.3+0.7C 0.1τ,2.3333333333333335,0.1τ,0.3,0.7,0.143,2.486447820769869,-0.1693601469529161,9.255249875283699,9.551013202473861,False,2.2683277484483977,-0.16560580581796483,9.264707777097435,9.565475903306712,False
0.3+0.7C 1τ,2.3333333333333335,1τ,0.3,0.7,0.0143,3.5853661774760743,-0.47446288885489596,10.431400875064446,11.10117255045349,False,2.9491926841832536,-0.48435833435467734,9.963333082930633,10.64646028645205,False
0.3+0.7C 10τ,2.3333333333333335,10τ,0.3,0.7,0.00143,7.268975396650543,-7.052795443317973,14.043943817315903,21.096739260633875,False,-0.13416029251305492,-7.055995492102693,6.874864902318617,13.930860394421309,False
0.3+0.4C 0.1τ,1.3333333333333337,0.1τ,0.3,0.4,0.143,-0.26316298863739573,-0.14135314216287043,5.482102396350789,5.745265384988184,False,-0.2500762919231723,-0.1433526521601228,5.252100124717951,5.502176416641124,False
0.3+0.4C 1τ,1.3333333333333337,1τ,0.3,0.4,0.0143,-0.1701515312898664,-0.38795705408844394,6.091795150715977,6.631735890217017,False,-0.16206410783888714,-0.38903603353148053,5.774188130120395,6.310507736234285,False
0.3+0.4C 10τ,1.3333333333333337,10τ,0.3,0.4,0.00143,0.7674267192990859,-0.08784919481942476,7.496989522434705,11.397540425509032,False,0.8213921131545855,-0.08866062989874687,7.7177403330106245,11.621308652654958,False
0.4+0.6C 0.5τ,1.4999999999999998,0.5τ,0.4,0.6,0.0286,2.454544508071846,-0.1569735928350686,4.623452221309238,4.855446556723457,True,2.269414413677517,-0.15401709917684153,4.549104318790236,4.777769146122061,True
