anchor_label,Q_Ah,segment,t_DC_s,t_DCAC_s,dt_full_s,dt_full_min,stage_DC,stage_DCAC,V_DC_V,V_DCAC_V,I_DC_A,I_DCAC_A
Q80_common,3.898070760468285,B_between_DCAC_Vmax_and_DC_Vmax,14033.054737685827,12944.723653023293,1088.3310846625336,18.13885141104223,CC_until_Vmax,CV_after_Vmax,4.108356107024298,4.2,-1.0,-2.9865732699674603
Q90_common,4.38532960552682,B_between_DCAC_Vmax_and_DC_Vmax,15787.186579896552,13676.462152713491,2110.7244271830605,35.178740453051006,CC_until_Vmax,CV_after_Vmax,4.149005899416338,4.200000000000001,-1.0,-1.7453724233313708
Q80_nominal_5Ah,4.0,B_between_DCAC_Vmax_and_DC_Vmax,14400.0,13071.97257009845,1328.027429901549,22.13379049835915,CC_until_Vmax,CV_after_Vmax,4.121730173031482,4.2,-1.0,-2.7890103994497166
Q90_nominal_5Ah,4.5,B_between_DCAC_Vmax_and_DC_Vmax,16200.0,13946.289731935425,2253.710268064575,37.561837801076244,CC_until_Vmax,CV_after_Vmax,4.166696171199913,4.2,-1.0,-1.3332110954764043
