policy_id,source,early_ac_c,mid_ac_c,qfrac_derate,qfrac_ac_off,I_charge_min_A,I_charge_max_A,AC_C_min,AC_C_max,Q_geom_end_Ah,t_derate_min,t_ac_off_min
seed_sched_v2_conservative,Day35_primary_candidate,0.38,0.1,0.7,0.8,-0.39999997128705433,3.399999764100877,0.0,0.38,5.006583805248922,125.80061207849799,143.77212808971203
seed_sched_v3_early_derate,Day35_balanced_candidate,0.38,0.2,0.7,0.85,-0.39999997128705433,3.399999764100877,0.0,0.38,5.013241063095885,125.80061207849799,152.75788609531898
seed_sched_v5_low_stress,Day35_low_stress_candidate,0.3,0.1,0.75,0.85,2.2668114940671558e-08,2.9999998137638504,0.0,0.3,5.031817936028244,134.78637008410502,152.75788609531898
seed_conservative_low_mid,Day38_seed,0.35,0.05,0.65,0.78,-0.24999997355386605,3.249999782724492,0.0,0.35,5.052324161495534,116.814854072891,140.17782488746923
seed_balanced_late_off,Day38_seed,0.35,0.15,0.7,0.88,-0.24999997355386605,3.249999782724492,0.0,0.35,5.01420462342526,125.80061207849799,158.1493408986832
seed_aggressive_margin_test,Day38_seed,0.42,0.2,0.75,0.9,-0.5999999682646391,3.5999997392693905,0.0,0.42,5.052390447962947,134.78637008410502,161.743644100926
seed_low_amplitude_long_window,Day38_seed,0.25,0.1,0.8,0.93,0.2500000188900957,2.7499998448032086,0.0,0.25,5.0179548619894785,143.77212808971203,167.1350989042902
