condition,descr,Q_CC_end_mAh,Q_window_lo,Q_window_hi,x_p_lo,x_p_hi
0.1+0.9C 1τ,"high κ, low DC",4056.8283228950454,1025.0,4006.8283228950454,0.7087761789797171,0.366959455890263
0.3+0.7C 10τ,moderate κ,3649.446939262072,1025.0,3599.446939262072,0.6803506844320333,0.3895252749964796
0.5+0.5C 1τ,balanced,3770.5366434219595,1025.0,3720.5366434219595,0.6966981641720251,0.37808166106217284
0.9+0.1C 16.7τ,"low κ, slow AC",3630.475150379469,1025.0,3580.475150379469,0.6610879358057247,0.37162331517763164
0.9+0.1C 1.67τ,"row 22, min Q_CC_end",3585.9303629759615,1025.0,3535.9303629759615,0.6638462829330087,0.3758425309646005
