parameter_key
Negative current collector specific heat capacity [J.kg-1.K-1]
Negative electrode double-layer capacity [F.m-2]
Negative electrode specific heat capacity [J.kg-1.K-1]
Nominal cell capacity [A.h]
Positive current collector specific heat capacity [J.kg-1.K-1]
Positive electrode double-layer capacity [F.m-2]
Positive electrode specific heat capacity [J.kg-1.K-1]
Separator specific heat capacity [J.kg-1.K-1]
