parameter_set,model_type,condition,feature_id,delta_x_mean,delta_x_median,delta_x_abs_mean,delta_x_max_abs,delta_x_std,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s
Chen2020,DFN,DC03_AC07_0p1tau,cell_temperature_K,0.0,0.0,0.0,0.0,0.0,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,elyte_c_mean,-0.5294319067776783,-0.5912264479341616,0.8049221069131149,1.9700446763129094,0.7912953067430374,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,elyte_c_range,7.240531172651158,7.683649678605747,12.59173028157468,32.29135000703917,13.082327013563816,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,eta_n_mean,-0.03884919236989305,-0.045233883379296874,0.03999901621999018,0.05250142544276582,0.01571248177642564,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,eta_p_mean,0.006574524444726515,0.0076981747708808786,0.00670355853847919,0.009493066214717343,0.002743615621528202,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,j_n_mean_signed,-0.7834375020920992,-0.9212493808137181,0.7991375917720841,1.0406213810023963,0.32395330712713816,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,j_p_mean_signed,0.8869969937722777,1.0430139953711766,0.9047124913521392,1.1782109351484935,0.3667305197894095,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,neg_avg_sto,0.0002462139890702543,0.0002585686166486356,0.0002462139890702543,0.000609033795386904,0.00017545731166962773,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,neg_avg_surface_sto,0.0010352085760124531,0.0011733471518505095,0.0010507067896504468,0.001886996629610893,0.0005728820865821963,-3.373375303874404,-11.40972751667141,3.732575600786504
Chen2020,DFN,DC03_AC07_0p1tau,neg_max_surface_sto,0.007827119944227032,0.005116656351958737,0.007827119944227032,0.022470648971981255,0.0063363667942582125,-3.373375303874404,-11.40972751667141,3.732575600786504
