condition,protocol_type,case_role,dc_c,ac_c,peak_c,tau_factor_set,f_Hz,period_s,omega_tau_set,t_at_min_U_NE_s,t_at_min_U_NE_min,Q_at_min_U_NE_Ah,Q_frac_of_DC_end_at_min_U_NE,phase_norm_at_min_U_NE,I_charge_at_min_U_NE_A,I_charge_peak_A,V_terminal_at_min_U_NE_V,distance_to_4p2V_at_min_U_NE_mV,min_U_NE_mV,U_NE_separator_at_min_mV,U_NE_xavg_at_min_mV,margin_class,fraction_time_below_50mV,fraction_time_below_0mV,c_e_min_at_min_U_NE_molm3,c_e_max_at_min_U_NE_molm3,c_e_range_at_min_U_NE_molm3,c_e_range_p90_molm3,eta_n_at_min_U_NE_V,eta_p_at_min_U_NE_V,neg_surface_sto_xavg_at_min_U_NE,neg_surface_sto_max_at_min_U_NE,neg_surface_sto_min_at_min_U_NE,neg_surface_sto_range_at_min_U_NE,neg_surface_sto_range_p90,trigger_label,risk_mechanism_class,c_e_range_vs_DC_at_min,surface_range_vs_DC_at_min
Chen2020_DFN_Day33C_DC03,DC,dc_reference,0.3,0.0,0.3,,,,,10782.9096067284,179.71516011214,4.4928790028035,1.0,,1.5,1.5,4.2,0.0,37.28056183906979,37.91745153837418,46.709658513080605,near_boundary,0.21983715766099185,0.0,806.270398714956,1160.3889473375732,354.11854862261725,359.6022120374836,-0.04531043975666531,0.003981603140602807,0.8464727204603096,0.9221540319771662,0.8054375023211946,0.11671652965597157,0.10531789124755246,dc_reference+high_Q_or_SOC+boundary_coupled+high_surface_heterogeneity,highSOC_boundary_coupled,1.0,1.0
Chen2020_DFN_Day33C_DC03_AC0p38_0p5tauSet,DCAC,AC0p38_0p5tauSet,0.3,0.38,0.6799999999999999,0.5,0.008764875571101144,114.09175086262731,2.0,9501.100220044009,158.35167033406682,3.969665715468756,0.8835460988358989,0.275961217247442,3.374778537800362,3.4,4.199147695391165,0.8523046088351194,3.5413030588505623,4.697847130292954,19.5958575922986,near_boundary,0.12534089669466564,0.0,742.0106044733001,1222.4648490922025,480.4542446189024,552.0924018040763,-0.07244126564400113,0.008367611011367515,0.7593376822514932,0.8385269043606275,0.7208050608343128,0.11772184352631465,0.11416645533513065,current_peak+charge_peak_phase+high_Q_or_SOC+boundary_coupled+high_surface_heterogeneity,peak_current_highSOC_boundary_coupled,1.3567610239217394,1.0086132947347415
Chen2020_DFN_Day33C_DC03_AC0p38_1p5tauSet,DCAC,AC0p38_1p5tauSet,0.3,0.38,0.6799999999999999,1.5,0.002921625190367048,342.27525258788194,0.6666666666666666,9317.81366486385,155.2968944143975,3.9063328318012034,0.869449818115222,0.2231591224125244,3.3730445127283275,3.4,4.200000000000002,-1.7763568394002505e-12,0.5840363154033125,1.8792116732723858,18.853794584447353,near_boundary,0.14506236648060092,0.0,672.4074668143467,1295.7425158769174,623.3350490625708,684.475347725763,-0.07320034549883411,0.008198022020370566,0.7500698680106423,0.8358805190720102,0.7090484902189784,0.1268320288530318,0.12176983487874238,current_peak+charge_peak_phase+high_Q_or_SOC+boundary_coupled+high_surface_heterogeneity,peak_current_highSOC_boundary_coupled,1.760243995936108,1.0866672375101987
Chen2020_DFN_Day33C_DC03_AC0p38_3p0tauSet,DCAC,AC0p38_3p0tauSet,0.3,0.38,0.6799999999999999,3.0,0.001460812595183524,684.5505051757639,0.3333333333333333,9067.79814299205,151.1299690498675,3.834432153954702,0.8534465654565958,0.2463537378645537,3.399501390991018,3.4,4.200000000000034,-3.375077994860476e-11,-1.223625137333261,0.1590699999028237,18.382417014576752,risk_flag,0.15322964608792256,0.0016664021583875576,632.6439410414563,1347.1852037760568,714.5412627346005,721.1942299250265,-0.07370342229733734,0.008156730543444013,0.7390969328929357,0.8252228260952057,0.6982901056484132,0.1269327204467925,0.12498226620747692,current_peak+charge_peak_phase+high_Q_or_SOC+boundary_coupled+high_surface_heterogeneity,peak_current_highSOC_boundary_coupled,2.0178024153602987,1.0875299395975335
Chen2020_DFN_Day33C_DC03_AC0p38_5p0tauSet,DCAC,AC0p38_5p0tauSet,0.3,0.38,0.6799999999999999,5.0,0.0008764875571101142,1140.9175086262733,0.2,8288.481108753698,138.14135181256162,3.5582383171485925,0.7919728786215469,0.2647505591648606,3.3918456487123945,3.4,4.1621974046629004,37.80259533709973,1.7319240596284247,3.127342304777804,21.50078107481716,near_boundary,0.1685630004214075,0.0,623.3648725486785,1364.9016587864255,741.536786237747,733.2617168319582,-0.07129301886787671,0.00797536161709722,0.6921911161712494,0.7645991894285066,0.6592598031297343,0.10533938629877226,0.12454934593925651,current_peak+charge_peak_phase+high_Q_or_SOC+boundary_coupled+high_electrolyte_gradient,peak_current_highSOC_boundary_coupled,2.0940354271811947,0.9025232896254364
