variable_key
Electrolyte potential [V]
Gradient of electrolyte potential [V.m-1]
Gradient of negative electrode potential [V.m-1]
Gradient of negative electrolyte potential [V.m-1]
Gradient of positive electrolyte potential [V.m-1]
Gradient of separator electrolyte potential [V.m-1]
Loss of capacity to negative lithium plating [A.h]
Loss of capacity to positive lithium plating [A.h]
Loss of lithium to negative lithium plating [mol]
Loss of lithium to positive lithium plating [mol]
Negative electrode lithium plating interfacial current density [A.m-2]
Negative electrode lithium plating reaction overpotential [V]
Negative electrode lithium plating volumetric interfacial current density [A.m-3]
Negative electrode potential [V]
Negative electrode surface potential difference [V]
Negative electrode surface potential difference at separator interface [V]
Negative electrolyte potential [V]
Negative lithium plating concentration [mol.m-3]
Negative lithium plating thickness [m]
Positive electrode lithium plating interfacial current density [A.m-2]
Positive electrode lithium plating reaction overpotential [V]
Positive electrode lithium plating volumetric interfacial current density [A.m-3]
Positive electrolyte potential [V]
Positive lithium plating concentration [mol.m-3]
Positive lithium plating thickness [m]
Separator electrolyte potential [V]
Volume-averaged negative lithium plating concentration [mol.m-3]
Volume-averaged negative lithium plating thickness [m]
Volume-averaged positive lithium plating concentration [mol.m-3]
Volume-averaged positive lithium plating thickness [m]
X-averaged electrolyte potential [V]
X-averaged negative electrode lithium plating interfacial current density [A.m-2]
X-averaged negative electrode lithium plating reaction overpotential [V]
X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
X-averaged negative electrode potential [V]
X-averaged negative electrode surface potential difference [V]
X-averaged negative electrolyte potential [V]
X-averaged negative lithium plating concentration [mol.m-3]
X-averaged negative lithium plating thickness [m]
X-averaged positive electrode lithium plating interfacial current density [A.m-2]
X-averaged positive electrode lithium plating reaction overpotential [V]
X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
X-averaged positive electrolyte potential [V]
X-averaged positive lithium plating concentration [mol.m-3]
X-averaged positive lithium plating thickness [m]
X-averaged separator electrolyte potential [V]
