condition,kappa,tau_label,DC,AC,f_Hz,ablation,alpha,A_dt,avg_dt,Q_window_lo,Q_window_hi_strict,Q_CC_end_mAh,window_margin_to_CC,x_n_Q20,x_p_Q20,x_n_CC_end,x_p_CC_end,sign,status,infeasible_reason
0.9+0.1C 16.7τ,0.1111111111111111,16.7τ,0.9,0.1,0.00086,baseline_asymBV,0.5,-775.3551273454597,-0.30608517173569066,1025.0,3558.1352151060455,3630.475150371976,72.33993526593031,0.23352889219088346,0.6610879357998697,0.6791540443697901,0.3650157359060901,-,valid,
0.9+0.1C 1.67τ,0.1111111111111111,1.67τ,0.9,0.1,0.0086,baseline_asymBV,0.5,-81.35940944053013,-0.032556287817519576,1025.0,3524.0382778453027,3585.9303968542827,61.89211900897999,0.2322345088694854,0.6638462828949402,0.6718389601956188,0.3681263080510068,0,valid,
0.9+0.1C 10τ,0.1111111111111111,10τ,0.9,0.1,0.00143,baseline_asymBV,0.5,-539.4734808435862,-0.21060728684980934,1025.0,3586.513843670099,3739.622030989224,153.10818731912514,0.2308283850793162,0.666554544044881,0.6963996921115163,0.35440507034587576,-,valid,
0.9+0.1C 1τ,0.1111111111111111,1τ,0.9,0.1,0.0143,baseline_asymBV,0.5,-51.31598345404564,-0.020688148889117287,1025.0,3505.4531197588058,3629.8130474414393,124.3599276826335,0.23255240719226652,0.6641094620437547,0.6788463589314112,0.3641154236178405,0,valid,
0.1+0.9C 1τ,9.0,1τ,0.1,0.9,0.0143,asymBV_alpha_down,0.4,-3618.3512312101047,-1.2134758511760737,1025.0,4006.807365761156,4151.200493745197,144.3931279840408,0.22502639209394387,0.7086532712800584,0.7619765543828443,0.3543075623161313,-,valid,
0.1+0.2C 1τ,2.0,1τ,0.1,0.2,0.0143,asymBV_alpha_down,0.4,-1666.6053447242439,-0.541809279819325,1025.0,4101.0,4799.088558881119,698.0885588811188,0.22046724509250393,0.717215043227646,0.8677358697382488,0.2860861477253243,-,valid,
0.2+0.3C 1τ,1.4999999999999998,1τ,0.2,0.3,0.0143,asymBV_alpha_down,0.4,-1277.861943045271,-0.4154297604178384,1025.0,4101.0,4591.696906932664,490.6969069326642,0.22275436941800383,0.7086414395888629,0.8347859549030477,0.30129703400535557,-,valid,
0.2+0.3C 10τ,1.4999999999999998,10τ,0.2,0.3,0.00143,asymBV_alpha_down,0.4,-8770.396873465605,-2.8512343541825764,1025.0,4101.0,4535.785957100119,434.78595710011905,0.22331379517859157,0.7087846404518929,0.8264873713242514,0.3045098510911684,-,valid,
0.2+0.3C 34.8τ,1.4999999999999998,34.8τ,0.2,0.3,0.00041,asymBV_alpha_down,0.4,-25568.19560792997,-8.312157219743163,1025.0,4101.0,4414.833050701138,313.83305070113784,0.22526220361129254,0.6957686547332264,0.8071080061285788,0.30737526896313094,-,valid,
0.2+0.8C 0.1τ,4.0,0.1τ,0.2,0.8,0.143,asymBV_alpha_down,0.4,-1339.4074976294607,-0.4497910190268072,1025.0,4002.844023047586,4143.710350264627,140.8663272170411,0.221037492407731,0.7121878975281778,0.7582802684867604,0.35364737304805793,-,valid,
