param_set,n_tau,n_tau_tag,tau_label_display,tau_FG_eff_s,tau2_secondary_60s_s,tau2_biexp_s,tau_tail_s,f_label_Hz,f_native_Hz,f_sens_Hz,ratio_native_over_label,ratio_sensitivity_over_label,outlier_policy_tauFG_activated,outlier_policy_basis
Ai2020,0.1,0p1tau,0.1τ,9.98,5.099366571888413,52.419262375868904,144.55050755746385,0.14338283161432014,0.15947389087364264,0.3121072800870571,1.1122244488977955,2.1767409429225273,False,tau_FG_eff
Ai2020,1.0,1tau,1τ,9.98,5.099366571888413,52.419262375868904,144.55050755746385,0.014338283161432014,0.01594738908736426,0.03121072800870572,1.1122244488977955,2.1767409429225273,False,tau_FG_eff
Ai2020,10.0,10tau,10τ,9.98,5.099366571888413,52.419262375868904,144.55050755746385,0.0014338283161432013,0.001594738908736426,0.0031210728008705716,1.1122244488977955,2.1767409429225273,False,tau_FG_eff
Ecker2015,0.1,0p1tau,0.1τ,9.98,13.191343994635298,16.51765434839429,164.0105135972402,0.14338283161432014,0.15947389087364264,0.12065104447023822,1.1122244488977955,0.8414608856015116,False,tau_FG_eff
Ecker2015,1.0,1tau,1τ,9.98,13.191343994635298,16.51765434839429,164.0105135972402,0.014338283161432014,0.01594738908736426,0.012065104447023824,1.1122244488977955,0.8414608856015116,False,tau_FG_eff
Ecker2015,10.0,10tau,10τ,9.98,13.191343994635298,16.51765434839429,164.0105135972402,0.0014338283161432013,0.001594738908736426,0.0012065104447023824,1.1122244488977955,0.8414608856015116,False,tau_FG_eff
Mohtat2020,0.1,0p1tau,0.1τ,10.98,13.47727108870575,43.93258267119451,97.62675834367688,0.14338283161432014,0.14494985709644384,0.11809137179504438,1.010928961748634,0.8236088691057082,False,tau_FG_eff
Mohtat2020,1.0,1tau,1τ,10.98,13.47727108870575,43.93258267119451,97.62675834367688,0.014338283161432014,0.014494985709644385,0.01180913717950444,1.010928961748634,0.8236088691057082,False,tau_FG_eff
Mohtat2020,10.0,10tau,10τ,10.98,13.47727108870575,43.93258267119451,97.62675834367688,0.0014338283161432013,0.0014494985709644385,0.001180913717950444,1.010928961748634,0.8236088691057082,False,tau_FG_eff
NCA_Kim2011,0.1,0p1tau,0.1τ,10.98,16.86547086827125,39.39195667694234,46.34644654836446,0.14338283161432014,0.14494985709644384,0.09436732857029867,1.010928961748634,0.6581494277092648,False,tau_FG_eff
NCA_Kim2011,1.0,1tau,1τ,10.98,16.86547086827125,39.39195667694234,46.34644654836446,0.014338283161432014,0.014494985709644385,0.009436732857029869,1.010928961748634,0.6581494277092648,False,tau_FG_eff
NCA_Kim2011,10.0,10tau,10τ,10.98,16.86547086827125,39.39195667694234,46.34644654836446,0.0014338283161432013,0.0014494985709644385,0.0009436732857029868,1.010928961748634,0.6581494277092648,False,tau_FG_eff
Chen2020,0.1,0p1tau,0.1τ,15.98,7.720679812158888,36.316532231592305,263.02117860437176,0.14338283161432014,0.09959633485099832,0.20614110021924584,0.6946182728410513,1.437697232634774,False,tau_FG_eff
Chen2020,1.0,1tau,1τ,15.98,7.720679812158888,36.316532231592305,263.02117860437176,0.014338283161432014,0.009959633485099833,0.020614110021924585,0.6946182728410513,1.437697232634774,False,tau_FG_eff
Chen2020,10.0,10tau,10τ,15.98,7.720679812158888,36.316532231592305,263.02117860437176,0.0014338283161432013,0.0009959633485099833,0.0020614110021924584,0.6946182728410513,1.437697232634774,False,tau_FG_eff
OKane2022,0.1,0p1tau,0.1τ,15.98,36.28046010592773,58.81775623543399,309.6740959137209,0.14338283161432014,0.09959633485099832,0.043867950579240755,0.6946182728410513,0.30594981341447797,False,tau_FG_eff
OKane2022,1.0,1tau,1τ,15.98,36.28046010592773,58.81775623543399,309.6740959137209,0.014338283161432014,0.009959633485099833,0.004386795057924075,0.6946182728410513,0.30594981341447797,False,tau_FG_eff
OKane2022,10.0,10tau,10τ,15.98,36.28046010592773,58.81775623543399,309.6740959137209,0.0014338283161432013,0.0009959633485099833,0.00043867950579240756,0.6946182728410513,0.30594981341447797,False,tau_FG_eff
ORegan2022,0.1,0p1tau,0.1τ,18.98,19.79492316243947,53.575426259434366,236.4537082860679,0.14338283161432014,0.0838540269188068,0.08040189991436246,0.5848261327713382,0.5607498401944828,False,tau_FG_eff
ORegan2022,1.0,1tau,1τ,18.98,19.79492316243947,53.575426259434366,236.4537082860679,0.014338283161432014,0.008385402691880681,0.008040189991436245,0.5848261327713382,0.5607498401944828,False,tau_FG_eff
ORegan2022,10.0,10tau,10τ,18.98,19.79492316243947,53.575426259434366,236.4537082860679,0.0014338283161432013,0.0008385402691880681,0.0008040189991436245,0.5848261327713382,0.5607498401944828,False,tau_FG_eff
Marquis2019,0.1,0p1tau,0.1τ,20.98,22.60946955423608,43.44669740303815,188.67660486549605,0.14338283161432014,0.07586031605905402,0.07039304602441514,0.5290753098188751,0.49094473328412597,False,tau_FG_eff
Marquis2019,1.0,1tau,1τ,20.98,22.60946955423608,43.44669740303815,188.67660486549605,0.014338283161432014,0.007586031605905402,0.007039304602441514,0.5290753098188751,0.49094473328412597,False,tau_FG_eff
Marquis2019,10.0,10tau,10τ,20.98,22.60946955423608,43.44669740303815,188.67660486549605,0.0014338283161432013,0.0007586031605905402,0.0007039304602441513,0.5290753098188751,0.49094473328412597,False,tau_FG_eff
