#Device,NGU201,,,
#Device Name,RS-NGU201-00000.local,,,
#Format,LOG,,,
#Date,20/11/2025,,,
#Version,04.013 0092C027A93,,,
#Serial No.,101322,,,
#Logging Interval[s],1,,,
#Mode,Unlimited,,,
#Start Time,10:44:25,,,
#Stop Time,XX:XX:XX,,,
#Actual Count,0000000000,,,
#Calibration Ch1,factory,,,
#Calibration Date Ch1,none,,,
Timestamp,U1[V],I1[A],P1[W],DVM1[V]
53:34.0,3.406212E+00,1.019892E+00,3.473967E+00,nan
53:35.0,3.406457E+00,1.019894E+00,3.474226E+00,nan
53:36.0,3.406703E+00,1.019894E+00,3.474476E+00,nan
53:37.0,3.406975E+00,1.019900E+00,3.474775E+00,nan
53:38.0,3.407196E+00,1.019897E+00,3.474987E+00,nan
53:39.0,3.407431E+00,1.019902E+00,3.475244E+00,nan
53:40.0,3.407686E+00,1.019894E+00,3.475479E+00,nan
53:41.0,3.407936E+00,1.019897E+00,3.475743E+00,nan
53:42.0,3.408181E+00,1.019895E+00,3.475988E+00,nan
53:43.0,3.408432E+00,1.019892E+00,3.476230E+00,nan
53:44.0,3.408654E+00,1.019893E+00,3.476462E+00,nan
53:45.0,3.408885E+00,1.019892E+00,3.476693E+00,nan
53:46.0,3.409135E+00,1.019892E+00,3.476948E+00,nan
53:47.0,3.409355E+00,1.019888E+00,3.477160E+00,nan
53:48.0,3.409591E+00,1.019888E+00,3.477400E+00,nan
53:49.0,3.409826E+00,1.019892E+00,3.477653E+00,nan
53:50.0,3.410064E+00,1.019894E+00,3.477904E+00,nan
53:51.0,3.410272E+00,1.019894E+00,3.478116E+00,nan
53:52.0,3.410524E+00,1.019888E+00,3.478352E+00,nan
53:53.0,3.410760E+00,1.019892E+00,3.478605E+00,nan
53:54.0,3.410965E+00,1.019892E+00,3.478815E+00,nan
53:55.0,3.411221E+00,1.019893E+00,3.479079E+00,nan
53:56.0,3.411404E+00,1.019893E+00,3.479266E+00,nan
53:57.0,3.411634E+00,1.019890E+00,3.479493E+00,nan
53:58.0,3.411855E+00,1.019888E+00,3.479709E+00,nan
53:59.0,3.412087E+00,1.019888E+00,3.479946E+00,nan
54:00.0,3.412286E+00,1.019892E+00,3.480161E+00,nan
54:01.0,3.412508E+00,1.019892E+00,3.480388E+00,nan
54:02.0,3.412697E+00,1.019895E+00,3.480593E+00,nan
54:03.0,3.412930E+00,1.019886E+00,3.480801E+00,nan
54:04.0,3.413150E+00,1.019892E+00,3.481043E+00,nan
54:05.0,3.413356E+00,1.019893E+00,3.481257E+00,nan
54:06.0,3.413576E+00,1.019890E+00,3.481473E+00,nan
54:07.0,3.413782E+00,1.019886E+00,3.481670E+00,nan
54:08.0,3.413975E+00,1.019897E+00,3.481901E+00,nan
54:09.0,3.414205E+00,1.019890E+00,3.482115E+00,nan
54:10.0,3.414423E+00,1.019892E+00,3.482341E+00,nan
54:11.0,3.414609E+00,1.019892E+00,3.482531E+00,nan
54:12.0,3.414822E+00,1.019899E+00,3.482774E+00,nan
54:13.0,3.415013E+00,1.019888E+00,3.482930E+00,nan
54:14.0,3.415223E+00,1.019894E+00,3.483166E+00,nan
54:15.0,3.415426E+00,1.019897E+00,3.483382E+00,nan
54:16.0,3.415617E+00,1.019893E+00,3.483563E+00,nan
54:17.0,3.415803E+00,1.019895E+00,3.483761E+00,nan
54:18.0,3.416036E+00,1.019898E+00,3.484007E+00,nan
54:19.0,3.416229E+00,1.019898E+00,3.484204E+00,nan
54:20.0,3.416427E+00,1.019894E+00,3.484394E+00,nan
54:21.0,3.416620E+00,1.019898E+00,3.484603E+00,nan
54:22.0,3.416838E+00,1.019898E+00,3.484826E+00,nan
54:23.0,3.417029E+00,1.019902E+00,3.485033E+00,nan
54:24.0,3.417219E+00,1.019898E+00,3.485215E+00,nan
54:25.0,3.417405E+00,1.019902E+00,3.485417E+00,nan
54:26.0,3.417603E+00,1.019893E+00,3.485589E+00,nan
54:27.0,3.417807E+00,1.019895E+00,3.485805E+00,nan
54:28.0,3.417960E+00,1.019895E+00,3.485962E+00,nan
54:29.0,3.418171E+00,1.019895E+00,3.486176E+00,nan
54:30.0,3.418354E+00,1.019886E+00,3.486333E+00,nan
54:31.0,3.418545E+00,1.019890E+00,3.486540E+00,nan
54:32.0,3.418743E+00,1.019893E+00,3.486751E+00,nan
54:33.0,3.418946E+00,1.019893E+00,3.486958E+00,nan
54:34.0,3.419124E+00,1.019895E+00,3.487149E+00,nan
54:35.0,3.419347E+00,1.019899E+00,3.487389E+00,nan
54:36.0,3.419498E+00,1.019895E+00,3.487530E+00,nan
54:37.0,3.419682E+00,1.019897E+00,3.487722E+00,nan
54:38.0,3.419887E+00,1.019889E+00,3.487905E+00,nan
54:39.0,3.420083E+00,1.019888E+00,3.488101E+00,nan
54:40.0,3.420254E+00,1.019893E+00,3.488292E+00,nan
54:41.0,3.420415E+00,1.019889E+00,3.488443E+00,nan
54:42.0,3.420600E+00,1.019893E+00,3.488646E+00,nan
54:43.0,3.420789E+00,1.019893E+00,3.488838E+00,nan
54:44.0,3.420972E+00,1.019894E+00,3.489029E+00,nan
54:45.0,3.421153E+00,1.019894E+00,3.489214E+00,nan
54:46.0,3.421331E+00,1.019898E+00,3.489408E+00,nan
54:47.0,3.421502E+00,1.019892E+00,3.489561E+00,nan
54:48.0,3.421703E+00,1.019888E+00,3.489753E+00,nan
54:49.0,3.421888E+00,1.019880E+00,3.489916E+00,nan
54:50.0,3.422045E+00,1.019888E+00,3.490101E+00,nan
54:51.0,3.422240E+00,1.019885E+00,3.490292E+00,nan
54:52.0,3.422428E+00,1.019888E+00,3.490493E+00,nan
54:53.0,3.422599E+00,1.019893E+00,3.490684E+00,nan
54:54.0,3.422770E+00,1.019898E+00,3.490876E+00,nan
54:55.0,3.422954E+00,1.019893E+00,3.491046E+00,nan
54:56.0,3.423112E+00,1.019883E+00,3.491173E+00,nan
54:57.0,3.423285E+00,1.019889E+00,3.491371E+00,nan
54:58.0,3.423481E+00,1.019886E+00,3.491562E+00,nan
54:59.0,3.423647E+00,1.019889E+00,3.491740E+00,nan
55:00.0,3.423815E+00,1.019892E+00,3.491920E+00,nan
55:01.0,3.423979E+00,1.019884E+00,3.492061E+00,nan
55:02.0,3.424182E+00,1.019888E+00,3.492281E+00,nan
55:03.0,3.424356E+00,1.019895E+00,3.492484E+00,nan
55:04.0,3.424529E+00,1.019884E+00,3.492622E+00,nan
55:05.0,3.424690E+00,1.019883E+00,3.492782E+00,nan
55:06.0,3.424863E+00,1.019885E+00,3.492967E+00,nan
55:07.0,3.425051E+00,1.019892E+00,3.493181E+00,nan
55:08.0,3.425232E+00,1.019890E+00,3.493361E+00,nan
55:09.0,3.425373E+00,1.019892E+00,3.493509E+00,nan
55:10.0,3.425576E+00,1.019889E+00,3.493708E+00,nan
55:11.0,3.425720E+00,1.019890E+00,3.493859E+00,nan
55:12.0,3.425906E+00,1.019907E+00,3.494105E+00,nan
55:13.0,3.426072E+00,1.019893E+00,3.494226E+00,nan
55:14.0,3.426238E+00,1.019898E+00,3.494412E+00,nan
55:15.0,3.426389E+00,1.019898E+00,3.494567E+00,nan
55:16.0,3.426585E+00,1.019903E+00,3.494784E+00,nan
55:17.0,3.426763E+00,1.019894E+00,3.494936E+00,nan
55:18.0,3.426921E+00,1.019899E+00,3.495114E+00,nan
55:19.0,3.427105E+00,1.019900E+00,3.495306E+00,nan
55:20.0,3.427248E+00,1.019898E+00,3.495443E+00,nan
55:21.0,3.427437E+00,1.019893E+00,3.495618E+00,nan
55:22.0,3.427593E+00,1.019892E+00,3.495773E+00,nan
55:23.0,3.427768E+00,1.019894E+00,3.495961E+00,nan
55:24.0,3.427922E+00,1.019895E+00,3.496122E+00,nan
55:25.0,3.428093E+00,1.019895E+00,3.496296E+00,nan
55:26.0,3.428281E+00,1.019899E+00,3.496501E+00,nan
55:27.0,3.428437E+00,1.019908E+00,3.496690E+00,nan
55:28.0,3.428616E+00,1.019903E+00,3.496855E+00,nan
55:29.0,3.428779E+00,1.019898E+00,3.497004E+00,nan
55:30.0,3.428928E+00,1.019897E+00,3.497152E+00,nan
55:31.0,3.429094E+00,1.019897E+00,3.497321E+00,nan
55:32.0,3.429260E+00,1.019893E+00,3.497477E+00,nan
55:33.0,3.429450E+00,1.019889E+00,3.497659E+00,nan
55:34.0,3.429636E+00,1.019895E+00,3.497870E+00,nan
55:35.0,3.429765E+00,1.019888E+00,3.497975E+00,nan
55:36.0,3.429948E+00,1.019889E+00,3.498167E+00,nan
55:37.0,3.430089E+00,1.019892E+00,3.498319E+00,nan
55:38.0,3.430280E+00,1.019890E+00,3.498510E+00,nan
55:39.0,3.430456E+00,1.019890E+00,3.498689E+00,nan
55:40.0,3.430602E+00,1.019892E+00,3.498842E+00,nan
