phase,fp_mode,Q_mAh,Q_Ah,t_DC_s,t_DCAC_s,dt_geom_s,I_nom_A,I_DC_A,I_AC_A,DC_C,AC_C,kappa,f_Hz,T_AC_s,tau_label_s,n_tau,dt_eval_s,t_max_s,Q_ref_Ah,Q_4p2V_DC_Ah,Q_4p2V_DCAC_10tau_Ah,q_lo_Ah,q_hi_Ah,Q_DC_final_mAh,Q_DCAC_final_mAh,Q_grid_max_mAh,n_t_points
charge_first,raw,162.96500000000003,0.16296500000000003,575.1705882352942,217.66531082175158,357.5052774135426,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,191.59853164556964,0.19159853164556964,676.2301116902927,251.45574082532303,424.7743708649697,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,220.23206329113927,0.22023206329113926,777.2896351452911,292.1732217060417,485.11641343924936,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,248.8655949367089,0.2488655949367089,878.3491586002896,362.2804575729343,516.0687010273552,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,277.4991265822785,0.2774991265822785,979.4086820552881,825.4423189173992,153.96636313788883,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,306.13265822784814,0.30613265822784813,1080.4682055102685,856.6620735723544,223.80613193791407,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,334.7661898734178,0.3347661898734178,1181.527728965267,887.0462777923756,294.4814511728914,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,363.39972151898735,0.36339972151898736,1282.5872524202655,918.2731512488361,364.31410117142934,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,392.033253164557,0.392033253164557,1383.646775875264,952.4956641064745,431.1511117687895,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,420.66678481012667,0.42066678481012665,1484.7062993302627,994.3747986697596,490.33150066050314,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,449.30031645569625,0.44930031645569624,1585.7658227852608,1079.0791330493516,506.6866897359091,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,477.9338481012659,0.4779338481012659,1686.8253462402593,1526.049067826886,160.77627841337335,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,506.5673797468355,0.5065673797468355,1787.8848696952577,1557.106492665304,230.77837702995384,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,535.2009113924051,0.5352009113924051,1888.9443931502562,1587.4988943841215,301.44549876613473,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,563.8344430379747,0.5638344430379747,1990.0039166052543,1618.9087384433974,371.0951781618569,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
charge_first,raw,592.4679746835444,0.5924679746835444,2091.0634400602175,1653.603101749379,437.46033831083855,3.4,1.02,2.38,0.3,0.7,2.333333333333333,0.0014338283161432013,697.4335690969341,11.1,10.0,0.1,12838.309411764705,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,3637.546666675972,3772.4060678633473,2425.014,128385
