condition,reference_condition,feature_id,Q_Ah,t_DCAC_s,t_DC_s,period_s,phase_rad,phase_norm,cycle_count,x_DCAC_inst,x_DC_inst,delta_x_inst,x_DCAC_cycle_mean,x_DC_window_mean,delta_x_cycle_mean,x_DCAC_cycle_min,x_DCAC_cycle_max,x_DCAC_cycle_amp,ac_window_n_points,dc_window_n_points,ac_window_covered_s,dc_window_covered_s,window_valid
DC03_AC07_0p1tau,DC03,neg_avg_sto,0.2,476.6750005671545,479.9999999999992,6.97433569096934,2.1803365596750552,0.3470113410762623,68.34701134107627,0.10488645149513985,0.10487875974534007,7.691749799781933e-06,0.10474323138875939,0.10489316643620704,-0.00014993504744764685,0.10440650854963772,0.10506092915578566,0.0006544206061479402,76,9,6.889268254530805,6.3294965931074785,True
DC03_AC07_0p1tau,DC03,neg_avg_surface_sto,0.2,476.6750005671545,479.9999999999992,6.97433569096934,2.1803365596750552,0.3470113410762623,68.34701134107627,0.11103786131281414,0.10982824912880139,0.0012096121840127483,0.10931207887784038,0.10984265665467169,-0.0005305777768313119,0.10794264363689382,0.11136022780526755,0.003417584168373733,76,9,6.889268254530805,6.3294965931074785,True
DC03_AC07_0p1tau,DC03,neg_max_surface_sto,0.2,476.6750005671545,479.9999999999992,6.97433569096934,2.1803365596750552,0.3470113410762623,68.34701134107627,0.1147177932260998,0.11282757354536864,0.0018902196807311644,0.11264364429177141,0.11284217246017457,-0.0001985281684031559,0.11107094179122891,0.11506559221175476,0.003994650420525853,76,9,6.889268254530805,6.3294965931074785,True
DC03_AC07_0p1tau,DC03,neg_min_surface_sto,0.2,476.6750005671545,479.9999999999992,6.97433569096934,2.1803365596750552,0.3470113410762623,68.34701134107627,0.10907624002124215,0.10823320396342406,0.000843036057818089,0.10752319017725658,0.10824748651298594,-0.0007242963357293603,0.10625396391852317,0.1093893913418891,0.0031354274233659357,76,9,6.889268254530805,6.3294965931074785,True
DC03_AC07_0p1tau,DC03,pos_avg_sto,0.2,476.6750005671545,479.9999999999992,6.97433569096934,2.1803365596750552,0.3470113410762623,68.34701134107627,0.8015596442142595,0.8015647773936018,-5.133179342253769e-06,0.8016552238301554,0.8015551629196687,0.00010006091048675447,0.8014432045033243,0.8018799397617391,0.000436735258414811,76,9,6.889268254530805,6.3294965931074785,True
DC03_AC07_0p1tau,DC03,pos_avg_surface_sto,0.2,476.6750005671545,479.9999999999992,6.97433569096934,2.1803365596750552,0.3470113410762623,68.34701134107627,0.7819279359700585,0.7826530095082835,-0.0007250735382250406,0.783065404001938,0.7826417458430215,0.00042365815891654,0.7814014312499015,0.7841716772411171,0.0027702459912156696,76,9,6.889268254530805,6.3294965931074785,True
DC03_AC07_0p1tau,DC03,elyte_c_mean,0.2,476.6750005671545,479.9999999999992,6.97433569096934,2.1803365596750552,0.3470113410762623,68.34701134107627,982.1095135398458,983.1285067661867,-1.0189932263408537,983.5384474417532,983.1284058850129,0.4100415567403388,981.5393963998441,984.7198999921798,3.18050359233564,76,9,6.889268254530805,6.3294965931074785,True
DC03_AC07_0p1tau,DC03,elyte_c_range,0.2,476.6750005671545,479.9999999999992,6.97433569096934,2.1803365596750552,0.3470113410762623,68.34701134107627,366.23844012623,351.3687757808939,14.869664345336105,345.0629259677883,351.37124615695546,-6.308320189167148,326.2440922998693,376.4399471586614,50.19585485879213,76,9,6.889268254530805,6.3294965931074785,True
DC03_AC07_0p1tau,DC03,eta_n_mean,0.2,476.6750005671545,479.9999999999992,6.97433569096934,2.1803365596750552,0.3470113410762623,68.34701134107627,-0.09737407331655504,-0.04988222991147024,-0.0474918434050848,-0.023574456318271264,-0.049880047538943935,0.02630559122067267,-0.10448665250060074,0.06124682607036075,0.1657334785709615,76,9,6.889268254530805,6.3294965931074785,True
DC03_AC07_0p1tau,DC03,eta_p_mean,0.2,476.6750005671545,479.9999999999992,6.97433569096934,2.1803365596750552,0.3470113410762623,68.34701134107627,0.012481354937805231,0.004378049242598056,0.008103305695207175,0.0033637968130178584,0.004377966004887145,-0.0010141691918692866,-0.0058288962440116165,0.014408177565087499,0.020237073809099115,76,9,6.889268254530805,6.3294965931074785,True
