file_name,protocol_label,protocol_role,DC_C,AC_C,m_tau,frequency_Hz,sampling_rate_Hz_inventory,csv_format_refined,header_line_idx,time_column_name,voltage_column_name,current_column_name,time_parse_method_runtime,time_unwrap_count_runtime,n_raw_rows,n_retained_rows,charge_onset_idx_raw,charge_onset_timestamp_raw,retained_duration_s,dt_median_s,dt_min_s,dt_max_s,finite_voltage_fraction,finite_current_fraction,U_min_V,U_max_V,I_Q_min_A,I_Q_max_A,I_Q_mean_A
MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,0.3C+0.4C 0.1tau,DCAC,0.3,0.4,0.1,0.1433828316143201,1.0,processed_1Hz_aligned_no_metadata,0,Timestamp,U1[V],I1[A],parsed_timestamp_with_unwrap,0,13257,13257,0,0:00:01,13256.0,1.0,1.0,1.0,0.9997737044580222,0.9997737044580222,2.845303,4.200315,-0.34,2.397659,0.8843618379498264
MJ1_0p3C_0p4C_10tau_NGU201_raw.csv,0.3C+0.4C 10tau,DCAC,0.3,0.4,10.0,0.0014338283161432,1.0,processed_1Hz_aligned_no_metadata,0,Timestamp,U1[V],I1[A],parsed_timestamp_with_unwrap,0,13031,13031,0,0:00:01,13030.0,1.0,1.0,1.0,0.9996930396746221,0.9996930396746221,2.907136,4.202416,-0.34,2.474556,0.8991668307420819
MJ1_0p3C_0p4C_1tau_NGU201_raw.csv,0.3C+0.4C 1tau,DCAC,0.3,0.4,1.0,0.014338283161432,1.0,NGU201_LOG_raw,13,Timestamp,U1[V],I1[A],parsed_timestamp_with_unwrap,0,13372,13286,86,10:41:43.2,13288.200000000004,1.0,0.8999999999941792,3.0,0.9963119072708114,0.9963119072708114,2.89817,4.202934,-0.3400656,2.513627,0.8864650645623329
MJ1_0p3C_DC_NGU201_raw.csv,0.3C DC,DC_reference,0.3,0.0,,0.0,1.0,NGU201_LOG_raw,13,Timestamp,U1[V],I1[A],parsed_timestamp_with_unwrap,4,13477,13424,53,45:19.0,13426.0,1.0,0.6000000000003638,4.0,1.0,1.0,2.904226,4.200724,0.04974141,1.019919,0.8740470804469609
