condition,dc_c,ac_c,peak_c,tau_factor_set,delta_t_raw_mean_s,U_NE_min_DCAC_min_mV,U_NE_min_DCAC_mean_mV,delta_U_NE_min_mean_mV,fraction_Q_below_50mV,fraction_Q_below_0mV,equalQ_margin_class,min_U_NE_vs_Li_mV,fraction_time_below_50mV,fraction_time_below_0mV,margin_class,timing_gain_class,amplitude_admissibility
Chen2020_DFN_fineAmp_DC03_AC0p3_1p5tauSet,0.3,0.3,0.6,1.5,58.197455221064274,11.240421929071314,92.59705905703824,-19.86638193767668,0.17,0.0,near_boundary,6.6610047008486255,0.12872123302132452,0.0,near_boundary,weak_raw_gain,admissible_but_near_boundary
Chen2020_DFN_fineAmp_DC03_AC0p32_1p5tauSet,0.3,0.32,0.62,1.5,61.33936338734877,8.902969641935005,89.56050796223022,-22.902933032484704,0.18,0.0,near_boundary,5.312509795528183,0.13130047340573656,0.0,near_boundary,clear_raw_gain,admissible_but_near_boundary
Chen2020_DFN_fineAmp_DC03_AC0p34_1p5tauSet,0.3,0.34,0.64,1.5,64.06683132154201,6.660514594232528,86.7171193750833,-25.746321619631637,0.2,0.0,near_boundary,3.145861279668859,0.13431815073177403,0.0,near_boundary,clear_raw_gain,admissible_but_near_boundary
Chen2020_DFN_fineAmp_DC03_AC0p36_1p5tauSet,0.3,0.36,0.6599999999999999,1.5,66.49749042948733,4.487064347425305,84.0197794542643,-28.44366154045062,0.22,0.0,near_boundary,1.4327017404097246,0.13088604067985513,0.0,near_boundary,clear_raw_gain,admissible_but_near_boundary
Chen2020_DFN_fineAmp_DC03_AC0p38_1p5tauSet,0.3,0.38,0.6799999999999999,1.5,68.69350913079285,2.406629917949384,81.51162433479384,-30.951816659921082,0.26,0.0,near_boundary,0.5840363154033125,0.14506236648060092,0.0,near_boundary,clear_raw_gain,admissible_but_near_boundary
Chen2020_DFN_fineAmp_DC03_AC0p4_1p5tauSet,0.3,0.4,0.7,1.5,70.69906104570805,0.39314487376990215,79.12941161706152,-33.3340293776534,0.29,0.0,near_boundary,-1.327812966396317,0.15614322809894765,0.0027333606669400026,risk_flag,clear_raw_gain,not_admissible_hard_margin
