param_set,anchor_label,phase_label,Q_nom_Ah,T_period_s,f_anchor_Hz,Q_sinusoidal_ripple_amp_Ah,rel_ripple_pct_window,q_lo_full_Ah,q_lo_stable_added_Ah,q_hi_Ah,stable_window_definition,n_grid,n_valid,t_end_DC_s,t_end_DCAC_s,event_shift_s,Q_to_Vmax_DC_Ah,Q_to_Vmax_DCAC_Ah,Q_to_Vmax_shift_Ah,Q_to_Vmax_shift_pct,full_n,full_status,full_mean_s,full_median_s,full_area_sAh,full_min_s,full_max_s,full_range_s,full_frac_positive,full_frac_above_thr,full_frac_below_thr,full_n_cross,full_mean_early_s,full_mean_mid_s,full_mean_late_s,full_t_dc_avg_s,full_rel_signal_pct,full_class_mean,full_sign_topology,full_geom_mean_s,full_geom_sign_topology,full_resid_mean_s,full_resid_max_abs_s,full_resid_class_mean,full_resid_sign_topology,stable_n,stable_status,stable_mean_s,stable_median_s,stable_area_sAh,stable_min_s,stable_max_s,stable_range_s,stable_frac_positive,stable_frac_above_thr,stable_frac_below_thr,stable_n_cross,stable_mean_early_s,stable_mean_mid_s,stable_mean_late_s,stable_t_dc_avg_s,stable_rel_signal_pct,stable_class_mean,stable_sign_topology,stable_geom_mean_s,stable_geom_sign_topology,stable_resid_mean_s,stable_resid_max_abs_s,stable_resid_class_mean,stable_resid_sign_topology
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,5.0,2453.513699213217,0.0004075787309933,0.2711728008149063,7.931478030832206,0.25,1.0,3.668944108030942,Q_net >= 0.20*Q_nom from sim start (SOC0=0.05); NOT absolute SOC,80,80,16659.71567625351,12799.1196716878,3860.5960045657084,4.6250000000000036,3.7689441080309423,-0.8560558919690613,-18.50931658311482,80,OK,1262.2470662300796,1275.7468459930906,4348.363704654041,437.6099507692079,1951.3463399695947,1513.7363892003868,1.0,1.0,0.0,0,1182.2732778418283,1239.746045729205,1357.4022459128387,7054.099394455688,17.893808913752594,positive,positive_only,1262.2486683967898,positive_only,-0.0016021667104638483,0.014870471629137683,near_zero,near_zero,62,OK,1277.6936883380845,1302.8925683258508,3401.221543511053,437.6099507692079,1951.3463399695947,1513.7363892003868,1.0,1.0,0.0,0,1163.8174896837686,1282.9466303181846,1376.4421034964623,8456.299256483564,15.109371719058531,positive,positive_only,1277.6954014641344,positive_only,-0.0017131260501114852,0.01425930925324792,near_zero,near_zero
OKane2022,Route2_AC0p5C_10tau_native_charge_first,charge_first,5.0,2516.435062673768,0.0003973875641907,0.2781271383293705,8.092566766240912,0.25,1.0,3.6868222884438886,Q_net >= 0.20*Q_nom from sim start (SOC0=0.05); NOT absolute SOC,80,80,16548.641554760092,13045.76650066397,3502.875054096121,4.594444444444441,3.7868222884438887,-0.8076221560005519,-17.578233141487242,80,OK,1282.5685455120645,1302.0025502274357,4409.756527321453,458.12338525785526,2002.1093976985553,1543.9860124407,1.0,1.0,0.0,0,1172.814284562885,1304.0559310752074,1364.5306440848133,7086.280119198984,18.09932043241106,positive,positive_only,1282.5691473509064,positive_only,-0.0006018388417786014,0.005361738586088904,near_zero,near_zero,62,OK,1303.2787867223687,1345.9490326268242,3456.700069217194,458.12338525785526,2001.1579362872371,1543.0345510293819,1.0,1.0,0.0,0,1201.9955453113537,1282.6294923022335,1414.1265465688687,8495.81229825698,15.340249301291088,positive,positive_only,1303.2791498769634,positive_only,-0.00036315459460785213,0.005143640559253981,near_zero,near_zero
ORegan2022,Route2_AC0p5C_10tau_native_charge_first,charge_first,5.0,2998.8321825398384,0.0003334631413596,0.3314437259404669,11.587088761355421,0.25,1.0,3.110457296623795,Q_net >= 0.20*Q_nom from sim start (SOC0=0.05); NOT absolute SOC,80,80,17006.861900825734,9925.85402031536,7081.007880510373,4.724128305784915,3.210457296623795,-1.5136710091611199,-32.04127642569655,80,OK,1452.5857508947097,1378.8390831857182,4174.316186396085,464.06456148295,2386.0765118317513,1922.0119503488013,1.0,1.0,0.0,0,1424.7805226855903,1455.4426294789182,1475.7520755464127,6048.823133922837,24.014353184644463,positive,positive_only,1452.5850758063723,positive_only,0.0006750883375453043,0.01427506541222101,near_zero,near_zero,59,OK,1481.5700068758626,1378.560562649628,3098.309429646125,550.0104367239655,2386.0765118317513,1836.0660751077858,1.0,1.0,0.0,0,1414.1609786352838,1485.0420499652228,1539.4177553460138,7417.497637877011,19.973986905102787,positive,positive_only,1481.5690394537087,positive_only,0.0009674221543056034,0.01427506541222101,near_zero,near_zero
