case_id,soc_target,direction,wall_clock_s,n_cycles,V_pre_pulse_eq,V_pulse_start,V_pulse_end,I_pulse_A,delta_V_post_1500s_mV,R0_mohm,tau1_biexp_s,tau2_biexp_s,R2_biexp,tau_tail_s,R2_tail,status,error
composite_SOC20_discharge,0.2,discharge,0.9779062271118164,7,3.4047485822825605,3.239491707111156,3.2159466309447153,5.0,19.054076694373645,33.05137503428091,5.940600689033933,38.81556614980642,0.999458505833055,201.30473841316476,0.9941935133470167,ok,
composite_SOC20_charge,0.2,charge,0.9386799335479736,7,3.4047485822825605,3.576358477539713,3.5963048206863246,-5.0,-18.281165875916994,34.32197905143051,0.10000003064141887,1499.9046195509984,-1.077955502637451e-10,50.00020922022844,-8.563610776057828e-08,ok,
composite_SOC30_discharge,0.3,discharge,0.9351098537445068,7,3.4877298400357635,3.337070953281044,3.3145550873992033,5.0,18.68968482308553,30.131777350943878,6.182929555028872,36.6689436482779,0.9997611008950658,50.04204337357855,0.24387721408314933,ok,
composite_SOC30_charge,0.3,charge,0.8681669235229492,7,3.4877298400357635,3.641848605347241,3.666202191811617,-5.0,-22.243191682289165,30.823753062295545,0.10000004032275678,1499.8921498529387,-1.553024375766654e-10,50.00000212089093,-1.9602541811991614e-10,ok,
composite_SOC40_discharge,0.4,discharge,0.9287018775939941,7,3.5675742005037887,3.4256189302915794,3.4051407176338606,5.0,17.627879470400565,28.391054042441866,7.123523736110197,38.72887658145047,0.9997707685436175,50.04702430894293,0.16230213760253454,ok,
composite_SOC40_charge,0.4,charge,0.9024930000305176,7,3.5675742005037887,3.7133291502929575,3.736737204129389,-5.0,-21.2968023187341,29.15098995783376,0.10000004278656519,1499.8938609637507,-1.5340795300744503e-10,50.000006903378086,-6.310325595393351e-10,ok,
composite_SOC50_discharge,0.5,discharge,1.0759408473968506,7,3.635271910478847,3.49828903845747,3.4791617775872385,5.0,19.654520698154876,27.39657440427541,11.165419387935144,58.20315860773743,0.999447918942045,531.7338010537576,0.9981585057761301,ok,
composite_SOC50_charge,0.5,charge,1.0579400062561035,7,3.635271910478847,3.7764150399407193,3.799981134275412,-5.0,-19.207193488800733,28.22862589237447,39.50386608008418,1499.9275038942963,0.0,50.00177687099868,-3.936797867698516e-07,ok,
composite_SOC60_discharge,0.6,discharge,1.0707528591156006,7,3.7067135251426815,3.5715218779285105,3.5475252646569886,5.0,23.69915653571031,27.038329442834197,12.083848053537887,65.34930232323133,0.9995546796237937,337.3712055817653,0.9998980377496872,ok,
composite_SOC60_charge,0.6,charge,1.0589449405670166,7,3.7067135251426815,3.8454283549067267,3.8754896074514753,-5.0,-25.138612758215384,27.74296595280905,0.1000000228378591,1499.9227054837409,-1.6120902390781566e-09,50.00008773524316,-2.06270822644683e-08,ok,
composite_SOC70_discharge,0.7,discharge,1.0981192588806152,7,3.8034914616220994,3.6692258512719294,3.642002353655956,5.0,24.59623601518457,26.853122070034008,9.32362533165306,48.228877128963944,0.9997819116933602,81.56355413744099,0.7330151661808617,ok,
composite_SOC70_charge,0.7,charge,0.8864061832427979,7,3.8034914616220994,3.9419888340634093,3.972812345474437,-5.0,-27.275807842419564,27.699474488261977,40.00594114552371,1499.904774329967,2.220446049250313e-16,50.0064142579017,-1.0012590756502959e-10,ok,
composite_SOC80_discharge,0.8,discharge,0.9561331272125244,7,3.893923697775403,3.7579756543042344,3.7355214256129856,5.0,24.71285244880317,27.18960869423368,12.129430633535607,73.63351516837233,0.9991870402825642,602.0832158304432,0.9975794241035446,ok,
composite_SOC80_charge,0.8,charge,0.8736190795898438,7,3.893923697775403,4.034945564704985,4.063581570485376,-5.0,-21.312183162545573,28.204373385916526,0.10000000698830507,1499.9665551615828,-4.4918668784532656e-10,50.00079125824267,-9.082420593387042e-09,ok,
composite_SOC90_discharge,0.9,discharge,0.9441788196563721,7,3.9792252837168913,3.8362789413433402,3.8110366185141187,5.0,27.844654866838514,28.589268474710217,13.890382938309106,90.79409140203452,0.9993044651012107,572.5256360342787,0.9985870041342303,ok,
composite_SOC90_charge,0.9,charge,0.8718118667602539,7,3.9792252837168913,4.126419060780992,4.159691001700565,-5.0,-25.119221508210998,29.43875541282015,0.10000000340925372,1499.9689106157855,-2.2629298435106193e-10,50.12497434851777,-1.1493624940683844e-08,ok,
