model_type,condition,feature_id,tau_factor_set,omega_tau_set,delta_x_mean,delta_x_abs_mean,delta_x_max_abs,delta_x_std,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,cell_temperature_K,0.5,2.0,0.0,0.0,0.0,0.0,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,elyte_c_mean,0.5,2.0,-12.244343306140701,12.366123164647064,19.25069961814586,6.115249258696593,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,elyte_c_range,0.5,2.0,248.08664837853524,253.61983509773262,412.1744799287833,140.87738620670788,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,eta_n_mean,0.5,2.0,-0.042208044017383164,0.04255530294830726,0.055484626748076554,0.01344213118679119,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,eta_p_mean,0.5,2.0,0.006333037398580832,0.00638816623026512,0.009235269743511784,0.0024656805457975565,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,j_n_mean_signed,0.5,2.0,-0.7990515750386418,0.8047360231186488,1.0417567841529014,0.2965716286320547,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,j_p_mean_signed,0.5,2.0,0.9047008724315143,0.9111369105527389,1.1794964612162633,0.3357870033706508,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_avg_sto,0.5,2.0,-5.4565617933505055e-05,5.5048390933878746e-05,0.00013836778239417757,3.799234800940197e-05,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_avg_surface_sto,0.5,2.0,0.004833174505349202,0.004833174505349202,0.006235386796858672,0.0013305555065996988,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_max_surface_sto,0.5,2.0,0.019172775999635093,0.019172775999635093,0.04284233573325946,0.009967214219121594,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_min_surface_sto,0.5,2.0,-0.0012115903694656272,0.00328450491843211,0.009181673714457717,0.0038888133503252936,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_surface_minus_avg_sto,0.5,2.0,0.004887740123282704,0.004887740123282704,0.006258472399232769,0.001331184047760377,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,neg_surface_sto_range,0.5,2.0,0.020384366369100716,0.020384366369100716,0.047619017468322006,0.012831143759586772,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,pos_avg_sto,0.5,2.0,3.641500439449941e-05,3.673718861227915e-05,9.234136063679399e-05,2.535463854554227e-05,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,pos_avg_surface_sto,0.5,2.0,-0.007451617081035147,0.007473087201770689,0.011051377898545267,0.003448000783967748,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,pos_surface_minus_avg_sto,0.5,2.0,-0.00748803208542965,0.0075064273458919336,0.011071056565737123,0.003448664676137271,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_0p5tauSet,total_heating_mean,0.5,2.0,0.0,0.0,0.0,0.0,53.400986897906634,15.308826699200836,84.36468040971363
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,cell_temperature_K,1.5,0.6666666666666666,0.0,0.0,0.0,0.0,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,elyte_c_mean,1.5,0.6666666666666666,-23.452765298492082,23.452765298492082,29.70941917481082,5.275098328594379,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,elyte_c_range,1.5,0.6666666666666666,526.7398122076825,526.7398122076826,680.8250112657361,126.31747421807339,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,eta_n_mean,1.5,0.6666666666666666,-0.044933015630196575,0.04554360034790098,0.060476634014583204,0.015742410381936234,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,eta_p_mean,1.5,0.6666666666666666,0.0059587073371152235,0.006053109590269194,0.008569681404549407,0.0024205209609925366,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,j_n_mean_signed,1.5,0.6666666666666666,-0.7963953206349793,0.8063076746484938,1.0417086703927751,0.31063070806757664,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,j_p_mean_signed,1.5,0.6666666666666666,0.9016936185865905,0.912916596387039,1.1794419844688084,0.3517019130963399,160.605097279565,49.24771507311743,254.19421998881342
DFN,Chen2020_DFN_hier_DC03_AC07_1p5tauSet,neg_avg_sto,1.5,0.6666666666666666,1.4386793478452127e-05,2.990965823674186e-05,6.67304244266198e-05,3.198508769461839e-05,160.605097279565,49.24771507311743,254.19421998881342
