source_json,source_file,dc_record_idx,dc_case_id,dc_condition,dc_status,dcac_record_idx,dcac_case_id,dcac_condition,dcac_status,DC_C,AC_C,f_Hz,tau_label,kappa_meta,inferred_phase,phase_metric_median_delta_I_A,I_DC_A_used,I_AC_A_used,I_min_CC_A,I_max_CC_A,I_median_CC_A,I_nom_from_DC_A,I_nom_from_AC_A,kappa_used,CC_time_DC_s,CC_time_DCAC_s,CC_mask_status_DCAC,n_CC_samples_DCAC,dc_clean_removed,dcac_clean_removed,dc_q_match_max_abs_mAh,dcac_q_match_max_abs_mAh,Q_ref_mAh,Q_CC_end_DC_mAh,Q_CC_end_DCAC_mAh,q_lo_mAh,q_hi_mAh,q_window_valid,q_window_span_mAh,pair_status
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,ok,0,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,ok,0.1,0.9,0.0143,1τ,9.0,discharge_first,0.41068082277071954,0.5000000284933344,4.499999819426037,-4.999999847919372,3.999999790932703,-0.5369654571244828,5.000000284933344,4.999999799362263,8.999999125972106,36025.57172325896,29983.365590203757,ok,31240,0,0,9.094947017729282e-13,9.094947017729282e-13,5126.313074640762,5003.551628230411,4154.0858279098165,256.31565373203813,4051.5595664170014,True,3795.243912684963,admissible
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,24,DC0.10C_baseline,0.1C_DC,ok,1,DC0.10C+AC0.20C_f0.01430Hz,0.1+0.2C 1τ,ok,0.1,0.2,0.0143,1τ,2.0,discharge_first,0.30509596629599145,0.49999999884532254,0.99999999883267,-1.4999999976779925,0.49999999998734745,-0.4446519598976291,4.999999988453225,4.99999999416335,2.00000000228405,36025.57172325896,35016.53092507597,ok,19337,0,0,9.094947017729282e-13,9.094947017729282e-13,5126.313074640762,5003.551628230411,4859.700974729642,256.31565373203813,4757.174713236827,True,4500.859059504789,admissible
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,25,DC0.20C_baseline,0.2C_DC,ok,2,DC0.20C+AC0.30C_f0.01430Hz,0.2+0.3C 1τ,ok,0.2,0.3,0.0143,1τ,1.4999999999999998,discharge_first,0.3934134253215923,0.9999999166650428,1.499999839911537,-2.49999975657658,0.4999999232464942,-0.8430228869359048,4.999999583325214,4.999999466371791,1.49999996491397,17512.350031736467,16625.21783069824,ok,10917,1,0,2.8591509362740908e-05,9.094947017729282e-13,5126.330513298943,4864.541646890844,4611.660875465207,256.31652566494716,4509.134265199228,True,4252.817739534281,admissible
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,25,DC0.20C_baseline,0.2C_DC,ok,3,DC0.20C+AC0.30C_f0.00143Hz,0.2+0.3C 10τ,ok,0.2,0.3,0.00143,10τ,1.4999999999999998,discharge_first,0.0386060461680694,1.0000035198403803,1.4999964261960665,-2.499999946036447,0.4999929063556863,-0.9763687264017112,5.000017599201901,4.999988087320222,1.499991146466659,17512.350031736467,16561.85224163357,ok,1183,1,0,2.8591509362740908e-05,9.094947017729282e-13,5126.330513298943,4864.541646890844,4535.835285371073,256.31652566494716,4433.308675105094,True,4176.992149440147,admissible
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,25,DC0.20C_baseline,0.2C_DC,ok,4,DC0.20C+AC0.30C_f0.00041Hz,0.2+0.3C 34.8τ,ok,0.2,0.3,0.00041,34.8τ,1.4999999999999998,discharge_first,0.011041182726850174,1.0000033686340575,1.4999832109308282,-2.4999865795648857,0.49997984229677095,-0.9509554143968095,5.000016843170287,4.999944036436094,1.4999781580533196,17512.350031736467,16439.149737422762,ok,392,1,1,2.8591509362740908e-05,2.1987370928400196e-06,5126.330513298943,4864.541646890844,4395.414811417964,256.31652566494716,4292.888201151985,True,4036.571675487038,admissible
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,25,DC0.20C_baseline,0.2C_DC,ok,5,DC0.20C+AC0.80C_f0.14300Hz,0.2+0.8C 0.1τ,ok,0.2,0.8,0.143,0.1τ,4.0,discharge_first,0.5807277524001566,1.0000000013884411,3.999999998418928,-4.999999999807369,2.999999997030487,-0.7514032219280097,5.000000006942205,4.999999998023659,3.9999999928651633,17512.350031736467,14934.988691895758,ok,154137,1,0,2.8591509362740908e-05,9.094947017729282e-13,5126.330513298943,4864.541646890844,4145.901150976274,256.31652566494716,4043.374540710295,True,3787.058015045348,admissible
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,25,DC0.20C_baseline,0.2C_DC,ok,6,DC0.20C+AC0.80C_f0.01430Hz,0.2+0.8C 1τ,ok,0.2,0.8,0.0143,1τ,4.0,discharge_first,0.9269384044178005,0.9999999581579071,3.9999999581573147,-4.999999916315222,2.9999999999994076,-0.724934454763426,4.999999790789535,4.999999947696643,4.000000125525691,17512.350031736467,14670.00328523373,ok,14419,1,0,2.8591509362740908e-05,9.094947017729282e-13,5126.330513298943,4864.541646890844,4064.405310521064,256.31652566494716,3961.8787002550853,True,3705.562174590138,admissible
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,26,DC0.30C_baseline,0.3C_DC,ok,8,DC0.30C+AC0.70C_f0.14300Hz,0.3+0.7C 0.1τ,ok,0.3,0.7,0.143,0.1τ,2.3333333333333335,discharge_first,0.6591117867231093,1.4999999993152529,3.4999999992219584,-4.999999998537211,1.9999999999067053,-0.9976636714912278,4.999999997717509,4.999999998888512,2.3333333338798012,11345.449198764976,9760.112771746366,ok,93908,0,0,9.094947017729282e-13,9.094947017729282e-13,5125.988242972963,4727.270499485405,4062.887786436046,256.2994121486482,3960.3680215765867,True,3704.0686094279386,admissible
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,26,DC0.30C_baseline,0.3C_DC,ok,9,DC0.30C+AC0.70C_f0.01430Hz,0.3+0.7C 1τ,ok,0.3,0.7,0.0143,1τ,2.3333333333333335,discharge_first,0.6657743514595313,1.4999997575556472,3.499999690167554,-4.9999994477232015,1.9999999326119071,-1.0108363858910292,4.999999191852157,4.99999955738222,2.333333503914057,11345.449198764976,9632.698521716435,ok,8821,0,0,9.094947017729282e-13,9.094947017729282e-13,5125.988242972963,4727.270499485405,4000.381322881371,256.2994121486482,3897.8615580219116,True,3641.5621458732635,admissible
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,26,DC0.30C_baseline,0.3C_DC,ok,10,DC0.30C+AC0.70C_f0.00143Hz,0.3+0.7C 10τ,ok,0.3,0.7,0.00143,10τ,2.3333333333333335,discharge_first,0.06364109412214791,1.4998989696170602,3.499898849054972,-4.999797818672032,1.9999998794379121,-1.1997065068336958,4.999663232056867,4.999855498649961,2.3334230637871114,11345.449198764976,9574.829157024646,ok,919,0,0,9.094947017729282e-13,9.094947017729282e-13,5125.988242972963,4727.270499485405,3842.5089903754542,256.2994121486482,3739.989225515995,True,3483.6898133673467,admissible
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,26,DC0.30C_baseline,0.3C_DC,ok,11,DC0.30C+AC0.40C_f0.14300Hz,0.3+0.4C 0.1τ,ok,0.3,0.4,0.143,0.1τ,1.3333333333333335,discharge_first,0.6659277006993494,1.4999999966216415,1.999999996621562,-3.4999999932432035,0.4999999999999203,-1.1081565662825454,4.999999988738805,4.999999991553905,1.3333333340840268,11345.449198764976,10207.686056229622,ok,74386,0,0,9.094947017729282e-13,9.094947017729282e-13,5125.988242972963,4727.270499485405,4249.599669423005,256.2994121486482,4147.079904563546,True,3890.7804924148977,admissible
data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,26,DC0.30C_baseline,0.3C_DC,ok,12,DC0.30C+AC0.40C_f0.01430Hz,0.3+0.4C 1τ,ok,0.3,0.4,0.0143,1τ,1.3333333333333335,discharge_first,0.3708118004217764,1.5000003106169635,1.9999996721493811,-3.4999999827663446,0.49999936153241764,-1.1950214008184281,5.000001035389879,4.999999180373453,1.333332838662389,11345.449198764976,10121.475429633474,ok,7149,0,0,9.094947017729282e-13,9.094947017729282e-13,5125.988242972963,4727.270499485405,4208.702719067945,256.2994121486482,4106.182954208485,True,3849.883542059837,admissible
