param_set,arm,n_samples,Q_start_Ah,Q_end_Ah,Q_min_Ah,Q_max_Ah,n_negative_dQ_steps,min_dQ_Ah,I_min_A,I_max_A,has_positive_discharge_current,Q_monotonic_required
Chen2020,DC_reference,1938,-0.0,4.872814517243399,-0.0,4.872814517243399,0,8.881784197001252e-16,-1.000270241797806,-0.0735394117647058,False,True
Chen2020,DCAC_full_protocol,1713,-0.0,4.8725884306814455,-0.0,4.8725884306814455,453,-0.00416608245225758,-3.4999986498981204,1.4999998499886682,True,False
OKane2022,DC_reference,1917,-0.0,4.835568865935167,-0.0,4.835568865935167,0,8.881784197001252e-16,-1.000264640216566,-0.0735394117647058,False,True
OKane2022,DCAC_full_protocol,1726,-0.0,4.836702350227521,-0.0,4.836702350227521,464,-0.004166092292380963,-3.499993810124264,1.4999996993369191,True,False
ORegan2022,DC_reference,1790,-0.0,4.7922074343220595,-0.0,4.7922074343220595,0,8.881784197001252e-16,-1.0003054304034165,-0.0695000322281267,False,True
ORegan2022,DCAC_full_protocol,1298,-0.0,4.79652235206589,-0.0,4.79652235206589,332,-0.004166236846949722,-6.9369073825369965,1.4999957904297925,True,False
