protocol_pair,fit_status,I0_fit_A,A_fit_A,f_meta_Hz,f_fit_Hz,f_fit_rel_error_ppm,phi_fit_rad,fit_rmse_A,fit_n,dt_resid_prescribed_mean_s,dt_resid_prescribed_p95_abs_s,dt_resid_prescribed_max_abs_s,dt_resid_fitted_mean_s,dt_resid_fitted_p95_abs_s,dt_resid_fitted_max_abs_s
0.3C DC vs 0.3C+0.7C 0.1tau,ok,1.0209774139324814,0.31916477298870594,0.1433828316143201,0.14329210661783168,-632.746581072352,2.5609499185401963,1.6672616173457946,9408,-0.7579789065574384,3.6963587396003503,28.685838067973236,-4.0155646867506976,9.331629181151307,11.08028981069765
0.3C DC vs 0.3C+0.7C 10tau,ok,1.0203091682209862,2.3797853566331515,0.0014338283161432,0.0014295677023914908,-2971.495055398062,-0.00229196980484846,0.008533680101714557,8556,5.631816540022325,10.835424920618243,426.4304409888846,1.9916195070061196,0.7947601709524178,406.28375644306016
0.3C DC vs 0.3C+0.7C 1tau,ok,1.0206075496456095,2.3777328314255173,0.014338283161432,0.014293558483530694,-3119.2491735418457,0.011276035099116129,0.07852590664513724,8971,4.542978881738904,39.53445265825271,42.92987733247378,1.7079181318386571,1.1517613050000766,45.09365767770305
