parameter_set,model_type,condition,keyword,variable_key
Chen2020,DFN,DC03,overpotential,X-averaged battery positive reaction overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged battery reaction overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged concentration overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged electrolyte overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged negative electrode SEI film overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged negative electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged negative electrode reaction overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged positive electrode SEI film overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged positive electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged positive electrode reaction overpotential [V]
Chen2020,DFN,DC03,overpotential,X-averaged reaction overpotential [V]
Chen2020,DFN,DC03,interfacial current,Interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,Negative electrode SEI interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,Negative electrode SEI on cracks interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,Negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,Negative electrode SEI volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,Negative electrode interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,Negative electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,Negative electrode volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,Positive electrode SEI interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,Positive electrode SEI on cracks interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,Positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,Positive electrode SEI volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,Positive electrode interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,Positive electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,Positive electrode volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,Sum of negative electrode volumetric interfacial current densities [A.m-3]
Chen2020,DFN,DC03,interfacial current,Sum of positive electrode volumetric interfacial current densities [A.m-3]
Chen2020,DFN,DC03,interfacial current,Sum of volumetric interfacial current densities [A.m-3]
Chen2020,DFN,DC03,interfacial current,Sum of x-averaged negative electrode volumetric interfacial current densities [A.m-3]
Chen2020,DFN,DC03,interfacial current,Sum of x-averaged positive electrode volumetric interfacial current densities [A.m-3]
Chen2020,DFN,DC03,interfacial current,X-averaged negative electrode SEI interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,X-averaged negative electrode SEI on cracks interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,X-averaged negative electrode SEI on cracks volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,X-averaged negative electrode SEI volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,X-averaged negative electrode interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,X-averaged negative electrode total interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,X-averaged negative electrode total volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,X-averaged negative electrode volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,X-averaged positive electrode SEI interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,X-averaged positive electrode SEI on cracks interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,X-averaged positive electrode SEI on cracks volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,X-averaged positive electrode SEI volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,X-averaged positive electrode interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,X-averaged positive electrode total interfacial current density [A.m-2]
Chen2020,DFN,DC03,interfacial current,X-averaged positive electrode total volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,interfacial current,X-averaged positive electrode volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,exchange current,Exchange current density [A.m-2]
Chen2020,DFN,DC03,exchange current,Negative electrode exchange current density [A.m-2]
Chen2020,DFN,DC03,exchange current,Positive electrode exchange current density [A.m-2]
Chen2020,DFN,DC03,exchange current,X-averaged negative electrode exchange current density [A.m-2]
Chen2020,DFN,DC03,exchange current,X-averaged positive electrode exchange current density [A.m-2]
Chen2020,DFN,DC03,electrode potential,Gradient of negative electrode potential [V.m-1]
Chen2020,DFN,DC03,electrode potential,Gradient of positive electrode potential [V.m-1]
Chen2020,DFN,DC03,electrode potential,Negative electrode potential [V]
Chen2020,DFN,DC03,electrode potential,Positive electrode potential [V]
Chen2020,DFN,DC03,electrode potential,X-averaged negative electrode potential [V]
Chen2020,DFN,DC03,electrode potential,X-averaged positive electrode potential [V]
Chen2020,DFN,DC03,temperature,Ambient temperature [C]
Chen2020,DFN,DC03,temperature,Ambient temperature [K]
Chen2020,DFN,DC03,temperature,Cell temperature [C]
Chen2020,DFN,DC03,temperature,Cell temperature [K]
Chen2020,DFN,DC03,temperature,Negative current collector temperature [C]
Chen2020,DFN,DC03,temperature,Negative current collector temperature [K]
Chen2020,DFN,DC03,temperature,Negative electrode temperature [C]
Chen2020,DFN,DC03,temperature,Negative electrode temperature [K]
Chen2020,DFN,DC03,temperature,Positive current collector temperature [C]
Chen2020,DFN,DC03,temperature,Positive current collector temperature [K]
Chen2020,DFN,DC03,temperature,Positive electrode temperature [C]
Chen2020,DFN,DC03,temperature,Positive electrode temperature [K]
Chen2020,DFN,DC03,temperature,Separator temperature [C]
Chen2020,DFN,DC03,temperature,Separator temperature [K]
Chen2020,DFN,DC03,temperature,Surface temperature [K]
Chen2020,DFN,DC03,temperature,Volume-averaged ambient temperature [C]
Chen2020,DFN,DC03,temperature,Volume-averaged ambient temperature [K]
Chen2020,DFN,DC03,temperature,Volume-averaged cell temperature [C]
Chen2020,DFN,DC03,temperature,Volume-averaged cell temperature [K]
Chen2020,DFN,DC03,temperature,Volume-averaged surface temperature [K]
Chen2020,DFN,DC03,temperature,X-averaged cell temperature [C]
Chen2020,DFN,DC03,temperature,X-averaged cell temperature [K]
Chen2020,DFN,DC03,temperature,X-averaged negative electrode temperature [C]
Chen2020,DFN,DC03,temperature,X-averaged negative electrode temperature [K]
Chen2020,DFN,DC03,temperature,X-averaged positive electrode temperature [C]
Chen2020,DFN,DC03,temperature,X-averaged positive electrode temperature [K]
Chen2020,DFN,DC03,temperature,X-averaged separator temperature [C]
Chen2020,DFN,DC03,temperature,X-averaged separator temperature [K]
Chen2020,DFN,DC03,heat,Irreversible electrochemical heating [W.m-3]
Chen2020,DFN,DC03,heat,Irreversible electrochemical heating [W]
Chen2020,DFN,DC03,heat,Irreversible electrochemical heating per unit electrode-pair area [W.m-2]
Chen2020,DFN,DC03,heat,Negative current collector Ohmic heating [W.m-3]
Chen2020,DFN,DC03,heat,Ohmic heating [W.m-3]
Chen2020,DFN,DC03,heat,Ohmic heating [W]
Chen2020,DFN,DC03,heat,Ohmic heating per unit electrode-pair area [W.m-2]
Chen2020,DFN,DC03,heat,Positive current collector Ohmic heating [W.m-3]
Chen2020,DFN,DC03,heat,Reversible heating [W.m-3]
Chen2020,DFN,DC03,heat,Reversible heating [W]
Chen2020,DFN,DC03,heat,Reversible heating per unit electrode-pair area [W.m-2]
Chen2020,DFN,DC03,heat,Total heating [W.m-3]
Chen2020,DFN,DC03,heat,Total heating [W]
Chen2020,DFN,DC03,heat,Total heating per unit electrode-pair area [W.m-2]
Chen2020,DFN,DC03,heat,Volume-averaged Ohmic heating [W.m-3]
Chen2020,DFN,DC03,heat,Volume-averaged irreversible electrochemical heating [W.m-3]
Chen2020,DFN,DC03,heat,Volume-averaged reversible heating [W.m-3]
Chen2020,DFN,DC03,heat,Volume-averaged total heating [W.m-3]
Chen2020,DFN,DC03,heat,X-averaged Ohmic heating [W.m-3]
Chen2020,DFN,DC03,heat,X-averaged irreversible electrochemical heating [W.m-3]
Chen2020,DFN,DC03,heat,X-averaged reversible heating [W.m-3]
Chen2020,DFN,DC03,heat,X-averaged total heating [W.m-3]
Chen2020,DFN,DC03,lithium plating,Loss of capacity to negative lithium plating [A.h]
Chen2020,DFN,DC03,lithium plating,Loss of capacity to positive lithium plating [A.h]
Chen2020,DFN,DC03,lithium plating,Loss of lithium to negative lithium plating [mol]
Chen2020,DFN,DC03,lithium plating,Loss of lithium to positive lithium plating [mol]
Chen2020,DFN,DC03,lithium plating,Negative electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03,lithium plating,Negative electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03,lithium plating,Negative electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,lithium plating,Negative lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03,lithium plating,Negative lithium plating thickness [m]
Chen2020,DFN,DC03,lithium plating,Positive electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03,lithium plating,Positive electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03,lithium plating,Positive electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,lithium plating,Positive lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03,lithium plating,Positive lithium plating thickness [m]
Chen2020,DFN,DC03,lithium plating,Volume-averaged negative lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03,lithium plating,Volume-averaged negative lithium plating thickness [m]
Chen2020,DFN,DC03,lithium plating,Volume-averaged positive lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03,lithium plating,Volume-averaged positive lithium plating thickness [m]
Chen2020,DFN,DC03,lithium plating,X-averaged negative electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03,lithium plating,X-averaged negative electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03,lithium plating,X-averaged negative electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,lithium plating,X-averaged negative lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03,lithium plating,X-averaged negative lithium plating thickness [m]
Chen2020,DFN,DC03,lithium plating,X-averaged positive electrode lithium plating interfacial current density [A.m-2]
Chen2020,DFN,DC03,lithium plating,X-averaged positive electrode lithium plating reaction overpotential [V]
Chen2020,DFN,DC03,lithium plating,X-averaged positive electrode lithium plating volumetric interfacial current density [A.m-3]
Chen2020,DFN,DC03,lithium plating,X-averaged positive lithium plating concentration [mol.m-3]
Chen2020,DFN,DC03,lithium plating,X-averaged positive lithium plating thickness [m]
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Average negative particle stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Average positive particle stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Maximum negative particle stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Maximum negative particle surface stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Maximum positive particle stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Maximum positive particle surface stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Minimum negative particle stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Minimum negative particle surface stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Minimum positive particle stoichiometry
Chen2020,DFN,DC03_AC07_0p1tau,stoichiometry,Minimum positive particle surface stoichiometry
