parameter_set,model_type,thermal,qfrac_target,Q_target_Ah,precharge_s_at_0p3C,precharge_min_at_0p3C,segment_role_for_local_H,Q_ref_Ah,Q_ref_source,U_inf_V,A1_V,tau1_raw_s,A2_V,tau2_raw_s,tau_fast_s,tau_slow_s,tau2_selected_s,fit_R2,fit_rmse_mV,fit_status,tau_valid_for_frequency,frequency_f_Hz_k1p5,period_s_k1p5
Chen2020,DFN,isothermal,0.2,0.8985758005607001,2156.5819213456803,35.94303202242801,early_high_AC_region,4.4928790028035,/Users/louislu/pybamm-dcac-superimposed/data/day38_seed_run_summary.csv,3.507424722818526,0.009861350041472311,26.698288971459878,0.005322202636331045,282.546335289431,26.698288971459878,282.546335289431,282.546335289431,0.9996383580867495,0.04502745907294435,ok,True,0.000375525293173271,2662.9364737319847
Chen2020,DFN,isothermal,0.4,1.7971516011214002,4313.1638426913605,71.88606404485601,early_high_AC_region,4.4928790028035,/Users/louislu/pybamm-dcac-superimposed/data/day38_seed_run_summary.csv,3.668019476917404,0.010571355185841399,25.987694737390232,0.006650579224194041,268.2295674086468,25.987694737390232,268.2295674086468,268.2295674086468,0.9996724438288744,0.04967509328724729,ok,True,0.000395568976305095,2528.004115339719
Chen2020,DFN,isothermal,0.6,2.6957274016821,6469.74576403704,107.829096067284,early_high_AC_region,4.4928790028035,/Users/louislu/pybamm-dcac-superimposed/data/day38_seed_run_summary.csv,3.8216773617286566,0.011135422371833638,27.13698321641905,0.008848732141777114,306.3612313674457,27.13698321641905,306.3612313674457,306.3612313674457,0.9997156714835893,0.05613198861196168,ok,True,0.00034633395002691433,2887.386581426071
Chen2020,DFN,isothermal,0.72,3.2348728820185197,7763.694916844447,129.39491528074078,mid_low_AC_region,4.4928790028035,/Users/louislu/pybamm-dcac-superimposed/data/day38_seed_run_summary.csv,3.9269600712561665,0.011656016232619075,25.554477582753712,0.006958372554962858,242.38364180259595,25.554477582753712,242.38364180259595,242.38364180259595,0.9996525209607002,0.05407413589720356,ok,True,0.0004377494067071176,2284.412005312126
Chen2020,DFN,isothermal,0.85,3.8189471523829748,9165.473165719139,152.75788609531898,diagnostic_AC_off_region,4.4928790028035,/Users/louislu/pybamm-dcac-superimposed/data/day38_seed_run_summary.csv,4.036138700037861,0.011888332014843388,26.56346299114776,0.009618616590618962,281.1173113040968,26.56346299114776,281.1173113040968,281.1173113040968,0.999741133307122,0.05783083332589159,ok,True,0.0003774342280892846,2649.468239969596
