phase,fp_mode,n_Q,mean_dt_geom_s,median_dt_geom_s,min_dt_geom_s,max_dt_geom_s,expected_mean_s,mean_error_s,tolerance_s,anchor_status,all_finite,raw_vs_cummax_max_per_Q_diff_s,phase_separation_s,phase_sum_diagnostic_s,mean_charge_first_raw_s,mean_charge_first_cummax_s,mean_discharge_first_raw_s,mean_discharge_first_cummax_s,Q_DC_final_mAh,Q_DCAC_final_mAh,Q_grid_max_mAh,n_t_points,I_nom_A,I_DC_A,I_AC_A,DC_C,AC_C,kappa,tau_label_s,n_tau,T_AC_s,f_Hz,Q_ref_Ah,Q_4p2V_DC_Ah,Q_4p2V_DCAC_10tau_Ah,q_lo_Ah,q_hi_Ah,q_lo_mAh,q_hi_mAh,dt_eval_s,t_max_s,q_reached
charge_first,raw,80,337.5031050262926,353.2470071475591,99.93092562069887,517.9980619562712,335.51,1.9931050262925964,2.0,ok,True,0.0,526.5007413008504,148.50546875173478,337.5031050262926,337.5031050262926,-188.9976362745578,-188.9976362745578,3637.546666675972,3772.4060678633473,2425.014,128385,3.4,1.02,2.38,0.3,0.7,2.333333333333333,11.1,10.0,697.4335690969341,0.0014338283161432013,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,162.96500000000003,2425.014,0.1,12838.309411764705,True
charge_first,cummax,80,337.5031050262926,353.2470071475591,99.93092562069887,517.9980619562712,335.51,1.9931050262925964,2.0,ok,True,0.0,526.5007413008504,148.50546875173478,337.5031050262926,337.5031050262926,-188.9976362745578,-188.9976362745578,3637.546666675972,3772.4060678633473,2425.014,128385,3.4,1.02,2.38,0.3,0.7,2.333333333333333,11.1,10.0,697.4335690969341,0.0014338283161432013,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,162.96500000000003,2425.014,0.1,12838.309411764705,True
discharge_first,raw,80,-188.9976362745578,-180.46176894861082,-419.9373589240158,-0.01570122046632605,,,,diagnostic_negative_geometry,True,0.0,526.5007413008504,148.50546875173478,337.5031050262926,337.5031050262926,-188.9976362745578,-188.9976362745578,3637.546666675972,3502.6872654700305,2425.014,128385,3.4,1.02,2.38,0.3,0.7,2.333333333333333,11.1,10.0,697.4335690969341,0.0014338283161432013,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,162.96500000000003,2425.014,0.1,12838.309411764705,True
discharge_first,cummax,80,-188.9976362745578,-180.46176894861082,-419.9373589240158,-0.01570122046632605,,,,diagnostic_negative_geometry,True,0.0,526.5007413008504,148.50546875173478,337.5031050262926,337.5031050262926,-188.9976362745578,-188.9976362745578,3637.546666675972,3502.6872654700305,2425.014,128385,3.4,1.02,2.38,0.3,0.7,2.333333333333333,11.1,10.0,697.4335690969341,0.0014338283161432013,3.2593,2.9628,2.4902,0.16296500000000003,2.425014,162.96500000000003,2425.014,0.1,12838.309411764705,True
