policy_id,condition,case_role,protocol_type,schedule_type,min_U_NE_mV,margin_class,fraction_time_below_50mV,fraction_time_below_0mV,Q_end_Ah,Q_at_min_U_NE_Ah,Q_frac_of_DC_end_at_min_U_NE,t_at_min_U_NE_s,phase_norm_at_min_U_NE,I_charge_at_min_U_NE_A,I_charge_peak_observed_A,V_terminal_at_min_U_NE_V,distance_to_4p2V_at_min_U_NE_mV,c_e_range_at_min_U_NE_molm3,max_c_e_range_molm3,neg_surface_sto_range_at_min_U_NE,eta_n_at_min_U_NE_V
DC03,Chen2020_DFN_Day35_DC03,dc_reference,DC,constant,37.28056183906979,near_boundary,0.21983715766099185,0.0,4.4928790028035,4.4928790028035,1.0,10782.9096067284,,1.5,1.5,4.2,0.0,354.11854862261725,377.86842281485883,0.11671652965597157,-0.04531043975666531
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,fixed_near_boundary_baseline,DCAC,constant,0.5656856544375326,near_boundary,0.143701991706886,0.0,3.9065085913724236,3.9065085913724236,0.8694889377022643,9318.002844598159,0.22371183468978745,3.3741398314382796,3.3999912821600367,4.20000000000005,-4.973799150320701e-11,623.7327186682746,747.6848433551694,0.12683400687991409,-0.07321158460629495
fixed_AC0p7,Chen2020_DFN_Day35_fixed_AC0p7,fixed_stress_baseline,DCAC,constant,-25.30820344967092,risk_flag,0.2201935483870968,0.03948387096774193,3.633944665066004,3.523653313277779,0.7842751409684222,8309.073455128717,0.2759983151142233,4.9533672638038935,4.999984249864502,4.194776116962791,5.2238830372095535,961.3940093992884,1054.0890622244815,0.13326621568460062,-0.09141658227888828
sched_v1_day34,Chen2020_DFN_Day35_sched_v1_day34,scheduled_v1_day34_baseline,DCAC_SCHEDULED,qfrac_time_proxy,7.750469429029426,near_boundary,0.2231794742799648,0.0,4.4924891412062395,3.3524699620830614,0.7461741035071637,7966.328807371278,0.2746269183626077,3.3772296451254302,3.3999912821600367,4.106146107581967,93.85389241803298,693.577657768825,747.6848433551694,0.08496026771174348,-0.06952142017545634
sched_v2_conservative,Chen2020_DFN_Day35_sched_v2_conservative,scheduled_v2_conservative,DCAC_SCHEDULED,qfrac_time_proxy,24.160262360136276,near_boundary,0.2251685393258427,0.0,4.493120187304324,3.069916043894553,0.6832848251597615,7284.636651267668,0.2829779430146752,3.3592854112648913,3.3999912821600367,4.043494770243527,156.5052297564735,733.2190244804582,747.6848433551694,0.09408751428154627,-0.06891482036589446
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,scheduled_v3_early_derate,DCAC_SCHEDULED,qfrac_time_proxy,20.499176522101415,near_boundary,0.22050570653887383,0.0,4.492913292112714,3.764382334111092,0.8378552664699327,8991.725735369386,0.2704524133268656,2.4917211494662923,3.3999912821600367,4.154231845718357,45.76815428164327,519.613456703727,747.6848433551694,0.10398273739532571,-0.05734168467657226
sched_v4_aggressive,Chen2020_DFN_Day35_sched_v4_aggressive,scheduled_v4_aggressive,DCAC_SCHEDULED,qfrac_time_proxy,4.3566149127978635,near_boundary,0.21475430127491027,0.0,4.491694917563012,3.493687514362053,0.7776055202425963,8307.116670650676,0.27028132429105634,3.38456135594846,3.3999912821600367,4.135253605570787,64.74639442921327,678.9271552701197,747.6848433551694,0.09445362739087482,-0.07012471967160377
sched_v5_low_stress,Chen2020_DFN_Day35_sched_v5_low_stress,scheduled_v5_low_stress,DCAC_SCHEDULED,qfrac_time_proxy,16.256867294337823,near_boundary,0.20064076892270724,0.0,4.492124685713132,3.34573842229979,0.744675834851571,7966.6240600417905,0.2754895360023016,2.980745201818558,2.999979942104556,4.090871367229088,109.12863277091222,623.7059032884405,670.1783594757309,0.07849371117666193,-0.06326246366532906
