param_set,T_period_s,t_end_DCAC_s,n_periods_at_term,sin_omega_tend,I_end_A,I_end_C,phase_label,Q_to_Vmax_DC_Ah,Q_to_Vmax_DCAC_Ah,Q_reduction_pct
Chen2020,2453.513699213217,14192.044694631228,5.784375566837991,-0.9767651180423113,-3.441912795105778,-0.6883825590211556,peak_charging,4.627698798959308,3.72917980879447,-19.41610785833555
OKane2022,2516.435062673768,14426.804090843034,5.733032536716539,-0.9943225645873602,-3.4858064114684004,-0.6971612822936801,peak_charging,4.596844876322248,3.699726364090007,-19.515962282155353
