pair_idx,source_json,source_file,dc_case_id,dc_condition,dcac_case_id,dcac_condition,DC_C,AC_C,tau_label,f_Hz,phase,I_DC_A_used,I_AC_A_used,kappa_used,kappa_meta,q_lo_mAh,q_hi_mAh,Q_ref_mAh,Q_window_span_mAh,N_Q,n_finite,n_nonfinite,dt_model_mean_s,dt_model_median_s,dt_model_min_s,dt_model_max_s,dt_model_sign_topology,dt_geom_mean_s,dt_geom_median_s,dt_geom_min_s,dt_geom_max_s,dt_geom_sign_topology,dt_resid_mean_s,dt_resid_median_s,dt_resid_min_s,dt_resid_max_s,dt_resid_mean_abs_s,dt_resid_median_abs_s,dt_resid_max_abs_s,dt_resid_p95_abs_s,dt_resid_sign_topology,resid_over_geom_median,resid_over_geom_p95,resid_over_geom_max,resid_over_model_median,resid_over_model_p95,resid_over_model_max,residual_class,pair_status,fp_mode,dt_eval_geom_s,dc_clean_removed,dcac_clean_removed,dc_q_match_max_abs_mAh,dcac_q_match_max_abs_mAh
0,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,DC0.10C_baseline,0.1C_DC,DC0.10C+AC0.90C_f0.01430Hz,0.1+0.9C 1τ,0.1,0.9,1τ,0.0143,discharge_first,0.5000000284933344,4.499999819426037,8.999999125972106,9.0,256.31565373203813,4051.5595664170014,5126.313074640762,3795.243912684963,80,80,0,-16.674992289122574,-16.806135450276088,-56.48118878566129,17.154842154042854,mixed,-27.470814224621154,-28.21358372757095,-56.464629216214234,-0.05031603809402441,negative_only,10.795821935498584,2.337113086766294,-1.0549106520375062,62.70167939428211,10.843944205349482,2.337113086766294,62.70167939428211,61.75453437517772,mixed,0.10284278301207574,1.6986938439783572,80.0959364702813,0.1053986028874329,6.859668565225811,27.67198171555042,inspect_residual,admissible,raw,0.1,0,0,9.094947017729282e-13,9.094947017729282e-13
1,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,DC0.10C_baseline,0.1C_DC,DC0.10C+AC0.20C_f0.01430Hz,0.1+0.2C 1τ,0.1,0.2,1τ,0.0143,discharge_first,0.4999999988453225,0.99999999883267,2.00000000228405,2.0,256.31565373203813,4757.174713236827,5126.313074640762,4500.859059504789,80,80,0,-18.12065817734499,-17.661234514405805,-40.44763674695059,3.4875213404629903,mixed,-17.657833079034173,-16.894584271740314,-39.28757334643251,-0.013650140455865767,negative_only,-0.462825098310816,-0.21559058479920168,-38.69735860647961,3.638739233581873,1.3326011587755715,0.7581674366792868,38.69735860647961,1.9316924225620822,mixed,0.04280471387737553,18.299179048021465,29.320554754543902,0.04119615860706517,1.0709827590540841,3.7598791762026993,inspect_residual,admissible,raw,0.1,0,0,9.094947017729282e-13,9.094947017729282e-13
2,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,DC0.20C_baseline,0.2C_DC,DC0.20C+AC0.30C_f0.01430Hz,0.2+0.3C 1τ,0.2,0.3,1τ,0.0143,discharge_first,0.9999999166650428,1.499999839911537,1.49999996491397,1.4999999999999998,256.31652566494716,4509.134265199228,5126.330513298943,4252.817739534281,80,80,0,-18.507889437055162,-18.31508208388186,-36.94594137023341,-1.2097368150302827,negative_only,-15.08557821674649,-14.5672264134123,-32.753542458662196,-0.012142986167418712,negative_only,-3.4223112203086714,-1.1380843208792157,-36.149377104768064,-0.13116592638152724,3.4223112203086714,1.1380843208792157,36.149377104768064,31.944605073572152,negative_only,0.07618648855648837,31.092219411710502,291.0952155279158,0.07078713347298152,0.9653791775882102,0.9965764588160314,inspect_residual,admissible,raw,0.1,1,0,2.8591509362740908e-05,9.094947017729282e-13
3,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,DC0.20C_baseline,0.2C_DC,DC0.20C+AC0.30C_f0.00143Hz,0.2+0.3C 10τ,0.2,0.3,10τ,0.00143,discharge_first,1.0000035198403805,1.4999964261960663,1.499991146466659,1.4999999999999998,256.31652566494716,4433.308675105094,5126.330513298943,4176.992149440147,80,80,0,-146.07062064326368,-140.71702366954423,-319.8871334691448,1.5221828417397774,mixed,-147.20270142278812,-141.89895918265938,-321.8208463235005,-0.12672713047504658,negative_only,1.1320807795244334,1.0789683641453394,-0.15248782816138373,2.660818589016344,1.135892975228468,1.0789683641453394,2.660818589016344,2.0520936317286216,positive_only,0.006515405524603949,0.5746394651771813,7.205753347421821,0.006558140177264039,1.1635312677754654,11.62025620546467,small_residual,admissible,raw,0.1,1,0,2.8591509362740908e-05,9.094947017729282e-13
4,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,DC0.20C_baseline,0.2C_DC,DC0.20C+AC0.30C_f0.00041Hz,0.2+0.3C 34.8τ,0.2,0.3,34.8τ,0.00041,discharge_first,1.0000033686340577,1.4999832109308282,1.4999781580533196,1.4999999999999998,256.31652566494716,4292.888201151985,5126.330513298943,4036.571675487038,80,80,0,-529.4937996914655,-515.9833856138898,-1150.5960895803123,0.5440672990080202,negative_only,-531.0732100071561,-517.4081811405617,-1154.0535411878786,-0.03088474309333833,negative_only,1.5794103156907326,1.3916071309449762,-0.2292066958984833,14.094051680311168,1.5863557055754811,1.3916071309449762,14.094051680311168,2.6950512244177833,positive_only,0.002556915834591421,0.08668609428572481,18.616053899615327,0.0025634707500501548,0.09505685347031884,1.0567664021521777,inspect_residual,admissible,raw,0.1,1,1,2.8591509362740908e-05,2.1987370928400196e-06
5,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,DC0.20C_baseline,0.2C_DC,DC0.20C+AC0.80C_f0.14300Hz,0.2+0.8C 0.1τ,0.2,0.8,0.1τ,0.143,discharge_first,1.0000000013884411,3.999999998418928,3.9999999928651633,4.0,256.31652566494716,4043.374540710295,5126.330513298943,3787.058015045348,80,80,0,-4.417268857098108,-4.393251718774991,-8.758954666707723,-1.1548236873186397,negative_only,-2.2850772439869105,-2.251032684240272,-4.968123505327412,-0.002910698562118341,negative_only,-2.1321916131111975,-0.38557335112182045,-6.355616331040437,0.10189429757429025,2.1478270582244505,0.38557335112182045,6.355616331040437,6.185472952395321,negative_only,0.13464238608259416,92.794129922097,1865.2614870514003,0.11852926685761433,0.9892077743658113,0.9994641694066249,small_residual,admissible,raw,0.1,1,0,2.8591509362740908e-05,9.094947017729282e-13
6,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,DC0.20C_baseline,0.2C_DC,DC0.20C+AC0.80C_f0.01430Hz,0.2+0.8C 1τ,0.2,0.8,1τ,0.0143,discharge_first,0.9999999581579072,3.9999999581573142,4.000000125525691,4.0,256.31652566494716,3961.8787002550857,5126.330513298943,3705.562174590138,80,80,0,-22.83995832592195,-22.121794967533788,-49.261149235507446,0.3745109768133261,negative_only,-22.936306403260584,-22.28764670728151,-49.48334201086823,-0.0012955120546394028,negative_only,0.09634807733863653,0.18828729750680395,-2.453873959795601,0.6637283792379094,0.3489114540817283,0.309947220745471,2.453873959795601,0.6494533049928122,negative_only,0.011208541221496077,2.3289182043850003,61.19255623416248,0.011335622765657596,0.8757836376480829,1.9419784104962186,small_residual,admissible,raw,0.1,1,0,2.8591509362740908e-05,9.094947017729282e-13
7,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,DC0.30C_baseline,0.3C_DC,DC0.30C+AC0.70C_f0.14300Hz,0.3+0.7C 0.1τ,0.3,0.7,0.1τ,0.143,discharge_first,1.4999999993152529,3.4999999992219584,2.3333333338798012,2.3333333333333335,256.2994121486482,3960.368021576586,5125.988242972963,3704.0686094279386,80,80,0,-5.04725677221644,-4.96919589859931,-10.039532595776109,-1.7773867974299264,negative_only,-1.921287876238607,-1.8562270057236674,-4.1534103077507325,-0.0004319740592109156,negative_only,-3.125968895977833,-2.002759325146144,-6.566143345051387,-0.15763460645030136,3.125968895977833,2.002759325146144,6.566143345051387,6.375801257957756,negative_only,0.764651103535573,336.6317239932946,12569.799425215782,0.4306908794786796,0.9970279263709371,0.9999204505643456,small_residual,admissible,raw,0.1,0,0,9.094947017729282e-13,9.094947017729282e-13
8,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,DC0.30C_baseline,0.3C_DC,DC0.30C+AC0.70C_f0.01430Hz,0.3+0.7C 1τ,0.3,0.7,1τ,0.0143,discharge_first,1.4999997575556472,3.499999690167554,2.333333503914057,2.3333333333333335,256.2994121486482,3897.861558021912,5125.988242972963,3641.562145873263,80,80,0,-20.99562073176488,-19.736464179165523,-44.47073003205696,-1.2251380690019005,negative_only,-18.438220860529032,-17.753227123931424,-41.953073329348626,-0.0030425705472225673,negative_only,-2.557399871235847,-0.7415005680572904,-43.62672367396044,-0.04709795728570043,2.557399871235847,0.7415005680572904,43.62672367396044,4.866514952887881,negative_only,0.04015693598481307,21.70145058721872,923.604081541811,0.03860438410639776,0.9546982394899708,0.9989184559965034,inspect_residual,admissible,raw,0.1,0,0,9.094947017729282e-13,9.094947017729282e-13
9,data/results_day8_x2_dfn_mj1freq_v2.json,results_day8_x2_dfn_mj1freq_v2.json,DC0.30C_baseline,0.3C_DC,DC0.30C+AC0.70C_f0.00143Hz,0.3+0.7C 10τ,0.3,0.7,10τ,0.00143,discharge_first,1.4998989696170602,3.499898849054972,2.3334230637871114,2.3333333333333335,256.2994121486482,3739.989225515995,5125.988242972963,3483.6898133673467,80,80,0,-185.48149417832283,-180.12182652943318,-415.94400312568814,0.08089176467910875,negative_only,-185.2968339568045,-180.18359882983452,-415.8355474092341,-0.00972528025158681,negative_only,-0.1846602215183367,-0.05755365696586523,-2.5444692884748292,0.43866777273046864,0.37081596329032324,0.3051142512467777,2.5444692884748292,0.8239641477820894,negative_only,0.0014238874032712128,0.11830752902068904,9.317679551281843,0.001425917765374222,0.10575728681235322,1.1202258386890955,small_residual,admissible,raw,0.1,0,0,9.094947017729282e-13,9.094947017729282e-13
