policy_id,condition,I_charge_min_A,I_charge_max_A,Q_geom_end_Ah,AC_C_min,AC_C_max
DC03,Chen2020_DFN_Day35_DC03,1.5,1.5,5.0,0.0,0.0
fixed_AC0p38,Chen2020_DFN_Day35_fixed_AC0p38,-0.39999997128705433,3.3999999998717176,5.001985986079878,0.38,0.38
fixed_AC0p7,Chen2020_DFN_Day35_fixed_AC0p7,-1.999999947107732,4.99999999976369,5.03107188740736,0.7,0.7
sched_v1_day34,Chen2020_DFN_Day35_sched_v1_day34,-0.39999997128705433,3.3999999937492977,5.035607794415519,0.0,0.38
sched_v2_conservative,Chen2020_DFN_Day35_sched_v2_conservative,-0.39999997128705433,3.3999999937492977,5.006519340398272,0.0,0.38
sched_v3_early_derate,Chen2020_DFN_Day35_sched_v3_early_derate,-0.39999997128705433,3.3999999937492977,5.013289596216679,0.0,0.38
sched_v4_aggressive,Chen2020_DFN_Day35_sched_v4_aggressive,-0.39999997128705433,3.3999999937492977,5.033931895868904,0.0,0.38
sched_v5_low_stress,Chen2020_DFN_Day35_sched_v5_low_stress,2.2668114940671558e-08,2.999999995065235,5.031902618170184,0.0,0.3
