condition,case_role,delta_t_raw_mean_s,delta_t_raw_min_s,delta_t_raw_max_s,delta_t_geom_mean_s,delta_t_resid_mean_s,resid_abs_mean_s,resid_max_abs_s,dt_resid_class
Chen2020_DFN_Day34_fixed_AC0p38,fixed_near_boundary_baseline,69.35065528421227,-0.012173282616458891,137.95346019234694,69.36353608981146,-0.012880805599183419,0.012948244713588224,0.04513282634252391,geometry_dominated
Chen2020_DFN_Day34_fixed_AC0p7,fixed_stress_baseline,158.66534902126395,48.4389174145399,254.15932513260736,158.68556780196005,-0.0202187806960967,0.0202187806960967,0.0707415182105251,geometry_dominated
Chen2020_DFN_Day34_sched_Qfrac_v1,rule_based_state_aware_v1,70.8086408278914,-0.012173282616458891,137.95346019234694,70.8220509685833,-0.013410140691898392,0.013477579806303198,0.07713112257533794,geometry_dominated
