condition,tau_factor_set,delta_t_raw_mean_s,U_NE_min_DCAC_min_mV,U_NE_min_DCAC_mean_mV,delta_U_NE_min_mean_mV,delta_U_NE_min_min_mV,fraction_Q_below_50mV,fraction_Q_below_0mV,equalQ_margin_class
Chen2020_DFN_DC03_AC07_0p5tauSet,0.5,53.95533151500899,-11.757726725690027,65.57627277187241,-53.84957851532142,-87.86111992806244,0.49,0.05,risk_flag
Chen2020_DFN_DC03_AC07_1p5tauSet,1.5,158.54703838474148,-19.436998139880316,54.386510661797644,-65.03934062539618,-108.6315889402077,0.58,0.1,risk_flag
Chen2020_DFN_DC03_AC07_3p0tauSet,3.0,318.2923543376153,-22.99303782118383,52.41571049957427,-67.01014078761956,-120.0257298885208,0.6,0.1,risk_flag
Chen2020_DFN_DC03_AC07_5p0tauSet,5.0,534.8152578295319,-16.941312430246438,51.0841889816013,-68.34166230559254,-117.55367741017935,0.61,0.1,risk_flag
