param_set,anchor_label,phase_label,n_rows_segment_A,n_finite,n_nonfinite,Q_lo_segment_A_Ah,Q_hi_segment_A_Ah,Q_min_Ah,Q_max_Ah,segment_A_before_earliest_Vmax,Q_to_Vmax_DC_Ah,Q_to_Vmax_DCAC_Ah,Q_to_Vmax_shift_Ah,Q_to_Vmax_shift_pct_nom,t_to_Vmax_shift_s,has_cv_feedback_in_current_npz,dt_model_mean_s,dt_model_median_s,dt_model_min_s,dt_model_max_s,dt_model_sign_topology,dt_geom_mean_s,dt_geom_median_s,dt_geom_min_s,dt_geom_max_s,dt_geom_sign_topology,dt_resid_mean_s,dt_resid_median_s,dt_resid_min_s,dt_resid_max_s,dt_resid_mean_abs_s,dt_resid_median_abs_s,dt_resid_p95_abs_s,dt_resid_max_abs_s,dt_resid_sign_topology,resid_over_geom_median,resid_over_geom_p95,resid_over_geom_max,resid_over_model_median,resid_over_model_p95,resid_over_model_max,dtQ_identity_err_max_abs_s,Q_nom_Ah,f_anchor_Hz,T_period_s,segment_A_status,interpretation
Chen2020,Route2_AC0p5C_10tau_native_charge_first,charge_first,62,62,0,1.0,3.668944108030942,1.0289999233488225,3.668944108030942,True,4.6250000000000036,3.7689441080309423,0.8560558919690613,17.121117839381224,3852.061492693583,False,1277.6936883380845,1302.8925683258508,437.6099507692079,1951.3463399695947,positive_only,1277.6954014641344,1302.8944554827892,437.6137743209556,1951.360599278848,positive_only,-0.001713126050111455,-0.0013376012298067,-0.0142593092532479,0.00629844298237,0.002386556512742378,0.0014407524884063,0.007722411791541993,0.0142593092532479,near_zero,1.5160743459102008e-06,5.352858804236121e-06,8.737274674759718e-06,1.5160766444336186e-06,5.35288745778201e-06,8.737351015395469e-06,4.547473508864641e-13,5.0,0.0004075787309933,2453.513699213217,numerical_null,Segment A is prescribed-current geometry-dominated
OKane2022,Route2_AC0p5C_10tau_native_charge_first,charge_first,62,62,0,1.0,3.6868222884438886,1.03307343281,3.6868222884438886,True,4.594444444444441,3.7868222884438887,0.8076221560005519,16.152443120011036,3497.9933156119914,False,1303.2787867223687,1345.9490326268242,458.12338525785526,2001.1579362872371,positive_only,1303.2791498769634,1345.9492696481375,458.1220948611026,2001.1578223465576,positive_only,-0.00036315459460783993,-0.00088168181764555,-0.003517242669659,0.0051436405592539,0.0015267057170867502,0.00127524409890605,0.0035139690878622496,0.0051436405592539,near_zero,1.1145453588688714e-06,3.098671577364633e-06,7.55888936842292e-06,1.114545358256974e-06,3.09868118270938e-06,7.558946505663298e-06,4.547473508864641e-13,5.0,0.0003973875641907,2516.435062673768,numerical_null,Segment A is prescribed-current geometry-dominated
ORegan2022,Route2_AC0p5C_10tau_native_charge_first,charge_first,59,59,0,1.0,3.110457296623795,1.0103747244189836,3.110457296623795,True,4.724128305784915,3.210457296623795,1.51367100916112,30.2734201832224,7081.007880510373,False,1481.5700068758626,1378.560562649628,550.0104367239655,2386.0765118317513,positive_only,1481.5690394537087,1378.560481587258,550.0100560126266,2386.062236766339,positive_only,0.0009674221543055899,0.0002789491427392,-0.0046489830365317,0.014275065412221,0.001637440138361135,0.0006269290338423,0.005973468552929213,0.014275065412221,near_zero,4.892004032642723e-07,2.5282554901987102e-06,5.982687790896429e-06,4.892001639473548e-07,2.5282490737592806e-06,5.98265199855736e-06,4.547473508864641e-13,5.0,0.0003334631413596,2998.8321825398384,numerical_null,Segment A is prescribed-current geometry-dominated
