protocol_pair,Q_Ah,dt_resid_s,fp_err_DC_s,fp_err_DCAC_s,residual_reconstructed_s,reconstruction_error_s
0.3C DC vs 0.3C+0.7C 0.1tau,1.4200000000000002,-1.0364364691095034,0.5252920539542174,1.5617285230637208,-1.0364364691095034,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.4300000000000002,-1.0460314747397206,0.529249245129904,1.5752807198696246,-1.0460314747397206,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.4400000000000002,-1.1189683295060604,0.5331238599210337,1.6520921894270941,-1.1189683295060604,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.4500000000000002,-1.3989370881272407,0.5367190643564754,1.9356561524837161,-1.3989370881272407,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.46,-5.116593626212307,0.5400707843582495,5.656664410570556,-5.116593626212307,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.47,-0.8609850792208817,0.5433487850159509,1.4043338642368326,-0.8609850792208817,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.48,-0.8320182358229431,0.5469147950443585,1.3789330308673016,-0.8320182358229431,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.49,-0.7307634867374873,0.5504694041301263,1.2812328908676136,-0.7307634867374873,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.5,-0.6896873232071812,0.5538861933091539,1.243573516516335,-0.6896873232071812,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.51,-0.6539232761942912,0.5573583220129876,1.2112815982072789,-0.6539232761942912,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.52,-0.6198248359196441,0.5610665324047659,1.18089136832441,-0.6198248359196441,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.53,-0.5895843628086368,0.5647218647127374,1.1543062275213742,-0.5895843628086368,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.54,-0.563618320526075,0.5683957309838661,1.132014051509941,-0.563618320526075,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.55,-0.538656740010083,0.5720194980804081,1.110676238090491,-0.538656740010083,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.56,-0.5307225691203712,0.5757002079371887,1.1064227770575599,-0.5307225691203712,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.57,-0.5409141877817092,0.579475784639726,1.1203899724214352,-0.5409141877817092,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.58,-0.574710561356369,0.5835086035922359,1.1582191649486049,-0.574710561356369,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.59,-0.6568058461425608,0.5875841167580802,1.244389962900641,-0.6568058461425608,0.0
0.3C DC vs 0.3C+0.7C 0.1tau,1.6,-0.8339962036598081,0.5916237069905037,1.4256199106503118,-0.8339962036598081,0.0
