case_id,I_DC_Crate,A_Crate,f_Hz,kappa,wall_clock_s,soc_init,V_init_phase2,CC_time_s,CV_time_s,total_time_s,CC_time_min,CV_time_min,total_time_min,Q_net_final_mAh,T_max_charging_C,n_AC_reversals_steps,pct_AC_reversals,status,condition,tau_label,batch
DC0.10C+AC0.90C_f0.01430Hz_X5,0.1,0.9,0.0143,9.0,7.20516300201416,0.01688,2.8582325358614264,29355.059999101803,4186.493750396799,33541.553749498606,489.25099998503003,69.77489583994665,559.0258958249767,5034.194767031265,26.366495984694836,10459,49.691182060053215,ok,0.1+0.9C 1τ,1τ,X5-A
DC0.10C+AC0.20C_f0.01430Hz_X5,0.1,0.2,0.0143,2.0,2.196216106414795,0.01688,2.858232535861652,34387.599875118394,2839.08824353043,37226.688118648824,573.1266645853066,47.31813739217384,620.4448019774804,5040.451299837274,20.74248973627016,3882,33.5377969762419,ok,0.1+0.2C 1τ,1τ,X5-A
DC0.20C+AC0.30C_f0.01430Hz_X5,0.2,0.3,0.0143,1.4999999999999998,1.854323148727417,0.01688,2.887334853445421,16344.911680703104,3520.829011334419,19865.74069203752,272.4151946783851,58.68048352224032,331.09567820062534,5041.456969705818,21.85891884848712,1873,27.82647452087357,ok,0.2+0.3C 1τ,1τ,X5-A
DC0.20C+AC0.30C_f0.00143Hz_X5,0.2,0.3,0.00143,1.4999999999999998,0.730522871017456,0.01688,2.887334853445421,15898.14502651651,3840.507711508548,19738.652738025055,264.9690837752752,64.0084618584758,328.97754563375094,5042.601684721581,22.337351686015438,229,24.945533769063182,ok,0.2+0.3C 10τ,10τ,X5-A
DC0.20C+AC0.30C_f0.00041Hz_X5,0.2,0.3,0.00041,1.4999999999999998,0.5886812210083008,0.01688,2.887334853445421,16362.443711470332,3887.4078929224906,20249.851604392825,272.7073951911722,64.79013154870817,337.4975267398804,5042.660534769832,23.101439886950686,86,21.07843137254902,ok,0.2+0.3C 34.8τ,34.8τ,X5-A
DC0.20C+AC0.80C_f0.14300Hz_X5,0.2,0.8,0.143,4.0,38.001587867736816,0.01688,2.8873348534458776,14634.524341383754,4216.985321098367,18851.509662482124,243.90873902306257,70.2830886849728,314.1918277080354,5030.953139286735,25.176057276972983,44600,45.77457561015662,ok,0.2+0.8C 0.1τ,0.1τ,X5-A
DC0.20C+AC0.80C_f0.01430Hz_X5,0.2,0.8,0.0143,4.0,3.5834829807281494,0.01688,2.887334853445421,14389.66794516457,4315.295229713116,18704.96317487769,239.82779908607617,71.92158716188527,311.74938624796147,5039.062810702753,25.38458889778923,4498,45.0160128102482,ok,0.2+0.8C 1τ,1τ,X5-A
DC0.20C+AC0.80C_f0.00143Hz_X5,0.2,0.8,0.00143,4.0,0.8935439586639404,0.01688,2.887334853445421,13809.049194869996,4619.414607114084,18428.46380198408,230.15081991449995,76.9902434519014,307.1410633664013,5042.935364967988,27.143730713004516,510,38.93129770992366,ok,0.2+0.8C 10τ,10τ,X5-A
DC0.30C+AC0.70C_f0.14300Hz_X5,0.3,0.7,0.143,2.3333333333333335,22.42826008796692,0.01688,2.9095420749510033,9550.59401734639,4345.530514130065,13896.124531476455,159.17656695577315,72.42550856883442,231.60207552460759,5032.649423092515,25.057477388257894,23411,40.21886649830782,ok,0.3+0.7C 0.1τ,0.1τ,X5-A
DC0.30C+AC0.70C_f0.01430Hz_X5,0.3,0.7,0.0143,2.3333333333333335,2.320817708969116,0.01688,2.909542074950979,9423.507521102214,4419.407049496,13842.914570598214,157.0584586850369,73.65678415826666,230.71524284330357,5037.98777490576,25.27472844145575,2361,38.960396039603964,ok,0.3+0.7C 1τ,1τ,X5-A
DC0.30C+AC0.70C_f0.00143Hz_X5,0.3,0.7,0.00143,2.3333333333333335,0.7278180122375488,0.01688,2.909542074950979,8947.544127834073,4700.378849867129,13647.922977701202,149.1257354639012,78.33964749778549,227.46538296168671,5040.111910187769,26.738229621122514,265,32.396088019559905,ok,0.3+0.7C 10τ,10τ,X5-A
DC0.30C+AC0.40C_f0.14300Hz_X5,0.3,0.4,0.143,1.3333333333333335,16.008378982543945,0.01688,2.909542074950852,9991.239291337017,4136.875589451731,14128.114880788748,166.52065485561695,68.94792649086217,235.4685813464791,5034.776946909953,23.490659018867632,10742,24.475938753189936,ok,0.3+0.4C 0.1τ,0.1τ,X5-A
DC0.30C+AC0.40C_f0.01430Hz_X5,0.3,0.4,0.0143,1.3333333333333335,1.798065185546875,0.01688,2.909542074950979,9912.163951093604,4190.20440790783,14102.368359001433,165.20273251822672,69.83674013179716,235.0394726500239,5039.245168073881,23.61518114222099,1146,24.87518992836987,ok,0.3+0.4C 1τ,1τ,X5-A
DC0.30C+AC0.40C_f0.00143Hz_X5,0.3,0.4,0.00143,1.3333333333333335,0.730842113494873,0.01688,2.909542074950979,9614.677863585033,4422.844453677608,14037.522317262641,160.24463105975056,73.71407422796013,233.95870528771067,5043.722820355901,24.206546770809837,131,19.75867269984917,ok,0.3+0.4C 10τ,10τ,X5-A
DC0.40C+AC0.60C_f0.02860Hz_X5,0.4,0.6,0.0286,1.4999999999999998,2.8142311573028564,0.01688,2.9274898704868617,6984.828959201567,4484.609193442875,11469.438152644441,116.41381598669278,74.74348655738125,191.157302544074,5041.497414961138,25.426967300066792,2208,29.991850040749796,ok,0.4+0.6C 0.5τ,0.5τ,X5-A
DC0.40C+AC0.50C_f0.00860Hz_X5,0.4,0.5,0.0086,1.25,1.2599799633026123,0.01688,2.9274898704868617,6952.464744165775,4518.8581653469955,11471.322909512772,115.87441240276293,75.31430275578326,191.1887151585462,5041.754659954048,25.21459919026637,537,22.821929451763705,ok,0.4+0.5C 1.67τ,1.67τ,X5-A
DC0.40C+AC0.60C_f0.00860Hz_X5,0.4,0.6,0.0086,1.4999999999999998,1.1972370147705078,0.01688,2.9274898704868617,6944.123472986006,4525.993152054188,11470.116625040195,115.73539121643344,75.43321920090312,191.16861041733657,5040.36079901959,25.60575459091217,728,28.68400315208826,ok,0.4+0.6C 1.67τ,1.67τ,X5-A
DC0.40C+AC0.60C_f0.00286Hz_X5,0.4,0.6,0.00286,1.4999999999999998,0.7728121280670166,0.01688,2.9274898704868617,6887.310691617236,4607.413815034611,11494.724506651848,114.78851152695394,76.79023025057684,191.5787417775308,5041.574160183555,25.940302445104294,269,26.607319485657765,ok,0.4+0.6C 5τ,5τ,X5-A
DC0.40C+AC0.60C_f0.00143Hz_X5,0.4,0.6,0.00143,1.4999999999999998,0.7462830543518066,0.01688,2.9274898704868617,6797.1385154996005,4702.187384713226,11499.325900212825,113.28564192499334,78.36978974522043,191.65543167021374,5040.3273254290725,26.45957347857552,149,25.601374570446737,ok,0.4+0.6C 10τ,10τ,X5-A
DC0.50C+AC0.50C_f0.01430Hz_X5,0.5,0.5,0.0143,1.0,1.3734779357910156,0.01688,2.942718841733334,5440.05515192211,4605.323331397548,10045.378483319659,90.6675858653685,76.7553888566258,167.4229747219943,5041.051387262217,26.153057515878118,0,0.0,ok,0.5+0.5C 1τ,1τ,X5-A
DC0.90C+AC0.10C_f0.00086Hz_X5,0.9,0.1,0.00086,0.11111111111111112,0.5755147933959961,0.01688,2.9893912111993135,2944.9107672937403,4766.689785522845,7711.600552816586,49.081846121562336,79.44482975871409,128.52667588027643,5040.302193578794,31.580657507514047,0,0.0,ok,0.9+0.1C 16.7τ,16.7τ,X5-A
DC0.90C+AC0.10C_f0.00860Hz_X5,0.9,0.1,0.0086,0.11111111111111112,0.7077748775482178,0.01688,2.9893912111993135,2871.3983618251227,4809.831486621437,7681.229848446559,47.856639363752045,80.16385811035728,128.0204974741093,5041.0302096584,31.487777655271486,0,0.0,ok,0.9+0.1C 1.67τ,1.67τ,X5-A
DC0.90C+AC0.10C_f0.00143Hz_X5,0.9,0.1,0.00143,0.11111111111111112,0.5845389366149902,0.01688,2.9893912111993135,3008.195840074738,4676.321453546332,7684.51729362107,50.136597334578966,77.93869089243887,128.07528822701784,5039.365996425059,31.752982465857656,0,0.0,ok,0.9+0.1C 10τ,10τ,X5-A
