parameter_set,pair_id,Q_Ah,Q_frac_nominal_increment,SOC_nominal_est,t_DC_s,t_DCAC_s,t_DC_min,t_DCAC_min,delta_t_full_s,delta_t_full_min,control_state_DC_Qbased,control_state_DCAC_Qbased,segment_label_Qbased,control_state_DC_timebased,control_state_DCAC_timebased,segment_label_timebased
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.7859025368827114,0.15718050737654227,0.20718050737654226,1886.1660885185072,1586.6606945914039,31.436101475308455,26.44434490985673,299.50539392710334,4.991756565451722,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.8201976637268469,0.16403953274536937,0.21403953274536935,1968.4743929444326,1612.04085725543,32.80790654907388,26.867347620923834,356.4335356890026,5.940558928150043,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.8544927905709825,0.1708985581141965,0.2208985581141965,2050.782697370358,1639.1748721849488,34.1797116228393,27.31958120308248,411.6078251854094,6.860130419756824,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.8887879174151181,0.17775758348302362,0.2277575834830236,2133.0910017962833,1669.983616339884,35.55151669660472,27.8330602723314,463.10738545639924,7.718456424273321,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.9230830442592536,0.18461660885185072,0.2346166088518507,2215.3993062222085,1709.5204438132123,36.923321770370144,28.492007396886873,505.87886240899616,8.43131437348327,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.9573781711033892,0.19147563422067784,0.24147563422067786,2297.707610648134,2194.837260377452,38.29512684413557,36.58062100629086,102.87035027068214,1.7145058378447022,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,0.9916732979475248,0.19833465958950497,0.24833465958950496,2380.0159150740596,2222.138220496736,39.666931917900996,37.03563700827893,157.87769457732384,2.631294909622064,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.0259684247916605,0.2051936849583321,0.2551936849583321,2462.3242194999852,2247.5945074849456,41.03873699166642,37.459908458082424,214.7297120150397,3.578828533583995,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.0602635516357959,0.21205271032715917,0.26205271032715916,2544.63252392591,2272.355188162878,42.410542065431834,37.872586469381304,272.2773357630317,4.537955596050528,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.0945586784799315,0.2189117356959863,0.2689117356959863,2626.9408283518355,2297.3189256254655,43.782347139197256,38.28864876042442,329.6219027263701,5.493698378772835,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.128853805324067,0.22577076106481342,0.2757707610648134,2709.249132777761,2323.4524774724377,45.154152212962686,38.724207957873965,385.7966553053234,6.429944255088723,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.1631489321682027,0.23262978643364055,0.28262978643364056,2791.5574372036863,2352.182802927172,46.52595728672811,39.203046715452864,439.37463427651437,7.32291057127524,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.1974440590123383,0.23948881180246767,0.28948881180246766,2873.865741629612,2386.500876041988,47.89776236049353,39.7750146006998,487.3648655876241,8.122747759793734,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.231739185856474,0.24634783717129477,0.29634783717129476,2956.1740460555375,2438.272209339557,49.26956743425896,40.63787015565928,517.9018367159806,8.631697278599678,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.2660343127006095,0.2532068625401219,0.3032068625401219,3038.4823504814626,2906.967128970994,50.641372508024375,48.44945214951657,131.51522151046856,2.1919203585078093,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.3003294395447451,0.260065887908949,0.310065887908949,3120.790654907388,2933.1225490554853,52.013177581789805,48.885375817591424,187.66810585190296,3.1278017641983826,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.3346245663888805,0.2669249132777761,0.3169249132777761,3203.0989593333134,2958.094473718845,53.38498265555522,49.30157456198075,245.0044856144682,4.08340809357447,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.368919693233016,0.2737839386466032,0.3237839386466032,3285.4072637592385,2982.8524501571287,54.75678772932064,49.71420750261881,302.5548136021098,5.04258022670183,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.4032148200771517,0.2806429640154303,0.3306429640154303,3367.715568185164,3008.2943608883156,56.12859280308607,50.13823934813859,359.4212072968485,5.990353454947475,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.4375099469212873,0.2875019893842575,0.33750198938425746,3450.0238726110897,3035.562488891764,57.500397876851494,50.59270814819607,414.46138371932557,6.907689728655426,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.471805073765423,0.29436101475308457,0.34436101475308456,3532.332177037015,3066.6603007582844,58.872202950616916,51.111005012638074,465.67187627873045,7.7611979379788405,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.5061002006095585,0.3012200401219117,0.3512200401219117,3614.6404814629404,3106.9949223520007,60.24400802438234,51.783248705866676,507.64555911093976,8.460759318515663,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.540395327453694,0.30807906549073877,0.35807906549073876,3696.9487858888656,3591.2278833031764,61.61581309814776,59.85379805505294,105.72090258568915,1.7620150430948192,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.5746904542978295,0.3149380908595659,0.3649380908595659,3779.2570903147907,3618.3918431263023,62.98761817191318,60.306530718771704,160.8652471884884,2.6810874531414735,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.608985581141965,0.321797116228393,0.371797116228393,3861.5653947407163,3643.786763633226,64.3594232456786,60.72977939388711,217.77863110749013,3.629643851791502,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.6432807079861007,0.3286561415972201,0.3786561415972201,3943.873699166642,3668.5361350000835,65.73122831944403,61.14226891666806,275.3375641665584,4.5889594027759735,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.6775758348302363,0.3355151669660473,0.38551516696604726,4026.182003592567,3693.535560434156,67.10303339320946,61.55892600723594,332.6464431584109,5.544107385973515,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.711870961674372,0.34237419233487437,0.39237419233487436,4108.490308018492,3719.7640082068588,68.47483846697487,61.99606680344765,388.72629981163345,6.478771663527224,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.7461660885185073,0.34923321770370147,0.39923321770370146,4190.798612444418,3748.6945786922442,69.8466435407403,62.47824297820407,442.10403375217356,7.368400562536226,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.780461215362643,0.35609224307252857,0.40609224307252856,4273.106916870343,3783.4701589191422,71.21844861450572,63.057835981985704,489.63675795120116,8.160612632520019,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.8147563422067785,0.3629512684413557,0.4129512684413557,4355.415221296268,3837.4636913318936,72.59025368827113,63.95772818886489,517.9515299643745,8.63252549940624,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.849051469050914,0.3698102938101828,0.4198102938101828,4437.723525722194,4303.27399670492,73.96205876203656,71.72123327841534,134.44952901727356,2.2408254836212262,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.8833465958950497,0.3766693191790099,0.4266693191790099,4520.031830148119,4329.336954491232,75.33386383580199,72.1556159081872,190.69487565688723,3.178247927614787,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.9176417227391853,0.3835283445478371,0.43352834454783706,4602.340134574045,4354.274888433401,76.70566890956742,72.57124814055669,248.06524614064347,4.134420769010725,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.951936849583321,0.3903873699166642,0.44038736991666416,4684.6484389999705,4379.046052433985,78.07747398333284,72.98410087389975,305.6023865659854,5.09337310943309,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,1.9862319764274563,0.39724639528549127,0.44724639528549126,4766.956743425895,4404.552716526162,79.44927905709825,73.4092119421027,362.40402689973325,6.040067114995554,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
Chen2020,P01_0p3DC_vs_0p3p0p7_10tau,2.0205271032715917,0.4041054206543183,0.4541054206543183,4849.26504785182,4431.95962005204,80.82108413086367,73.865993667534,417.30542779977986,6.955090463329665,CC,AC_on_CC,A_common_CC,CC,AC_on_CC,A_common_prescribed_CC
