segment,n,Q_start_Ah,Q_end_Ah,SOC_start,SOC_end,delta_t_start_min,delta_t_end_min,within_segment_delta_min,within_segment_delta_s,handover_from_previous_segment,handover_to_this_segment,handover_delta_min,handover_delta_s,prev_segment_end_delta_t_min,prev_segment_end_Q_Ah,prev_segment_end_SOC
A_common_prescribed_CC,127,0.1,4.421187580642465,0.07,0.9342375161284932,2.0944527922185006,8.583019094402456,6.488566302183955,389.3139781310373,,A_common_prescribed_CC,,,,,
B_DCAC_CV__DC_CC,2,4.455482720171374,4.489777859700283,0.9410965440342749,0.9479555719400565,0.9752178227481636,1.079966830641115,0.10474900789295138,6.284940473577083,A_common_prescribed_CC,B_DCAC_CV__DC_CC,-7.607801271654292,-456.4680762992575,8.583019094402456,4.421187580642465,0.9342375161284932
D_common_CV,11,4.524072999229191,4.867024394518276,0.9548145998458383,1.0234048789036552,1.1025801764617122,0.15841497656950498,-0.9441651998922073,-56.649911993532434,B_DCAC_CV__DC_CC,D_common_CV,0.022613345820597264,1.3568007492358358,1.079966830641115,4.489777859700283,0.9479555719400565
