t_s,I_charge_A,I_py_A,Q_geom_Ah,AC_C_scheduled,condition
36.5,1.5,-1.5,0.015208333333333334,0.0,Chen2020_DFN_Day34_DC03
37.0,1.5,-1.5,0.015416666666666667,0.0,Chen2020_DFN_Day34_DC03
37.5,1.5,-1.5,0.015625,0.0,Chen2020_DFN_Day34_DC03
38.0,1.5,-1.5,0.015833333333333335,0.0,Chen2020_DFN_Day34_DC03
38.5,1.5,-1.5,0.016041666666666666,0.0,Chen2020_DFN_Day34_DC03
39.0,1.5,-1.5,0.01625,0.0,Chen2020_DFN_Day34_DC03
39.5,1.5,-1.5,0.016458333333333332,0.0,Chen2020_DFN_Day34_DC03
40.0,1.5,-1.5,0.016666666666666666,0.0,Chen2020_DFN_Day34_DC03
40.5,1.5,-1.5,0.016875,0.0,Chen2020_DFN_Day34_DC03
41.0,1.5,-1.5,0.017083333333333332,0.0,Chen2020_DFN_Day34_DC03
41.5,1.5,-1.5,0.017291666666666667,0.0,Chen2020_DFN_Day34_DC03
42.0,1.5,-1.5,0.0175,0.0,Chen2020_DFN_Day34_DC03
42.5,1.5,-1.5,0.017708333333333333,0.0,Chen2020_DFN_Day34_DC03
43.0,1.5,-1.5,0.017916666666666668,0.0,Chen2020_DFN_Day34_DC03
43.5,1.5,-1.5,0.018125,0.0,Chen2020_DFN_Day34_DC03
44.0,1.5,-1.5,0.018333333333333333,0.0,Chen2020_DFN_Day34_DC03
44.5,1.5,-1.5,0.018541666666666668,0.0,Chen2020_DFN_Day34_DC03
45.0,1.5,-1.5,0.01875,0.0,Chen2020_DFN_Day34_DC03
45.5,1.5,-1.5,0.018958333333333334,0.0,Chen2020_DFN_Day34_DC03
46.0,1.5,-1.5,0.019166666666666665,0.0,Chen2020_DFN_Day34_DC03
46.5,1.5,-1.5,0.019375,0.0,Chen2020_DFN_Day34_DC03
47.0,1.5,-1.5,0.019583333333333335,0.0,Chen2020_DFN_Day34_DC03
47.5,1.5,-1.5,0.019791666666666666,0.0,Chen2020_DFN_Day34_DC03
48.0,1.5,-1.5,0.02,0.0,Chen2020_DFN_Day34_DC03
48.5,1.5,-1.5,0.02020833333333333,0.0,Chen2020_DFN_Day34_DC03
49.0,1.5,-1.5,0.020416666666666666,0.0,Chen2020_DFN_Day34_DC03
49.5,1.5,-1.5,0.020625,0.0,Chen2020_DFN_Day34_DC03
50.0,1.5,-1.5,0.020833333333333332,0.0,Chen2020_DFN_Day34_DC03
50.5,1.5,-1.5,0.021041666666666667,0.0,Chen2020_DFN_Day34_DC03
51.0,1.5,-1.5,0.02125,0.0,Chen2020_DFN_Day34_DC03
51.5,1.5,-1.5,0.021458333333333333,0.0,Chen2020_DFN_Day34_DC03
52.0,1.5,-1.5,0.021666666666666667,0.0,Chen2020_DFN_Day34_DC03
52.5,1.5,-1.5,0.021875,0.0,Chen2020_DFN_Day34_DC03
53.0,1.5,-1.5,0.022083333333333333,0.0,Chen2020_DFN_Day34_DC03
53.5,1.5,-1.5,0.022291666666666668,0.0,Chen2020_DFN_Day34_DC03
54.0,1.5,-1.5,0.0225,0.0,Chen2020_DFN_Day34_DC03
54.5,1.5,-1.5,0.022708333333333334,0.0,Chen2020_DFN_Day34_DC03
55.0,1.5,-1.5,0.022916666666666665,0.0,Chen2020_DFN_Day34_DC03
55.5,1.5,-1.5,0.023125,0.0,Chen2020_DFN_Day34_DC03
56.0,1.5,-1.5,0.023333333333333334,0.0,Chen2020_DFN_Day34_DC03
56.5,1.5,-1.5,0.023541666666666666,0.0,Chen2020_DFN_Day34_DC03
57.0,1.5,-1.5,0.02375,0.0,Chen2020_DFN_Day34_DC03
57.5,1.5,-1.5,0.023958333333333335,0.0,Chen2020_DFN_Day34_DC03
58.0,1.5,-1.5,0.024166666666666666,0.0,Chen2020_DFN_Day34_DC03
58.5,1.5,-1.5,0.024375,0.0,Chen2020_DFN_Day34_DC03
59.0,1.5,-1.5,0.024583333333333332,0.0,Chen2020_DFN_Day34_DC03
59.5,1.5,-1.5,0.024791666666666667,0.0,Chen2020_DFN_Day34_DC03
60.0,1.5,-1.5,0.025,0.0,Chen2020_DFN_Day34_DC03
60.5,1.5,-1.5,0.025208333333333333,0.0,Chen2020_DFN_Day34_DC03
61.0,1.5,-1.5,0.025416666666666667,0.0,Chen2020_DFN_Day34_DC03
61.5,1.5,-1.5,0.025625,0.0,Chen2020_DFN_Day34_DC03
62.0,1.5,-1.5,0.025833333333333333,0.0,Chen2020_DFN_Day34_DC03
62.5,1.5,-1.5,0.026041666666666668,0.0,Chen2020_DFN_Day34_DC03
63.0,1.5,-1.5,0.02625,0.0,Chen2020_DFN_Day34_DC03
63.5,1.5,-1.5,0.026458333333333334,0.0,Chen2020_DFN_Day34_DC03
64.0,1.5,-1.5,0.02666666666666667,0.0,Chen2020_DFN_Day34_DC03
64.5,1.5,-1.5,0.026875,0.0,Chen2020_DFN_Day34_DC03
65.0,1.5,-1.5,0.027083333333333334,0.0,Chen2020_DFN_Day34_DC03
65.5,1.5,-1.5,0.027291666666666665,0.0,Chen2020_DFN_Day34_DC03
66.0,1.5,-1.5,0.0275,0.0,Chen2020_DFN_Day34_DC03
66.5,1.5,-1.5,0.027708333333333335,0.0,Chen2020_DFN_Day34_DC03
67.0,1.5,-1.5,0.027916666666666666,0.0,Chen2020_DFN_Day34_DC03
67.5,1.5,-1.5,0.028125,0.0,Chen2020_DFN_Day34_DC03
68.0,1.5,-1.5,0.028333333333333332,0.0,Chen2020_DFN_Day34_DC03
68.5,1.5,-1.5,0.028541666666666667,0.0,Chen2020_DFN_Day34_DC03
69.0,1.5,-1.5,0.02875,0.0,Chen2020_DFN_Day34_DC03
