param_set,protocol_label,n,dt_model_median_s,dt_geom_median_s,dt_resid_median_s,dt_resid_max_abs_s,dt_resid_p95_abs_s,resid_over_geom_median,resid_over_geom_max
Chen2020,DCAC_DC0p2C_AC0p4C_0p1tau,79,9.580587636192831,9.582854005457191,-0.002484522470695,0.0113512479729251,0.0053538353493421936,0.00025828658705955303,0.0015950191420830697
Chen2020,DCAC_DC0p2C_AC0p4C_10tau,78,956.9808208525114,956.981680502221,-0.00100868500931025,0.0085367368606057,0.004497955971555637,1.322555199188343e-06,5.480719410146096e-06
Chen2020,DCAC_DC0p2C_AC0p4C_1tau,75,94.39645779588191,94.39764918452158,-0.0068962403547629,0.0156182835607978,0.01538758937167582,7.821070407698744e-05,0.0002174182730154523
Chen2020,DCAC_DC0p4C_AC0p6C_0p1tau,67,6.263683789443121,6.264639111837596,-0.0011294797814116,0.0037787365417898,0.0025648396281439494,0.00019798690271605903,0.011959007845532886
Chen2020,DCAC_DC0p4C_AC0p6C_10tau,60,553.4827619333204,553.4839562658283,-0.0011943325078504498,0.0107884634981019,0.005713231145534773,2.669085544017425e-06,2.1824456299152024e-05
Chen2020,DCAC_DC0p4C_AC0p6C_1tau,64,67.57554777951395,67.5798568868679,-0.0054530277502635,0.044074534514948,0.013225957564668522,8.534147249208307e-05,0.0031270901327658217
Ecker2015,DCAC_DC0p2C_AC0p4C_0p1tau,29,4.285321256864336,4.285864521632902,-0.0003603922850743,0.0090432919914746,0.0015552301054412388,9.828321601343078e-05,0.001431794247934478
Ecker2015,DCAC_DC0p2C_AC0p4C_10tau,29,406.80576945961,406.8112864613777,-0.0051984585156787,0.027432643717475,0.01999109547778054,1.40450437248969e-05,5.9029335934195155e-05
Ecker2015,DCAC_DC0p2C_AC0p4C_1tau,29,38.972052675756686,38.97268825038577,-0.0003331649350002,0.0041685099677124,0.0027453647300716977,1.397161627701022e-05,0.00015841387814714998
Ecker2015,DCAC_DC0p4C_AC0p6C_0p1tau,28,2.879534199541922,2.879662592965019,-0.0001513273707587,0.0046254565449999,0.0009700943487587047,4.7489233487870537e-05,0.002423420983944742
Ecker2015,DCAC_DC0p4C_AC0p6C_10tau,28,263.18918935655984,263.1932467291706,-0.0055584099422958,0.0386265695757401,0.02736980611239226,2.1927511069922055e-05,0.0007195258002238156
Ecker2015,DCAC_DC0p4C_AC0p6C_1tau,28,14.626995662510012,14.62717450894445,-0.00013668491337165,0.0007915959849924,0.0007782940919241199,1.533272129400957e-05,0.0018017780002824162
ORegan2022,DCAC_DC0p2C_AC0p4C_0p1tau,87,11.509889001647934,11.510502699205972,-0.0006084700235078,0.0077468867302741,0.0015031232881710201,5.617700445469212e-05,0.00041830274977256696
ORegan2022,DCAC_DC0p2C_AC0p4C_10tau,85,1150.9178828387248,1150.9179561285928,-0.0004789441726416,0.0438436744498176,0.0035175452660041397,1.0060401846614811e-06,2.4355166019272402e-05
ORegan2022,DCAC_DC0p2C_AC0p4C_1tau,87,115.49681356268412,115.50052744945424,-0.0039857487381596,0.027578251124396,0.01019523025570374,3.666944947344181e-05,0.0002037986104756951
ORegan2022,DCAC_DC0p4C_AC0p6C_0p1tau,82,7.391538170221338,7.392068056770768,-0.00060769211722795,0.0041460159209236,0.00148881223378219,8.33958784310982e-05,0.007101952825866776
ORegan2022,DCAC_DC0p4C_AC0p6C_10tau,42,563.7176781939747,563.7177094241799,-0.000481221609391,0.0032583309364326,0.0021886469863943497,1.0289363421326347e-06,0.0001407393793748604
ORegan2022,DCAC_DC0p4C_AC0p6C_1tau,55,78.12374314467525,78.12533898130278,-0.0015214476197797,0.0108301326256423,0.005363910534015231,2.3315325203360927e-05,0.0010041294291284844
