frequency_policy_id,status,termination,t_end_s,t_end_min,Q_end_Ah,V_end_V,I_charge_min_A,I_charge_max_A,error
DC03_reference,ok,event: Maximum voltage [V],10782.9096067284,179.71516011214,4.4928790028035,4.2,1.5,1.5,
fixed_local_H,ok,event: Maximum voltage [V],10655.17632364101,177.58627206068348,4.493002486858021,4.200000000000015,-0.3999871802857287,3.399991282160039,
seg_tau_fast_k1p5,ok,event: Maximum voltage [V],10693.455308472958,178.22425514121596,4.491437451836558,4.200000000000012,-0.39999333318954333,3.399948732519223,
seg_tau_slow_k1p5,ok,event: Maximum voltage [V],9822.255846844531,163.70426411407553,4.490275790382455,4.2,-0.3999991555173835,3.399998231741976,
seg_tau_fast_k1p0,ok,event: Maximum voltage [V],10725.831229248282,178.7638538208047,4.492534306994187,4.200000000000001,-0.39997681767126203,3.3999853784166834,
seg_tau_fast_k3p0,ok,event: Maximum voltage [V],10693.213741811298,178.2202290301883,4.4923099658093,4.2,-0.39999002426815594,3.3999965635515683,
