condition,status,termination,t_end_s,t_end_min,Q_end_Ah,V_end_V,I_charge_min_A,I_charge_max_A,error
Chen2020_DFN_DC03,ok,event: Maximum voltage [V],10782.9096067284,179.71516011214,4.4928790028035,4.2,1.5,1.5,
Chen2020_DFN_DC03_AC07_0p5tauSet,ok,event: Maximum voltage [V],8816.441612064713,146.94069353441188,3.6935382425595478,4.200000000000062,-1.9999999915023556,4.9999999937810236,
Chen2020_DFN_DC03_AC07_1p5tauSet,ok,event: Maximum voltage [V],8627.912610570569,143.79854350950947,3.6339416312270765,4.2,-1.9999999999047784,4.999999988572077,
Chen2020_DFN_DC03_AC07_3p0tauSet,ok,event: Maximum voltage [V],8356.42236336638,139.27370605610633,3.5595987037893875,4.200000000000004,-1.9999999784300289,4.999999737084515,
Chen2020_DFN_DC03_AC07_5p0tauSet,ok,event: Maximum voltage [V],8207.25860752117,136.78764345868615,3.5349283235889786,4.200000000000001,-1.9999989296119662,4.999999999082212,
