file_name,protocol_label,protocol_role,DC_C,AC_C,m_tau,frequency_Hz,csv_format_refined,n_retained_rows,t_final_s,Q_final_Ah,Q_final_mAh,Q_max_Ah,Q_min_Ah,Q_decrease_count,Q_decrease_fraction,I_Q_min_A,I_Q_max_A,I_Q_mean_A
MJ1_0p3C_0p4C_0p1tau_NGU201_raw.csv,0.3C+0.4C 0.1tau,DCAC,0.3,0.4,0.1,0.1433828316143201,processed_1Hz_aligned_no_metadata,13257,13256.0,3.2551496609838653,3255.1496609838655,3.2551496609838653,0.0,1766,0.1332226916113458,-0.34,2.397659,0.8843618379498264
MJ1_0p3C_0p4C_10tau_NGU201_raw.csv,0.3C+0.4C 10tau,DCAC,0.3,0.4,10.0,0.0014338283161432,processed_1Hz_aligned_no_metadata,13031,13030.0,3.2529391483283656,3252.9391483283657,3.2529391483283656,0.0,2093,0.16062931696085955,-0.34,2.474556,0.8991668307420819
MJ1_0p3C_0p4C_1tau_NGU201_raw.csv,0.3C+0.4C 1tau,DCAC,0.3,0.4,1.0,0.014338283161432,NGU201_LOG_raw,13286,13288.200000000004,3.2590231394079345,3259.0231394079347,3.2590231394079345,0.0,2168,0.16319156943921717,-0.3400656,2.513627,0.8864650645623329
MJ1_0p3C_DC_NGU201_raw.csv,0.3C DC,DC_reference,0.3,0.0,,0.0,NGU201_LOG_raw,13424,13426.0,3.259324058975556,3259.324058975556,3.259324058975556,0.0,0,0.0,0.04974141,1.019919,0.8740470804469609
