branch,t_vmax_min,Q_at_Vmax_Ah,Q_frontier_pre_Vmax_Ah,Q_frontier_minus_Q_at_Vmax_mAh,t_frontier_min,frontier_before_or_at_Vmax
DC,179.7136176457366,4.492840441143415,4.492840441143415,0.0,179.7136176457366,True
DCAC,174.90905408997696,4.377471663891903,4.439560443410899,62.08877951899616,169.36666666666667,True
