Q_Ah,t_full_s,t_even_s,t_odd_s,dt_even_minus_odd_s,dt_full_minus_even_s,dt_full_minus_odd_s
0.05,132.5044749006211,132.62562366882008,133.38331537587473,-0.7576917070546472,-0.12114876819899223,-0.8788404752536394
0.060000000000000005,158.98094065568117,159.10208218188743,159.85977914327006,-0.757696961382635,-0.12114152620625873,-0.8788384875888937
0.07,185.4572434672386,185.57839837082065,186.3360726509995,-0.7576742801788612,-0.12115490358203829,-0.8788291837608995
0.08,211.93347789810122,212.05460840211288,212.81231875797496,-0.7577103558620877,-0.12113050401165992,-0.8788408598737476
0.09,238.40947013238764,238.530588890707,239.28832249651947,-0.7577336058124615,-0.12111875831936914,-0.8788523641318307
0.1,264.8854226727698,265.00654248496755,265.7642655921408,-0.7577231071732626,-0.1211198121977759,-0.8788429193710385
0.11,291.36123192669174,291.4823576566108,292.2400629534432,-0.7577052968323983,-0.121125729919072,-0.8788310267514703
0.12000000000000001,317.83681517874504,317.9579397841207,318.7156407968092,-0.7577010126885284,-0.12112460537565539,-0.8788256180641838
0.13,344.3121693121691,344.4332922600143,345.1909880453214,-0.757695785307078,-0.12112294784520827,-0.8788187331522863
0.14,370.78730140402956,370.90844153217637,371.66609696080076,-0.7576554286243891,-0.12114012814680564,-0.8787955567711947
0.15000000000000002,397.2623051064839,397.3834238443981,398.14111095830896,-0.7576871139108334,-0.12111873791423022,-0.8788058518250637
0.16,423.7371019179126,423.8582246458077,424.61590149612016,-0.757676850312464,-0.1211227278951128,-0.8787995782075768
0.16999999999999998,450.211846426738,450.3329722502897,451.0906362229404,-0.7576639726507324,-0.12112582355166523,-0.8787897962023976
0.18,476.6863813095081,476.8075150895626,477.5651600937493,-0.7576450041866565,-0.12113378005454933,-0.8787787842412058
0.19,503.16092187323596,503.28205707099744,504.0396992496684,-0.7576421786709489,-0.12113519776147541,-0.8787773764324243
0.2,529.6353851516616,529.7565077345645,530.5141741432562,-0.7576664086917617,-0.12112258290289901,-0.8787889915946607
0.21000000000000002,556.1097042565856,556.2308083764516,556.9885035620719,-0.7576951856202641,-0.12110411986600411,-0.8787993054862682
0.22000000000000003,582.5838250034377,582.7049378099434,583.4626090217822,-0.7576712118387832,-0.12111280650572098,-0.8787840183445041
0.22999999999999998,609.0578463077113,609.1789528180163,609.936631533663,-0.757678715646648,-0.12110651030502595,-0.878785225951674
0.24,635.5316039928103,635.6527146729966,636.4103697809787,-0.7576551079821456,-0.12111068018623428,-0.8787657881683799
