protocol_pair,Q_Ah,dt_raw_s,dt_geom_s,dt_resid_s,abs_resid_s,t_DCAC_s,t_geom_DCAC_s,T_AC_s,geometry_phase_offset_rad,geom_prev_max_Q_Ah,geom_prev_max_time_s,geom_prev_max_deficit_mAh,geom_prev_max_lead_time_s,near_miss_deficit_le_1mAh,branch_jump_time_ge_0p25TAC,branch_jump_artifact_candidate
0.3C DC vs 0.3C+0.7C 0.1tau,2.47,1.378759211866054,-1.119446854798298,2.498206066664352,2.498206066664352,8717.18660821273,8718.766505677,6.974335690969341,0.1162389281828226,2.469837562091604,8715.3,0.16243790839620686,3.466505677000896,True,True,True
0.3C DC vs 0.3C+0.7C 0.1tau,1.02,-2.6192491395486286,-0.1604580267940036,-2.458791112754625,2.458791112754625,3603.003351188278,3600.160458026902,6.974335690969341,0.1162389281828226,1.0194416306825123,3599.5,0.5583693174877613,0.6604580269017788,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.03,-2.3306924058801997,0.1198545837200981,-2.450546989600298,2.450546989600298,3638.0123193370423,3635.174263063436,6.974335690969341,0.1162389281828226,1.0294172738782588,3634.5,0.5827261217412616,0.6742630634357738,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.04,-2.0311826272854887,0.4011363078238901,-2.432318935109379,2.432318935109379,3673.0103684542223,3670.1870989863814,6.974335690969341,0.1162389281828226,1.0393985817898541,3669.5,0.6014182101459209,0.687098986381443,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.05,-1.7222128024955057,0.6819107995124796,-2.404123602007985,2.404123602007985,3707.998960436216,3705.200442141742,6.974335690969341,0.1162389281828226,1.049384691480116,3704.5,0.6153085198841168,0.7004421417418598,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.51,2.1111093486993013,4.499617491776007,-2.388508143076706,2.388508143076706,1798.0911959685716,1795.500382508162,6.974335690969341,0.1162389281828226,0.5096328846287302,1794.8000000000002,0.3671153712697661,0.7003825081617379,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.96,0.0479519844770948,2.433190917578031,-2.3852389331009363,2.3852389331009363,3388.5502625428658,3385.802103200181,6.974335690969341,0.1162389281828226,0.959928812800275,3385.5,0.07118719972498688,0.30210320018113634,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.27,-0.0180297580163824,2.362056660516828,-2.3800864185332102,2.3800864185332102,8012.62390289153,8009.402649220708,6.974335690969341,0.1162389281828226,2.2699656654386757,8009.299999999999,0.03433456132428958,0.10264922070837201,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.06,-1.4072830437326047,0.9607259408553546,-2.3680089845879593,2.3680089845879593,3742.981471286426,3740.215744647448,6.974335690969341,0.1162389281828226,1.0593746759098528,3739.5,0.6253240901472612,0.7157446474479912,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.07,-1.0947947575136825,1.2360430821572663,-2.3308378396709486,2.3308378396709486,3777.966486660344,3775.234545153195,6.974335690969341,0.1162389281828226,1.0693675563135103,3774.5,0.6324436864897365,0.7345451531950857,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.81,-0.0320109257127114,2.2558725415806293,-2.287883467293341,2.287883467293341,2859.164168518256,2856.5676568702374,6.974335690969341,0.1162389281828226,0.8098486551056319,2855.6000000000004,0.15134489436818832,0.9676568702370787,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.08,-0.7765709525033344,1.5061172502728368,-2.2826882027761712,2.2826882027761712,3812.945744989176,3810.258588632128,6.974335690969341,0.1162389281828226,1.0793623152653298,3809.5,0.6376847346702963,0.7585886321280668,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.14,0.905801379984041,-1.368153253240962,2.273954633225003,2.273954633225003,4023.049213565009,4024.897565017935,6.974335690969341,0.1162389281828226,1.1399514411720866,4021.5,0.04855882791332533,3.397565017934994,True,True,True
0.3C DC vs 0.3C+0.7C 0.1tau,1.09,-0.4664056629526385,1.7688508166756949,-2.235256479628333,2.235256479628333,3847.93306739448,3845.289972712774,6.974335690969341,0.1162389281828226,1.0893579102616158,3844.5,0.6420897383843105,0.7899727127742153,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.52,2.4275314219912616,4.638723782748684,-2.211192360757422,2.211192360757422,1833.0722458112905,1830.655393864252,6.974335690969341,0.1162389281828226,0.5196067095381561,1829.8000000000002,0.39329046184388705,0.8553938642517096,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.5800000000000001,4.285569036220068,2.079695241221316,2.2058737949987517,2.2058737949987517,2043.0003277051644,2044.979128288156,6.974335690969341,0.1162389281828226,0.5798444504047384,2044.8000000000002,0.15554959526165035,0.17912828815588,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,0.5700000000000001,3.999344095654351,1.796996719585195,2.202347376069156,2.202347376069156,2007.988633292028,2009.9677091627293,6.974335690969341,0.1162389281828226,0.5698529061978639,2009.8000000000002,0.14709380213617784,0.16770916272912473,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,2.34,-2.3663680799327267,-0.170037099502224,-2.1963309804305027,2.1963309804305027,8262.057761915205,8258.99356651007,6.974335690969341,0.1162389281828226,2.3394531002493153,8254.3,0.5468997506845596,4.6935665100700135,True,True,True
0.3C DC vs 0.3C+0.7C 0.1tau,0.5900000000000001,4.550838315647525,2.3632259337023243,2.1876123819452005,2.1876123819452005,2078.0328116839605,2079.9897152427375,6.974335690969341,0.1162389281828226,0.5898383905295812,2079.8,0.16160947041887752,0.189715242737293,True,False,False
0.3C DC vs 0.3C+0.7C 0.1tau,1.1,-0.1637167100875558,2.021596955142286,-2.1853136652298417,2.1853136652298417,3882.928086603248,3880.3313442213566,6.974335690969341,0.1162389281828226,1.0993532876377832,3879.5,0.6467123622169169,0.8313442213566304,True,False,False
